range,gpu,instances,wall_s,gpu_kernel_s
forward,0,1,8.47,8.448
forward,1,1,8.459,8.42
forward,2,1,8.459,8.293
forward,3,1,8.459,8.358
forward,4,1,8.46,8.433
forward,5,1,8.459,8.387
forward,6,1,8.459,8.428
forward,7,1,8.46,8.421
backward,0,1,20.299,20.185
backward,1,1,20.3,19.187
backward,2,1,20.3,20.523
backward,3,1,20.3,20.318
backward,4,1,20.3,20.325
backward,5,1,20.3,19.526
backward,6,1,20.299,18.705
backward,7,1,20.3,20.444
optimizer,0,1,0.0,0.0
optimizer,1,1,0.0,0.0
optimizer,2,1,0.0,0.0
optimizer,3,1,0.0,0.0
optimizer,4,1,0.0,0.0
optimizer,5,1,0.0,0.0
optimizer,6,1,0.0,0.0
optimizer,7,1,0.0,0.0
attention,0,156,6.537,3.17
attention,1,156,6.522,3.187
attention,2,156,6.639,3.184
attention,3,156,6.687,3.08
attention,4,156,6.585,3.199
attention,5,156,6.482,3.239
attention,6,156,4.842,3.338
attention,7,156,6.603,3.313
moe,0,150,18.28,11.235
moe,1,150,18.243,10.188
moe,2,150,17.932,11.551
moe,3,150,18.1,11.383
moe,4,150,18.161,11.355
moe,5,150,18.272,10.516
moe,6,150,18.674,9.609
moe,7,150,18.199,11.36
hybridep_dispatch,0,150,0.44,1.974
hybridep_dispatch,1,150,0.289,2.119
hybridep_dispatch,2,150,0.169,2.245
hybridep_dispatch,3,150,0.279,2.089
hybridep_dispatch,4,150,0.361,2.058
hybridep_dispatch,5,150,0.695,1.712
hybridep_dispatch,6,150,0.51,1.936
hybridep_dispatch,7,150,0.245,2.164
hybridep_combine,0,150,0.111,5.674
hybridep_combine,1,150,0.022,4.492
hybridep_combine,2,150,0.022,5.719
hybridep_combine,3,150,0.023,5.687
hybridep_combine,4,150,0.021,5.75
hybridep_combine,5,150,0.021,5.359
hybridep_combine,6,150,0.021,3.891
hybridep_combine,7,150,0.021,5.884
recompute,0,78,19.455,19.229
recompute,1,78,19.456,18.23
recompute,2,78,19.456,19.565
recompute,3,78,19.452,19.358
recompute,4,78,19.455,19.368
recompute,5,78,19.455,18.569
recompute,6,78,19.456,17.749
recompute,7,78,19.456,19.488
lm_head,0,1,1.008,0.956
lm_head,1,1,0.894,0.962
lm_head,2,1,1.134,0.958
lm_head,3,1,0.889,0.958
lm_head,4,1,0.891,0.959
lm_head,5,1,0.933,0.956
lm_head,6,1,0.888,0.956
lm_head,7,1,0.917,0.956
dsa_indexer,0,42,6.195,0.112
dsa_indexer,1,42,6.105,0.113
dsa_indexer,2,42,6.196,0.11
dsa_indexer,3,42,6.149,0.111
dsa_indexer,4,42,6.157,0.111
dsa_indexer,5,42,6.038,0.11
dsa_indexer,6,42,4.435,0.111
dsa_indexer,7,42,6.195,0.111
dsa_core,0,156,0.054,1.499
dsa_core,1,156,0.061,1.535
dsa_core,2,156,0.064,1.526
dsa_core,3,156,0.064,1.531
dsa_core,4,156,0.059,1.534
dsa_core,5,156,0.06,1.527
dsa_core,6,156,0.061,1.541
dsa_core,7,156,0.059,1.531
