group,key,wait_s_all_gpus
by_laggard,gpu0,5.546
by_laggard,gpu1,13.477
by_laggard,gpu2,2.036
by_laggard,gpu3,2.785
by_laggard,gpu4,4.938
by_laggard,gpu5,5.241
by_laggard,gpu6,17.106
by_laggard,gpu7,2.065
by_kind,laggard_gpu_idle(host),26.739
by_kind,laggard_gpu_busy,26.456
by_laggard_top_category,gemm,43.951
by_laggard_top_category,hybridep_meta,7.493
by_laggard_top_category,elementwise,1.346
by_laggard_top_category,moe_permute,0.396
by_laggard_top_category,hybridep_dispatch,0.008
total,long_waits>=5.0ms_all_gpus_s,53.194
total,all_sync_all_gpus_s,54.806
