waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,19670059058,13.962,7,0.0,1.022,laggard_gpu_busy,gemm=7.7ms;moe_permute=3.4ms;elementwise=2.3ms,forward|attention|dsa_indexer
0,19815434499,6.666,1,0.001,1.052,laggard_gpu_busy,gemm=4.8ms;moe_permute=2.3ms;hybridep_meta=0.0ms,forward|moe
0,19879967192,19.67,6,0.0,1.015,laggard_gpu_busy,gemm=7.5ms;elementwise=7.4ms;moe_permute=3.3ms,forward|moe
0,19963162056,11.265,4,0.0,1.027,laggard_gpu_busy,gemm=6.7ms;moe_permute=2.8ms;elementwise=1.2ms,forward|moe
0,20034892857,6.501,5,0.001,1.05,laggard_gpu_busy,gemm=4.5ms;moe_permute=2.4ms;hybridep_meta=0.0ms,forward
0,20170335353,13.254,2,0.0,1.026,laggard_gpu_busy,gemm=6.0ms;elementwise=4.2ms;moe_permute=2.7ms,forward|moe
0,20240311707,15.85,3,0.0,1.018,laggard_gpu_busy,gemm=6.4ms;elementwise=6.1ms;moe_permute=3.0ms,forward|moe
0,20313052180,26.838,6,0.0,1.022,laggard_gpu_busy,gemm=11.9ms;elementwise=8.4ms;moe_permute=3.2ms,forward|moe
0,20399287261,15.602,6,0.0,1.018,laggard_gpu_busy,gemm=6.8ms;elementwise=5.5ms;moe_permute=2.9ms,forward|attention|dsa_indexer
0,20538254458,15.282,3,0.0,1.021,laggard_gpu_busy,gemm=6.0ms;elementwise=5.8ms;moe_permute=2.5ms,forward|moe
0,20604554590,29.938,2,0.0,1.028,laggard_gpu_busy,gemm=15.1ms;elementwise=8.3ms;moe_permute=3.6ms,forward|moe
0,20701382078,13.669,4,0.0,1.02,laggard_gpu_busy,gemm=7.3ms;moe_permute=3.0ms;elementwise=2.8ms,forward|moe
0,20770720475,29.934,4,0.0,1.012,laggard_gpu_busy,gemm=14.4ms;elementwise=8.4ms;moe_permute=3.3ms,forward|attention|dsa_indexer
0,20925309881,26.161,3,0.0,1.025,laggard_gpu_busy,gemm=12.0ms;elementwise=7.9ms;moe_permute=3.2ms,forward|moe
0,21081980136,27.449,4,0.0,1.005,laggard_gpu_busy,gemm=12.1ms;elementwise=8.2ms;moe_permute=3.2ms,forward|moe
0,21322096808,23.272,6,0.0,1.013,laggard_gpu_busy,elementwise=8.4ms;gemm=8.4ms;moe_permute=3.7ms,forward|moe
0,21410411362,5.296,4,0.001,1.02,laggard_gpu_busy,gemm=2.9ms;moe_permute=2.5ms;hybridep_meta=0.0ms,forward|moe
0,21476241090,7.373,1,0.0,1.049,laggard_gpu_busy,gemm=5.3ms;moe_permute=2.3ms;elementwise=0.1ms,forward|moe
0,21544452342,8.614,5,0.0,1.033,laggard_gpu_busy,gemm=5.8ms;moe_permute=2.5ms;cat_copy=0.3ms,forward|attention|dsa_indexer
0,21684310362,8.704,7,0.0,1.04,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.9ms;hybridep_meta=0.0ms,forward|moe
0,21759780586,5.498,6,0.001,1.04,laggard_gpu_busy,gemm=2.9ms;moe_permute=2.8ms;hybridep_meta=0.0ms,forward|moe
0,21823742187,18.559,3,0.0,1.016,laggard_gpu_busy,elementwise=7.1ms;gemm=7.0ms;moe_permute=3.1ms,forward|moe
0,21903209620,21.703,3,0.0,1.011,laggard_gpu_busy,elementwise=8.7ms;gemm=8.1ms;moe_permute=3.6ms,forward|attention|dsa_indexer
0,22051804270,16.918,2,0.0,1.017,laggard_gpu_busy,gemm=7.0ms;elementwise=6.6ms;moe_permute=2.8ms,forward|moe
0,22121390786,25.245,5,0.0,1.047,laggard_gpu_busy,gemm=12.9ms;elementwise=7.0ms;moe_permute=3.3ms,forward|moe
0,22283153804,19.369,6,0.0,1.015,laggard_gpu_busy,elementwise=7.7ms;gemm=7.7ms;moe_permute=3.3ms,forward|attention|dsa_indexer
0,22495881035,15.638,6,0.0,1.019,laggard_gpu_busy,gemm=5.6ms;elementwise=5.3ms;moe_permute=2.6ms,forward|moe
