Generating SQLite file /root/.cache/user_artifacts/lps1062_bench/glm53_pr1327_cp8ep8_262k_b300_20260904/glm53-pr1327-b300-262k-cp8ep8-nvtx-all-ranks-gpu-metrics.sqlite from /root/.cache/user_artifacts/lps1062_bench/glm53_pr1327_cp8ep8_262k_b300_20260904/glm53-pr1327-b300-262k-cp8ep8-nvtx-all-ranks-gpu-metrics.nsys-rep
Processing [/root/.cache/user_artifacts/lps1062_bench/glm53_pr1327_cp8ep8_262k_b300_20260904/glm53-pr1327-b300-262k-cp8ep8-nvtx-all-ranks-gpu-metrics.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)                                                   Name                                                
 --------  ---------------  ---------  ------------  -----------  ---------  ----------  ------------  ----------------------------------------------------------------------------------------------------
     20.4      54805577304       7200     7611885.7      71248.0       2784  1509354810    60702589.5  void hybrid_ep::device_sync_kernel<(int)8>(unsigned int *, unsigned int *, unsigned int *)          
     15.4      41199923428         41  1004876181.2     469699.0       4672  5674970525  2146221755.8  ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)                      
     10.8      29081834979        624    46605504.8   46067584.0   43835001    55894759     1731837.5  kernel_cutlass_bwd_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm100FlashAttenti…
      5.8      15568932909      34398      452611.6     260402.0      16192     7405642      659412.2  nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT                                                      
      3.7       9921935413       1248     7950268.8    7905661.5    7632768     9635110      197577.4  void sm100::fwd::head64::sparse_attn_fwd_kernel<(bool)1, (int)0, sm100::fwd::head64::TmaParams<cute…
      3.6       9738217513      16691      583441.2     352580.0      25504     7477035      859452.9  nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NNT                                                      
      2.8       7492503832         64   117070372.4  117059682.5  116851684   117529035      186499.4  cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x64x16_1x1x1_3_nnn_align1_bias_f32_relu           
      2.7       7340178937         64   114690295.9  114530414.0  114413544   120340797      755399.5  cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x128x16_1x1x1_3_tnn_align1_bias_f32_relu          
      2.6       7008990611       3318     2112414.3    2106617.0     462818     3142200      416931.8  kernel_cutlass_kernel_cudnndeepseek_sparse_attentionindexer_forwardindexer_fwd_sm100IndexerForwardS…
      2.5       6820551631       8856      770161.7     171889.5       3296     3172312     1022589.8  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      1.9       5083358668       1200     4236132.2    4418762.5    2439346     5058678      601810.0  void hybrid_ep::dispatch_kernel<unsigned short, hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::w…
      1.8       4897915992       7622      642602.5      69441.0      24577     3566030     1227611.2  nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT                                                      
      1.7       4529040325       1200     3774200.3    3823075.0    2982617     4200227      234407.3  void hybrid_ep::combine_kernel<hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)4,…
      1.4       3669642567      32648      112400.2     120193.0       1792      714149      118960.2  void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, …
      1.3       3383722317       1800     1879845.7    1788511.5     326851     4002975      614784.3  void unpermute_kernel<(int)512, __nv_bfloat16, float>(T2 *, T2 *, T3 *, T3 *, int *, int *, int, in…
      1.1       2858455141       1800     1588030.6    1535419.0     285347     3018199      475053.6  void permute_kernel<(int)512, unsigned short, float, float>(T2 *, T2 *, T4 *, T4 *, T3 *, T3 *, int…
      1.0       2647746900       8256      320705.8     185169.0      12064      961415      319692.4  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>,…
      0.9       2422465437        600     4037442.4    4109378.5    3075833     4463551      300370.5  void hybrid_ep::combine_kernel<hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)4,…
      0.9       2356465135       1756     1341950.5    1292779.5     294178     2413610      298914.8  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      0.9       2338212121        600     3897020.2    4078788.0    2290995     4628186      576580.3  void hybrid_ep::dispatch_kernel<unsigned short, hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::w…
      0.9       2279810179        624     3653542.0    3485327.0     442339    14077250     2295665.2  ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)         
      0.7       2004569499       1592     1259151.7     639124.0      18112    60989756     4401973.6  ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)                      
      0.7       1898689358       3004      632053.7     732486.0     170945     1432075      406668.2  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.7       1769788437       3318      533390.1     464434.5     103137     2475089      318387.7  kernel_cutlass_indexer_topk_kernel_cudnndeepseek_sparse_attentionindexer_top_kindexer_top_k_decode_…
      0.6       1705730015       3004      567819.6     659252.5     154146     1364844      364949.7  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.6       1685007303       1208     1394873.6     288322.5      16960    85616356     6138506.4  ncclDevKernel_AllReduce_Sum_u64_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)              
      0.6       1500322515        624     2404363.0    2391393.5    2381429     2755448       37474.0  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>,…
      0.5       1430193396      12048      118708.0      85761.0       1792      501826      110081.9  void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<c10::BFloat16, c10…
      0.5       1419421316       6912      205356.1     172785.0       7360      445859      120607.4  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
