Duration (ns),Start (ns),PID,TID,API Name
12965917341,1939585155,7764,7764,cudaStreamSynchronize_v3020
12965905411,1939590068,7768,7768,cudaStreamSynchronize_v3020
12965712935,1939808408,7752,7752,cudaStreamSynchronize_v3020
12965703925,1939800963,7760,7760,cudaStreamSynchronize_v3020
12965700236,1939778749,7751,7751,cudaStreamSynchronize_v3020
12965615666,1939878825,7750,7750,cudaStreamSynchronize_v3020
12965322154,1940189910,7756,7756,cudaStreamSynchronize_v3020
185491407,17652775475,7751,7751,cudaStreamSynchronize_v3020
185447169,17652821441,7760,7760,cudaStreamSynchronize_v3020
185429808,17652840920,7764,7764,cudaStreamSynchronize_v3020
185414953,17652859158,7752,7752,cudaStreamSynchronize_v3020
185381808,17652893585,7768,7768,cudaStreamSynchronize_v3020
185371996,17652899129,7756,7756,cudaStreamSynchronize_v3020
185264112,17653000052,7750,7750,cudaStreamSynchronize_v3020
136647858,15139593105,7749,19537,cudaStreamSynchronize_v3020
136235766,15140003135,7750,7750,cudaStreamSynchronize_v3020
136162999,15140084542,7768,7768,cudaStreamSynchronize_v3020
136110320,15140135479,7751,7751,cudaStreamSynchronize_v3020
136070038,15140171615,7752,7752,cudaStreamSynchronize_v3020
135760465,15140482806,7764,7764,cudaStreamSynchronize_v3020
134750854,15141489911,7756,7756,cudaStreamSynchronize_v3020
124880867,17139813028,7752,9997,cudaStreamSynchronize_v3020
124819621,17140303974,7760,9817,cudaStreamSynchronize_v3020
124335991,17140467128,7764,9778,cudaStreamSynchronize_v3020
124324236,17140862231,7750,9893,cudaStreamSynchronize_v3020
124321598,17139495796,7768,9907,cudaStreamSynchronize_v3020
123985342,17138540307,7751,9822,cudaStreamSynchronize_v3020
123981271,17139595630,7756,9912,cudaStreamSynchronize_v3020
123500560,16169829231,7751,7751,cudaStreamSynchronize_v3020
123477342,16169838939,7768,7768,cudaStreamSynchronize_v3020
123461199,16169861293,7756,7756,cudaStreamSynchronize_v3020
123020799,16170300504,7752,7752,cudaStreamSynchronize_v3020
122639397,15333630553,7750,7750,cudaStreamSynchronize_v3020
122144783,16171179918,7764,7764,cudaStreamSynchronize_v3020
121533728,16171793092,7760,7760,cudaStreamSynchronize_v3020
120715296,17146509014,7749,9882,cudaStreamSynchronize_v3020
119179725,16656388090,7749,9882,cudaStreamSynchronize_v3020
119175319,16536261891,7749,9882,cudaStreamSynchronize_v3020
119146784,16416180083,7749,9882,cudaStreamSynchronize_v3020
119128546,16896693875,7749,9882,cudaStreamSynchronize_v3020
119106792,16776581538,7749,9882,cudaStreamSynchronize_v3020
119095575,17016853373,7749,9882,cudaStreamSynchronize_v3020
118940923,16535702669,7760,9817,cudaStreamSynchronize_v3020
118930306,16535793965,7764,9778,cudaStreamSynchronize_v3020
118883881,17015143455,7760,9817,cudaStreamSynchronize_v3020
118870749,16415799896,7760,9817,cudaStreamSynchronize_v3020
118798335,16655750808,7760,9817,cudaStreamSynchronize_v3020
118790381,15812261979,7749,19537,cudaStreamSynchronize_v3020
118776893,16895353274,7760,9817,cudaStreamSynchronize_v3020
118760314,17015143908,7764,9778,cudaStreamSynchronize_v3020
