gpu,category,kernels,summed_gpu_s,max_ms,median_us
0,gemm,21470,4.765,7.062,74.8
0,hybridep_sync,900,4.715,693.095,51.0
0,dsa_backward,312,3.591,50.382,530.5
0,cat_copy,10423,2.885,6.626,14.3
0,elementwise,35137,2.14,1.98,8.8
0,fp32_simt_head,16,1.851,116.903,115655.2
0,dsa_forward,156,1.2,8.438,7639.9
0,dsa_indexer,714,1.046,2.582,1100.0
0,hybridep_dispatch,225,0.973,4.987,4444.3
0,hybridep_combine,225,0.867,4.443,3899.9
0,nccl,429,0.833,16.278,704.5
0,moe_permute,450,0.762,3.489,1637.1
0,activation,549,0.364,1.663,739.1
0,norm,1251,0.305,0.929,44.6
0,topk_router,683,0.143,0.588,20.2
0,hybridep_meta,750,0.078,0.705,1.7
0,cub_scan_sort,1280,0.076,2.039,1.8
0,other,1076,0.014,0.082,2.3
0,cross_entropy,8,0.006,0.758,756.7
0,nonzero_cub,384,0.001,0.005,1.8
1,gemm,21508,4.977,7.334,74.3
1,hybridep_sync,900,3.866,414.728,53.4
1,dsa_backward,312,3.73,56.286,529.6
1,cat_copy,10462,2.927,8.247,14.8
1,elementwise,35193,2.162,2.001,8.8
1,fp32_simt_head,16,1.858,117.323,117137.3
1,dsa_forward,156,1.241,8.969,7899.2
1,dsa_indexer,756,1.058,3.111,1438.7
1,hybridep_dispatch,225,0.97,4.999,4449.2
1,hybridep_combine,225,0.873,4.452,3921.6
1,moe_permute,450,0.77,4.488,1600.0
1,nccl,429,0.525,12.339,459.6
1,activation,555,0.374,1.555,766.8
1,norm,1251,0.305,0.994,45.1
1,topk_router,683,0.144,0.556,20.4
1,hybridep_meta,750,0.081,1.366,1.7
1,cub_scan_sort,1276,0.076,2.056,1.9
1,other,1070,0.014,0.09,2.2
1,cross_entropy,8,0.006,0.758,757.1
1,nonzero_cub,369,0.001,0.006,1.7
2,gemm,21548,4.856,7.215,74.0
2,hybridep_sync,900,4.741,679.604,320.3
2,dsa_backward,312,3.705,52.236,527.8
2,cat_copy,10445,2.893,7.046,14.6
2,elementwise,35272,2.162,2.124,8.9
2,fp32_simt_head,16,1.851,116.964,115931.5
2,dsa_forward,156,1.238,9.122,7882.1
2,dsa_indexer,840,1.048,2.228,765.7
2,hybridep_combine,225,0.873,4.406,3908.9
2,hybridep_dispatch,225,0.817,4.224,3743.8
2,moe_permute,450,0.785,3.487,1704.1
2,nccl,429,0.652,14.76,639.0
2,activation,558,0.372,1.637,782.2
2,norm,1251,0.305,0.928,44.8
2,topk_router,683,0.144,0.556,20.2
2,hybridep_meta,750,0.084,1.69,2.0
2,cub_scan_sort,1276,0.076,2.067,2.2
2,other,1070,0.014,0.094,2.3
2,cross_entropy,8,0.006,0.758,756.8
2,nonzero_cub,369,0.001,0.006,2.0
3,gemm,21469,4.963,7.143,74.5
3,hybridep_sync,900,4.475,693.631,62.0
3,dsa_backward,312,3.717,50.202,528.2
3,cat_copy,10479,2.912,7.297,14.7
3,elementwise,35315,2.175,1.944,8.8
3,fp32_simt_head,16,1.851,116.889,115742.0
3,dsa_forward,156,1.243,8.582,7916.8
3,dsa_indexer,840,1.055,2.549,1856.9
3,hybridep_dispatch,225,0.975,4.95,4461.2
3,hybridep_combine,225,0.87,4.424,3900.5
3,moe_permute,450,0.79,3.473,1743.4
3,nccl,429,0.588,12.653,547.0
3,activation,573,0.377,1.564,756.3
3,norm,1251,0.305,0.933,44.9
3,topk_router,683,0.144,0.559,20.4
3,hybridep_meta,750,0.082,1.937,1.6
3,cub_scan_sort,1276,0.076,2.069,1.9
3,other,1070,0.014,0.086,2.2
3,cross_entropy,8,0.006,0.759,757.6
3,nonzero_cub,369,0.001,0.006,1.8
4,gemm,21532,4.905,7.248,75.0
4,hybridep_sync,900,4.752,689.89,264.7
4,dsa_backward,312,3.717,50.699,528.7
4,cat_copy,10474,2.91,7.533,14.6
4,elementwise,35382,2.15,1.966,8.8
4,fp32_simt_head,16,1.854,117.27,115870.8
4,dsa_forward,156,1.243,9.2,7899.8
4,dsa_indexer,924,1.063,2.422,1232.3
4,hybridep_combine,225,0.868,4.462,3897.9
4,hybridep_dispatch,225,0.808,4.264,3699.4
4,moe_permute,450,0.768,3.616,1589.9
4,nccl,429,0.578,14.715,552.6
4,activation,564,0.371,1.554,769.9
4,norm,1251,0.304,0.96,45.1
4,topk_router,683,0.144,0.579,20.3
4,hybridep_meta,750,0.083,1.991,1.9
4,cub_scan_sort,1276,0.077,2.072,2.0
4,other,1070,0.014,0.096,2.2
4,cross_entropy,8,0.006,0.759,756.3
4,nonzero_cub,369,0.001,0.006,1.8
5,hybridep_sync,900,4.929,668.792,183.1
5,gemm,21566,4.744,6.857,74.8
5,dsa_backward,312,3.717,52.246,529.9
5,cat_copy,10448,2.886,7.186,14.5
5,elementwise,35395,2.124,1.939,8.7
5,fp32_simt_head,16,1.857,117.3,117066.7
5,dsa_forward,156,1.24,8.743,7881.4
5,dsa_indexer,966,1.109,2.897,1541.2
5,hybridep_combine,225,0.876,4.398,3928.9
5,hybridep_dispatch,225,0.824,4.196,3752.6
5,moe_permute,450,0.749,3.753,1530.5
5,nccl,429,0.584,14.853,654.1
5,activation,555,0.359,1.538,740.5
5,norm,1251,0.304,0.932,44.9
5,topk_router,683,0.143,0.589,20.2
5,hybridep_meta,750,0.081,0.777,1.9
5,cub_scan_sort,1276,0.076,2.047,2.1
5,other,1070,0.014,0.087,2.3
5,cross_entropy,8,0.006,0.759,756.5
5,nonzero_cub,369,0.001,0.006,1.9
6,gemm,21585,5.304,7.33,75.2
6,dsa_backward,312,3.765,55.293,530.5
6,hybridep_sync,900,3.672,700.163,364.9
6,cat_copy,10544,2.976,8.288,15.0
6,elementwise,35362,2.312,2.346,8.8
6,fp32_simt_head,16,1.852,117.043,115804.6
6,dsa_forward,156,1.251,9.745,7946.4
6,dsa_indexer,798,1.199,3.164,1534.6
6,moe_permute,450,0.872,3.72,1824.1
6,hybridep_combine,225,0.851,4.396,3772.3
6,hybridep_dispatch,225,0.762,4.212,3472.4
6,activation,606,0.423,1.678,799.4
6,nccl,429,0.368,13.15,452.8
6,norm,1251,0.306,0.996,45.2
6,topk_router,683,0.144,0.568,20.4
6,hybridep_meta,750,0.085,1.791,1.7
6,cub_scan_sort,1276,0.076,2.061,2.0
6,other,1070,0.014,0.088,2.2
6,cross_entropy,8,0.006,0.759,756.9
6,nonzero_cub,369,0.001,0.006,1.8
7,hybridep_sync,900,4.851,701.709,72.9
7,gemm,21536,4.716,7.072,72.8
7,dsa_backward,312,3.697,49.626,527.2
7,cat_copy,10421,2.876,7.224,14.4
7,elementwise,35188,2.104,2.04,8.8
7,fp32_simt_head,16,1.851,116.995,115714.3
