what,gpu,instances,wall_s,gpu_kernel_s
layer_forward,0,78,7.206,7.229
layer_recompute_forward,0,78,8.526,6.822
backward_minus_recompute_forward,0,1,,11.601
layer_forward,1,78,7.194,7.238
layer_recompute_forward,1,78,9.214,6.146
backward_minus_recompute_forward,1,1,,11.613
layer_forward,2,78,7.188,7.245
layer_recompute_forward,2,78,8.525,6.813
backward_minus_recompute_forward,2,1,,11.602
layer_forward,3,78,7.192,7.238
layer_recompute_forward,3,78,8.516,6.814
backward_minus_recompute_forward,3,1,,11.605
layer_forward,4,78,7.184,7.238
layer_recompute_forward,4,78,8.528,6.809
backward_minus_recompute_forward,4,1,,11.605
layer_forward,5,78,7.188,7.241
layer_recompute_forward,5,78,8.516,6.814
backward_minus_recompute_forward,5,1,,11.606
layer_forward,6,78,7.187,7.24
layer_recompute_forward,6,78,8.93,6.428
backward_minus_recompute_forward,6,1,,11.609
layer_forward,7,78,7.185,7.235
layer_recompute_forward,7,78,8.529,6.81
backward_minus_recompute_forward,7,1,,11.6
