api,signature,phase,inner_range,calls_all_pids,total_s_all_pids,max_ms
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < autograd::THPVariable_nonzero < autograd::PyNode::apply,backward,recompute,624,60.236,776.366
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < dynamo_eval_custom_code,backward,recompute+layer+moe,600,43.864,141.765
cudaStreamSynchronize,"Executor::metadata_preprocess_core < HybridEPBuffer::metadata_preprocessing < pybind11::cpp_function::initialize<pybind11::cpp_function::initialize<HandleImpl, HybridEPBuffer, HybridEpConfigInstance, at::Tensor, long, std::optional<long>, std::optional<long>, bool, bool, bool, pybind11::name, pybind11::is_method, pybind11::sibling, pybind11::kw_only, pybind11::arg, pybind11::arg, pybind11::arg, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v> < pybind11::cpp_function::dispatcher <  < autograd::PyNode::apply",backward,recompute+layer+moe+moe_dispatch+hybridep_dispatch,600,0.29,0.852
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < autograd::PyNode::apply,backward,recompute+layer+attention+dsa_indexer,336,13.303,89.613
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < dynamo_eval_custom_code,forward,layer+moe,75,4.563,111.379
cudaStreamSynchronize,"Executor::metadata_preprocess_core < HybridEPBuffer::metadata_preprocessing < pybind11::cpp_function::initialize<pybind11::cpp_function::initialize<HandleImpl, HybridEPBuffer, HybridEpConfigInstance, at::Tensor, long, std::optional<long>, std::optional<long>, bool, bool, bool, pybind11::name, pybind11::is_method, pybind11::sibling, pybind11::kw_only, pybind11::arg, pybind11::arg, pybind11::arg, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v> < pybind11::cpp_function::dispatcher < ",forward,layer+moe+moe_dispatch+hybridep_dispatch,75,0.037,1.056
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < ops::_to_copy::call,backward,-,64,6.504,118.834
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < make_info < at::meta::structured_index_Tensor::meta,forward,layer+attention,45,0.007,6.245
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < ,forward,layer+attention+dsa_indexer,42,1.012,115.509
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item,forward,lm_head,17,0.874,118.269
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item,-,-,6,0.0,0.014
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < make_info < at::meta::structured_index_Tensor::meta,forward,lm_head,3,0.118,117.9
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < copy_kernel_cuda < copy_impl,-,-,2,0.0,0.003
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < make_info < _index_put_impl_,forward,lm_head,1,0.0,0.014
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item,forward,-,1,0.003,2.538
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < expandTensors < makeLinearIndex,backward,-,1,0.118,117.532
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < autograd::VariableType::,-,-,1,0.0,0.008
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < ops::_to_copy::call,-,-,1,0.0,0.011
