waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,1125199045,13.478,7,0.0,1.021,laggard_gpu_busy,gemm=7.6ms;moe_permute=3.1ms;elementwise=2.2ms,forward|attention|dsa_indexer
0,1265103777,7.098,1,0.001,1.046,laggard_gpu_busy,gemm=5.0ms;moe_permute=2.2ms;elementwise=0.2ms,forward|moe
0,1329626046,20.499,6,0.0,1.013,laggard_gpu_busy,elementwise=7.6ms;gemm=7.4ms;moe_permute=3.1ms,forward|moe
0,1412482678,11.915,4,0.0,1.024,laggard_gpu_busy,gemm=6.7ms;moe_permute=2.8ms;elementwise=1.9ms,forward|moe
0,1484163528,6.493,5,0.001,1.051,laggard_gpu_busy,gemm=4.4ms;moe_permute=2.4ms;hybridep_combine=0.0ms,forward|attention|dsa_indexer
0,1619386381,13.286,2,0.0,1.021,laggard_gpu_busy,gemm=5.8ms;elementwise=4.4ms;moe_permute=2.6ms,forward|moe
0,1688459360,15.588,3,0.0,1.019,laggard_gpu_busy,gemm=6.2ms;elementwise=6.2ms;moe_permute=2.7ms,forward|moe
0,1759724494,27.579,6,0.0,1.024,laggard_gpu_busy,gemm=12.8ms;elementwise=8.3ms;moe_permute=3.2ms,forward|moe
0,1847286429,18.189,6,0.0,1.015,laggard_gpu_busy,elementwise=7.3ms;gemm=7.0ms;moe_permute=3.3ms,forward|attention|dsa_indexer
0,1992989054,15.692,3,0.0,1.017,laggard_gpu_busy,gemm=5.9ms;elementwise=5.8ms;moe_permute=2.5ms,forward|moe
0,2059282832,27.88,2,0.0,1.027,laggard_gpu_busy,gemm=14.2ms;elementwise=7.5ms;moe_permute=3.3ms,forward|moe
0,2150178983,14.102,4,0.0,1.021,laggard_gpu_busy,gemm=7.2ms;elementwise=3.4ms;moe_permute=2.9ms,forward|moe
0,2217067745,29.701,4,0.0,1.036,laggard_gpu_busy,gemm=15.0ms;elementwise=8.4ms;moe_permute=3.2ms,forward|attention|dsa_indexer
0,2370538494,26.118,3,0.0,1.022,laggard_gpu_busy,gemm=12.2ms;elementwise=7.7ms;moe_permute=3.1ms,forward|moe
0,2524033851,27.735,4,0.0,1.017,laggard_gpu_busy,gemm=12.7ms;elementwise=8.2ms;moe_permute=3.3ms,forward|moe
0,2761527837,23.745,6,0.0,1.013,laggard_gpu_busy,gemm=8.5ms;elementwise=8.0ms;moe_permute=3.7ms,forward|moe
0,2849733172,5.813,4,0.001,1.02,laggard_gpu_busy,gemm=3.5ms;moe_permute=2.4ms;hybridep_meta=0.0ms,forward|moe
0,2913631498,8.25,1,0.001,1.037,laggard_gpu_busy,gemm=5.2ms;moe_permute=2.4ms;cat_copy=0.6ms,forward|moe
0,2982794079,9.018,5,0.001,1.029,laggard_gpu_busy,gemm=5.7ms;moe_permute=2.6ms;cat_copy=0.7ms,forward|attention|dsa_indexer
0,3121629614,9.191,7,0.0,1.035,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.7ms;cat_copy=0.3ms,forward|moe
0,3195733566,6.874,6,0.001,1.032,laggard_gpu_busy,gemm=4.2ms;moe_permute=2.8ms;hybridep_combine=0.0ms,forward|moe
0,3260474718,18.187,3,0.0,1.018,laggard_gpu_busy,gemm=7.0ms;elementwise=6.8ms;moe_permute=3.0ms,forward|moe
0,3339348198,20.852,3,0.0,1.012,laggard_gpu_busy,elementwise=7.9ms;gemm=7.9ms;moe_permute=3.2ms,forward|attention|dsa_indexer
0,3486865020,17.133,2,0.0,1.017,laggard_gpu_busy,elementwise=6.9ms;gemm=6.8ms;moe_permute=2.9ms,forward|moe
0,3554560735,24.546,5,0.0,1.043,laggard_gpu_busy,gemm=12.4ms;elementwise=6.9ms;moe_permute=3.0ms,forward|moe
0,3711982891,20.581,6,0.0,1.013,laggard_gpu_busy,elementwise=7.9ms;gemm=7.8ms;moe_permute=3.1ms,forward|attention|dsa_indexer
0,3921903302,16.806,6,0.0,0.984,laggard_gpu_busy,gemm=5.8ms;elementwise=5.4ms;moe_permute=2.8ms,forward|moe
0,3994195776,28.314,5,0.0,1.019,laggard_gpu_busy,gemm=12.6ms;elementwise=8.4ms;moe_permute=3.8ms,forward|moe
0,4085997185,7.284,1,0.001,1.039,laggard_gpu_busy,gemm=5.0ms;moe_permute=2.5ms;hybridep_meta=0.0ms,forward|attention|dsa_indexer
0,4222812345,9.065,2,0.001,1.034,laggard_gpu_busy,gemm=5.8ms;moe_permute=2.6ms;cat_copy=0.7ms,forward|moe
0,4371935490,12.283,5,0.0,1.027,laggard_gpu_busy,gemm=6.1ms;elementwise=3.0ms;moe_permute=2.8ms,forward|moe
0,4445279017,11.896,1,0.0,1.025,laggard_gpu_busy,gemm=6.6ms;moe_permute=2.8ms;elementwise=2.1ms,forward|attention|dsa_indexer
0,4583410288,20.599,6,0.0,1.015,laggard_gpu_busy,gemm=7.4ms;elementwise=7.4ms;moe_permute=3.3ms,forward|moe
0,4665897314,15.748,7,0.0,1.016,laggard_gpu_busy,gemm=6.9ms;elementwise=5.2ms;moe_permute=3.0ms,forward|moe
0,4808971524,17.741,4,0.0,1.016,laggard_gpu_busy,gemm=7.0ms;elementwise=6.8ms;moe_permute=3.1ms,forward|attention|dsa_indexer
0,4951794275,18.453,7,0.0,1.016,laggard_gpu_busy,gemm=6.7ms;elementwise=6.7ms;moe_permute=2.9ms,forward|moe
0,5029935618,20.231,6,0.0,1.011,laggard_gpu_busy,elementwise=8.1ms;gemm=7.6ms;moe_permute=3.3ms,forward|moe
0,5109795574,14.009,1,0.0,1.02,laggard_gpu_busy,gemm=6.5ms;elementwise=4.4ms;moe_permute=2.7ms,forward|moe
0,5177343543,39.826,1,0.0,1.025,laggard_gpu_busy,gemm=21.3ms;elementwise=10.1ms;moe_permute=4.5ms,forward|attention|dsa_indexer
0,5421471112,20.819,6,0.0,1.013,laggard_gpu_busy,gemm=7.9ms;elementwise=7.8ms;moe_permute=3.5ms,forward|moe
0,5570374767,34.627,4,0.0,1.029,laggard_gpu_busy,gemm=18.0ms;elementwise=9.4ms;moe_permute=3.6ms,forward|attention|dsa_indexer
0,5731624616,17.882,6,0.0,1.016,laggard_gpu_busy,elementwise=6.8ms;gemm=6.8ms;moe_permute=3.0ms,forward|moe
0,5807310378,13.286,7,0.0,1.018,laggard_gpu_busy,gemm=5.8ms;elementwise=4.0ms;moe_permute=3.0ms,forward|moe
0,5886606071,7.418,3,0.001,1.032,laggard_gpu_busy,gemm=4.9ms;moe_permute=2.8ms;hybridep_meta=0.0ms,forward|moe
0,5952930282,12.884,2,0.0,1.024,laggard_gpu_busy,gemm=6.1ms;elementwise=3.4ms;moe_permute=3.0ms,forward|attention|dsa_indexer
0,6088286000,25.921,1,0.0,1.011,laggard_gpu_busy,gemm=12.7ms;elementwise=7.0ms;moe_permute=3.1ms,forward|moe
0,6165744616,27.064,2,0.0,0.839,laggard_gpu_busy,gemm=8.0ms;elementwise=7.8ms;moe_permute=3.5ms,forward|moe
0,6324072254,11.029,4,0.0,1.023,laggard_gpu_busy,gemm=7.0ms;moe_permute=3.1ms;cat_copy=0.8ms,forward|attention|dsa_indexer
0,6461231194,17.009,1,0.0,1.015,laggard_gpu_busy,gemm=6.5ms;elementwise=6.4ms;moe_permute=2.8ms,forward|moe
0,6532895692,12.65,1,0.0,1.021,laggard_gpu_busy,gemm=5.5ms;elementwise=4.3ms;moe_permute=2.5ms,forward|moe
0,6671881789,24.601,1,0.0,1.017,laggard_gpu_busy,elementwise=8.9ms;gemm=8.6ms;moe_permute=3.6ms,forward|attention|dsa_indexer
0,6821272138,17.225,6,0.0,1.016,laggard_gpu_busy,gemm=6.2ms;elementwise=6.2ms;moe_permute=2.7ms,forward|moe
0,6898529759,10.598,4,0.001,1.036,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.6ms;elementwise=1.6ms,forward|moe
0,7040852087,15.101,3,0.0,1.022,laggard_gpu_busy,gemm=6.7ms;elementwise=5.2ms;moe_permute=2.8ms,forward|attention|dsa_indexer
0,7179649478,16.693,6,0.0,1.019,laggard_gpu_busy,gemm=6.2ms;elementwise=6.2ms;moe_permute=2.7ms,forward|moe
0,7246639329,22.737,1,0.0,1.049,laggard_gpu_busy,gemm=11.8ms;elementwise=6.2ms;moe_permute=2.8ms,forward|moe
0,7393522896,21.319,5,0.0,1.014,laggard_gpu_busy,gemm=9.6ms;elementwise=6.3ms;moe_permute=2.7ms,forward|attention|dsa_indexer
0,7549386730,9.729,4,0.001,1.026,laggard_gpu_busy,gemm=6.3ms;moe_permute=2.7ms;cat_copy=0.7ms,forward|moe
0,7607523740,33.763,6,0.0,1.025,laggard_gpu_busy,gemm=18.8ms;elementwise=8.5ms;moe_permute=3.2ms,forward|moe
0,7707204442,9.401,6,0.001,1.032,laggard_gpu_busy,gemm=6.7ms;moe_permute=2.9ms;elementwise=0.1ms,forward|moe
0,7769751105,34.188,1,0.0,1.026,laggard_gpu_busy,gemm=17.7ms;elementwise=9.3ms;moe_permute=3.5ms,forward|lm_head
0,9784131199,693.095,1,0.0,0.049,laggard_gpu_idle(host),gemm=17.4ms;elementwise=9.0ms;moe_permute=3.4ms,backward|moe|recompute
0,10500154575,44.123,1,0.0,1.011,laggard_gpu_busy,gemm=18.6ms;elementwise=11.0ms;cat_copy=7.8ms,backward|recompute
0,10695947427,9.341,6,0.001,1.037,laggard_gpu_busy,gemm=6.8ms;moe_permute=2.9ms;elementwise=0.0ms,backward|recompute
0,10743413526,11.103,6,0.001,1.036,laggard_gpu_busy,gemm=8.4ms;moe_permute=3.1ms;hybridep_combine=0.0ms,backward|recompute
0,10890952141,417.236,6,0.0,0.083,laggard_gpu_idle(host),gemm=19.0ms;elementwise=8.5ms;moe_permute=3.2ms,backward|moe|recompute
0,11326548765,43.999,6,0.0,1.018,laggard_gpu_busy,gemm=18.4ms;elementwise=10.0ms;cat_copy=9.5ms,backward|recompute
0,11527655568,9.284,4,0.001,1.029,laggard_gpu_busy,gemm=6.3ms;moe_permute=2.7ms;elementwise=0.3ms,backward|recompute
0,11571385687,11.299,4,0.0,1.038,laggard_gpu_busy,gemm=8.8ms;moe_permute=2.9ms;hybridep_meta=0.0ms,backward|recompute
0,11718243397,21.226,5,0.0,1.016,laggard_gpu_busy,gemm=9.5ms;elementwise=6.3ms;moe_permute=2.7ms,backward|recompute
0,11760015157,25.199,5,0.0,1.025,laggard_gpu_busy,gemm=12.4ms;elementwise=6.2ms;moe_permute=2.9ms,backward|recompute
0,12121833178,22.285,1,0.0,1.054,laggard_gpu_busy,gemm=11.7ms;elementwise=6.1ms;moe_permute=2.7ms,backward|recompute
0,12163777004,26.865,1,0.0,1.028,laggard_gpu_busy,gemm=12.7ms;elementwise=7.5ms;moe_permute=2.9ms,backward|recompute
0,12347574609,17.237,6,0.0,1.018,laggard_gpu_busy,elementwise=6.4ms;gemm=6.3ms;moe_permute=2.8ms,backward|recompute
0,12390791282,20.384,6,0.0,1.036,laggard_gpu_busy,gemm=12.7ms;moe_permute=3.0ms;activation=2.7ms,backward|recompute
0,12556495904,17.015,3,0.0,1.018,laggard_gpu_busy,gemm=6.7ms;elementwise=6.6ms;moe_permute=2.8ms,backward|recompute
0,12600627467,20.58,3,0.0,1.039,laggard_gpu_busy,gemm=13.5ms;moe_permute=3.0ms;activation=2.8ms,backward|recompute
0,12963828513,10.234,4,0.001,1.033,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.7ms;elementwise=1.2ms,backward|recompute
0,13004686278,12.62,4,0.0,1.053,laggard_gpu_busy,gemm=10.5ms;moe_permute=2.8ms;hybridep_combine=0.0ms,backward|recompute
0,13163811910,17.32,6,0.0,1.016,laggard_gpu_busy,gemm=6.3ms;elementwise=6.2ms;moe_permute=2.8ms,backward|recompute
0,13206392351,21.452,6,0.0,1.03,laggard_gpu_busy,gemm=12.5ms;moe_permute=3.0ms;activation=2.8ms,backward|recompute
0,13378449689,23.709,1,0.0,1.017,laggard_gpu_busy,gemm=8.7ms;elementwise=8.2ms;moe_permute=3.3ms,backward|recompute
0,13430774950,31.447,1,0.0,1.023,laggard_gpu_busy,gemm=16.4ms;cat_copy=6.1ms;activation=3.3ms,backward|recompute
0,13793158226,12.751,1,0.0,1.019,laggard_gpu_busy,gemm=5.5ms;elementwise=4.3ms;moe_permute=2.5ms,backward|recompute
0,13830924082,15.13,1,0.0,1.046,laggard_gpu_busy,gemm=11.0ms;moe_permute=2.6ms;activation=1.3ms,backward|recompute
0,13992986261,17.379,1,0.0,1.015,laggard_gpu_busy,elementwise=6.7ms;gemm=6.6ms;moe_permute=3.0ms,backward|recompute
0,14036820893,21.022,1,0.0,1.032,laggard_gpu_busy,gemm=13.1ms;moe_permute=3.1ms;activation=2.8ms,backward|recompute
0,14210259911,10.355,4,0.001,1.032,laggard_gpu_busy,gemm=7.0ms;moe_permute=2.9ms;cat_copy=0.5ms,backward|recompute
0,14257176308,12.569,4,0.0,1.035,laggard_gpu_busy,gemm=10.0ms;moe_permute=3.0ms;hybridep_combine=0.0ms,backward|recompute
0,14588463407,26.438,2,0.0,0.839,laggard_gpu_busy,gemm=8.0ms;elementwise=7.4ms;moe_permute=3.3ms,backward|recompute
0,14635540606,31.703,2,0.0,1.022,laggard_gpu_busy,gemm=14.4ms;elementwise=8.9ms;moe_permute=3.3ms,backward|recompute
0,14807560023,26.732,1,0.0,1.009,laggard_gpu_busy,gemm=12.7ms;elementwise=7.4ms;moe_permute=3.3ms,backward|recompute
0,14854976905,31.875,1,0.0,1.021,laggard_gpu_busy,gemm=14.7ms;elementwise=8.9ms;moe_permute=3.3ms,backward|recompute
0,15034889984,13.347,2,0.0,1.026,laggard_gpu_busy,gemm=6.2ms;elementwise=3.7ms;moe_permute=3.1ms,backward|recompute
0,15077869566,16.024,2,0.0,1.054,laggard_gpu_busy,gemm=12.1ms;moe_permute=3.0ms;cat_copy=1.0ms,backward|recompute
0,15249561876,7.1,3,0.001,1.013,laggard_gpu_busy,gemm=4.3ms;moe_permute=2.8ms;hybridep_meta=0.0ms,backward|recompute
0,15293548029,8.604,3,0.001,1.024,laggard_gpu_busy,gemm=5.9ms;moe_permute=2.9ms;hybridep_meta=0.0ms,backward|recompute
0,15443091948,13.015,7,0.0,1.019,laggard_gpu_busy,gemm=5.7ms;elementwise=4.1ms;moe_permute=2.8ms,backward|recompute
0,15483974321,15.306,7,0.0,1.039,laggard_gpu_busy,gemm=11.4ms;moe_permute=2.8ms;cat_copy=1.0ms,backward|recompute
0,15645542958,17.798,6,0.0,1.016,laggard_gpu_busy,gemm=6.8ms;elementwise=6.7ms;moe_permute=3.0ms,backward|recompute
0,15691226476,22.558,6,0.0,1.033,laggard_gpu_busy,gemm=13.7ms;moe_permute=3.3ms;activation=3.0ms,backward|recompute
0,15853067245,34.26,4,0.0,1.029,laggard_gpu_busy,gemm=18.3ms;elementwise=9.1ms;moe_permute=3.4ms,backward|recompute
0,15908506175,44.364,4,0.0,1.017,laggard_gpu_busy,gemm=18.0ms;elementwise=10.8ms;cat_copy=9.0ms,backward|recompute
0,16309588214,21.216,6,0.0,1.013,laggard_gpu_busy,elementwise=8.3ms;gemm=7.8ms;moe_permute=3.4ms,backward|recompute
0,16360844406,28.463,6,0.0,1.026,laggard_gpu_busy,gemm=15.6ms;cat_copy=5.0ms;moe_permute=3.3ms,backward|recompute
0,16729254281,39.5,1,0.0,1.025,laggard_gpu_busy,gemm=20.9ms;elementwise=10.7ms;moe_permute=3.8ms,backward|recompute
0,16791438155,53.894,1,0.0,1.012,laggard_gpu_busy,gemm=20.8ms;elementwise=13.4ms;cat_copy=11.7ms,backward|recompute
0,16992092600,14.67,1,0.0,1.018,laggard_gpu_busy,gemm=6.6ms;elementwise=4.5ms;moe_permute=3.1ms,backward|recompute
0,17036623529,18.703,1,0.0,1.036,laggard_gpu_busy,gemm=12.9ms;moe_permute=3.3ms;activation=2.0ms,backward|recompute
0,17205139384,20.227,6,0.0,1.012,laggard_gpu_busy,elementwise=8.2ms;gemm=7.7ms;moe_permute=3.6ms,backward|recompute
0,17255990484,25.05,6,0.0,1.029,laggard_gpu_busy,gemm=15.3ms;moe_permute=3.5ms;activation=3.4ms,backward|recompute
0,17427075266,18.791,7,0.0,1.014,laggard_gpu_busy,elementwise=6.8ms;gemm=6.8ms;moe_permute=3.2ms,backward|recompute
0,17472370683,22.786,7,0.0,1.028,laggard_gpu_busy,gemm=13.2ms;moe_permute=3.2ms;activation=2.9ms,backward|recompute
0,17639466650,18.046,4,0.0,1.014,laggard_gpu_busy,elementwise=7.0ms;gemm=7.0ms;moe_permute=3.0ms,backward|recompute
0,17686279653,21.207,4,0.0,1.03,laggard_gpu_busy,gemm=13.9ms;moe_permute=3.1ms;activation=2.9ms,backward|recompute
0,18052650689,16.711,7,0.0,1.016,laggard_gpu_busy,gemm=7.1ms;elementwise=5.6ms;moe_permute=3.4ms,backward|recompute
0,18101044191,19.943,7,0.0,1.031,laggard_gpu_busy,gemm=13.9ms;moe_permute=3.3ms;activation=2.1ms,backward|recompute
0,18270766013,20.794,6,0.0,1.013,laggard_gpu_busy,elementwise=7.5ms;gemm=7.4ms;moe_permute=3.2ms,backward|recompute
0,18320023365,24.343,6,0.0,1.026,laggard_gpu_busy,gemm=14.8ms;moe_permute=3.3ms;activation=3.1ms,backward|recompute
0,18500090750,12.425,1,0.0,1.024,laggard_gpu_busy,gemm=6.7ms;moe_permute=2.9ms;elementwise=2.4ms,backward|recompute
0,18545128885,14.758,1,0.0,1.039,laggard_gpu_busy,gemm=12.3ms;moe_permute=3.0ms;hybridep_combine=0.0ms,backward|recompute
0,18705383458,12.571,5,0.0,1.024,laggard_gpu_busy,gemm=6.1ms;elementwise=3.2ms;moe_permute=2.8ms,backward|recompute
0,18748046108,15.276,5,0.0,1.052,laggard_gpu_busy,gemm=12.2ms;moe_permute=3.0ms;cat_copy=0.8ms,backward|recompute
0,19137679372,9.42,2,0.001,1.029,laggard_gpu_busy,gemm=5.8ms;moe_permute=2.8ms;cat_copy=0.7ms,backward|recompute
0,19178739507,11.315,2,0.0,1.049,laggard_gpu_busy,gemm=9.1ms;moe_permute=2.7ms;hybridep_combine=0.0ms,backward|recompute
0,19341095545,8.568,1,0.001,1.044,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.6ms;elementwise=0.2ms,backward|recompute
0,19382828169,10.853,1,0.0,1.043,laggard_gpu_busy,gemm=8.3ms;moe_permute=3.0ms;hybridep_combine=0.0ms,backward|recompute
0,19543104214,28.081,5,0.0,1.021,laggard_gpu_busy,gemm=12.8ms;elementwise=8.5ms;moe_permute=3.3ms,backward|recompute
0,19596223085,36.876,5,0.0,1.017,laggard_gpu_busy,gemm=16.7ms;elementwise=7.5ms;cat_copy=6.4ms,backward|recompute
0,19769570646,16.477,6,0.0,1.019,laggard_gpu_busy,gemm=6.4ms;elementwise=5.3ms;moe_permute=2.6ms,backward|recompute
0,19807393846,19.27,6,0.0,1.032,laggard_gpu_busy,gemm=10.7ms;elementwise=2.8ms;moe_permute=2.8ms,backward|recompute
0,20020802075,5.192,5,0.001,1.041,laggard_gpu_busy,gemm=2.9ms;moe_permute=2.5ms;hybridep_combine=0.0ms,backward|recompute
