gpu,globalTid,api,calls,total_s,max_ms
0,0x100ee2b00f653,cudaStreamSynchronize,279,12.84,106.213
0,0x100ee2b011b92,cudaStreamSynchronize,254,5.241,113.68
1,0x100ee2c00f65c,cudaStreamSynchronize,278,12.68,106.591
1,0x100ee2c00ee2c,cudaStreamSynchronize,253,5.636,508.07
2,0x100ee2d00f62c,cudaStreamSynchronize,278,12.523,105.022
2,0x100ee2d00ee2d,cudaStreamSynchronize,253,5.053,111.645
3,0x100ee2e00f646,cudaStreamSynchronize,278,12.578,104.917
3,0x100ee2e00ee2e,cudaStreamSynchronize,253,5.511,507.786
4,0x100ee3200f611,cudaStreamSynchronize,278,12.57,104.053
4,0x100ee3200ee32,cudaStreamSynchronize,256,5.512,507.905
5,0x100ee3600f638,cudaStreamSynchronize,278,12.558,104.247
5,0x100ee3600ee36,cudaStreamSynchronize,256,5.481,507.669
6,0x100ee3a00f641,cudaStreamSynchronize,278,12.58,104.972
6,0x100ee3a00ee3a,cudaStreamSynchronize,256,5.508,507.599
7,0x100ee3e00f652,cudaStreamSynchronize,278,12.55,104.788
7,0x100ee3e00ee3e,cudaStreamSynchronize,256,5.502,507.632
