k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,96.157,123.213,1.281,0,123.213,116.07,111.399,109.872,76.315,72.914,79.713,79.759
1,108.776,112.953,1.038,0,112.953,111.886,110.688,106.883,108.883,108.666,105.252,104.994
2,80.228,84.04,1.048,6,77.073,77.893,79.852,81.6,80.916,78.111,84.04,82.34
3,17.686,20.269,1.146,0,20.269,18.483,18.162,20.151,18.478,18.942,10.563,16.439
4,10.774,11.038,1.025,5,10.812,10.498,10.737,10.744,10.697,11.038,10.674,10.991
5,10.648,10.825,1.017,7,10.607,10.576,10.581,10.713,10.588,10.631,10.668,10.825
6,74.153,82.402,1.111,7,71.044,70.947,71.319,73.064,71.543,74.169,78.74,82.402
7,10.587,10.726,1.013,6,10.348,10.658,10.66,10.587,10.552,10.574,10.726,10.59
8,12.826,13.69,1.067,6,12.47,12.716,12.666,12.802,12.718,12.749,13.69,12.798
9,11.382,13.161,1.156,4,11.183,10.9,11.062,11.252,13.161,11.17,11.096,11.23
10,77.355,83.829,1.084,7,73.829,73.75,74.275,74.454,78.949,77.791,81.96,83.829
11,10.864,11.084,1.02,2,10.514,10.725,11.084,10.921,10.773,10.972,11.042,10.879
12,11.689,12.228,1.046,3,11.259,11.459,11.555,12.228,12.222,11.624,11.554,11.615
13,11.624,12.446,1.071,6,11.361,11.351,11.726,11.451,11.362,11.652,12.446,11.646
14,73.612,83.898,1.14,6,69.753,69.664,70.131,69.996,73.861,72.459,83.898,79.137
15,10.939,11.567,1.057,2,10.522,10.849,11.567,11.132,11.06,10.835,10.758,10.791
16,11.76,12.341,1.049,2,11.55,11.732,12.341,11.76,11.915,11.761,11.322,11.699
17,11.67,12.084,1.035,4,11.296,11.523,11.547,11.874,12.084,11.67,11.606,11.765
18,76.205,81.136,1.065,4,72.716,72.888,73.154,73.129,81.136,76.105,80.769,79.741
19,12.296,13.127,1.068,4,11.891,12.041,12.168,12.528,13.127,12.249,12.184,12.177
20,10.735,10.928,1.018,2,10.749,10.683,10.928,10.714,10.656,10.736,10.686,10.731
21,12.113,12.702,1.049,7,11.926,12.073,11.931,11.886,12.398,12.014,11.972,12.702
22,74.272,79.304,1.068,6,73.368,71.448,72.069,72.026,72.323,74.961,79.304,78.673
23,11.154,11.842,1.062,6,10.783,10.975,11.04,11.178,10.915,11.304,11.842,11.198
24,11.361,12.695,1.117,1,10.679,12.695,10.969,10.95,11.278,10.989,12.327,11.004
25,11.391,11.981,1.052,2,11.033,11.36,11.981,11.24,11.21,11.442,11.488,11.37
26,75.621,83.956,1.11,6,70.906,75.43,73.252,74.234,71.133,78.672,83.956,77.387
27,11.554,11.93,1.033,1,11.442,11.93,11.491,11.501,11.459,11.477,11.437,11.692
28,11.073,11.26,1.017,3,11.048,10.96,11.043,11.26,10.949,11.201,11.114,11.007
29,10.975,11.257,1.026,3,10.87,11.123,10.902,11.257,10.87,10.948,10.91,10.918
30,73.777,81.821,1.109,6,70.442,70.294,70.629,76.187,70.668,73.056,81.821,77.118
31,10.744,10.938,1.018,1,10.519,10.938,10.915,10.879,10.711,10.693,10.566,10.733
32,10.995,11.196,1.018,5,10.775,10.947,10.986,10.983,11.009,11.196,11.082,10.985
