k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,6.256,6.739,1.077,1,6.39,6.739,5.99,6.184,5.846,6.302,6.015,6.581
1,5.801,6.316,1.089,0,6.316,6.313,5.545,6.143,5.249,5.272,5.444,6.122
2,6.249,7.13,1.141,0,7.13,6.556,5.62,6.997,5.756,5.705,5.983,6.243
3,5.838,6.191,1.06,1,6.055,6.191,5.74,6.124,5.44,5.558,5.615,5.981
4,6.34,7.346,1.159,1,6.654,7.346,6.002,6.986,5.778,5.619,5.922,6.414
5,6.295,6.783,1.077,0,6.783,6.518,5.76,6.565,5.784,5.629,6.676,6.646
6,5.975,6.385,1.069,7,6.146,6.148,5.52,6.274,6.035,5.565,5.727,6.385
7,6.141,6.833,1.113,3,6.441,6.347,5.721,6.833,5.428,5.956,5.87,6.529
8,6.249,6.822,1.092,3,6.348,6.16,6.41,6.822,5.807,6.048,6.094,6.298
9,6.513,7.409,1.138,1,6.695,7.409,6.571,6.323,5.625,6.516,5.965,7.004
10,6.484,7.166,1.105,7,6.7,6.826,6.088,6.505,6.352,5.478,6.761,7.166
11,5.954,6.6,1.109,1,6.013,6.6,5.615,6.289,6.032,5.35,5.575,6.158
12,6.226,6.779,1.089,3,6.103,6.501,6.012,6.779,6.467,5.841,5.724,6.379
13,6.324,6.971,1.102,0,6.971,6.645,5.872,6.663,6.003,5.336,6.415,6.683
14,6.645,7.47,1.124,7,6.52,6.66,5.852,7.183,6.917,5.886,6.67,7.47
15,6.369,7.013,1.101,1,6.489,7.013,6.207,6.544,6.635,5.622,5.535,6.909
16,6.735,7.47,1.109,7,6.747,6.721,6.989,7.209,6.263,5.901,6.577,7.47
17,6.481,7.457,1.151,7,6.985,7.0,6.018,6.206,6.405,6.167,5.609,7.457
18,6.562,7.281,1.11,7,7.159,6.418,6.69,6.866,6.595,5.679,5.808,7.281
19,6.351,7.029,1.107,3,6.886,6.746,5.828,7.029,5.973,6.746,5.811,5.785
20,6.146,6.816,1.109,0,6.816,6.685,5.575,6.311,5.593,5.687,6.589,5.913
21,5.84,6.362,1.089,3,6.119,5.826,5.55,6.362,5.47,5.646,5.759,5.987
22,6.137,6.876,1.12,1,6.595,6.876,5.833,6.646,5.209,5.643,5.911,6.388
23,6.383,7.275,1.14,1,7.144,7.275,5.907,6.823,5.572,6.15,5.75,6.441
24,6.596,7.453,1.13,0,7.453,6.8,5.688,7.196,6.33,6.797,5.888,6.619
25,6.426,7.527,1.171,1,6.945,7.527,6.239,6.369,5.528,6.964,6.009,5.826
26,6.502,7.053,1.085,0,7.053,6.869,6.182,6.342,5.736,6.464,6.738,6.632
27,6.127,6.779,1.106,1,6.498,6.779,5.697,6.751,5.447,5.538,5.645,6.663
28,6.634,7.835,1.181,3,6.558,7.156,6.141,7.835,6.056,6.398,5.979,6.949
29,6.645,7.001,1.054,5,6.681,6.841,6.663,6.89,6.15,7.001,5.961,6.97
