k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,11.56,11.786,1.02,1,11.405,11.786,11.52,11.594,11.598,11.442,11.676,11.462
1,11.587,11.779,1.017,1,11.42,11.779,11.554,11.633,11.635,11.457,11.682,11.538
2,11.587,11.811,1.019,1,11.477,11.811,11.488,11.666,11.655,11.432,11.635,11.531
3,30.947,39.071,1.263,0,39.071,29.656,30.7,25.027,29.002,37.126,31.678,25.317
4,29.366,32.644,1.112,3,29.747,30.841,30.421,32.644,27.325,25.086,30.464,28.403
5,29.86,41.319,1.384,7,33.334,27.265,25.693,31.779,25.817,24.997,28.675,41.319
6,37.909,44.906,1.185,1,39.72,44.906,43.545,37.276,38.522,37.448,36.114,25.744
7,30.367,41.014,1.351,6,28.993,32.961,28.319,32.07,26.407,25.475,41.014,27.698
8,34.175,43.038,1.259,4,36.209,31.771,32.113,33.228,43.038,30.552,31.387,35.099
9,31.234,35.626,1.141,5,31.309,30.757,30.168,30.026,29.796,35.626,29.547,32.642
10,35.588,45.739,1.285,2,37.196,35.741,45.739,40.774,26.844,34.613,36.486,27.31
11,29.853,37.642,1.261,3,27.687,24.001,32.727,37.642,32.841,28.824,29.499,25.605
12,32.029,45.968,1.435,6,28.918,35.805,35.271,22.958,22.269,33.026,45.968,32.018
13,32.303,39.969,1.237,6,31.908,30.044,30.497,29.372,34.55,26.473,39.969,35.611
14,39.54,49.98,1.264,3,39.918,45.567,47.862,49.98,39.926,36.494,26.749,29.826
15,30.269,43.168,1.426,2,23.96,25.302,43.168,28.506,31.626,26.506,37.323,25.756
16,31.885,42.308,1.327,4,34.45,29.709,26.15,31.832,42.308,25.052,34.391,31.186
17,32.182,45.779,1.422,4,27.845,28.226,27.004,31.548,45.779,27.187,35.061,34.81
18,36.414,52.434,1.44,3,35.888,39.823,39.117,52.434,36.073,29.724,24.914,33.335
19,33.816,42.0,1.242,0,42.0,29.084,40.766,32.438,26.989,27.502,34.367,37.383
20,29.926,44.256,1.479,4,26.172,36.34,24.851,21.009,44.256,26.466,21.769,38.546
21,32.509,45.314,1.394,0,45.314,24.942,37.283,29.586,30.63,25.119,36.94,30.258
22,34.496,42.291,1.226,6,33.723,35.353,32.776,37.255,33.748,40.643,42.291,20.179
23,31.006,36.217,1.168,1,32.989,36.217,27.749,28.589,35.576,27.618,34.232,25.083
24,31.207,34.204,1.096,3,30.783,34.135,32.68,34.204,28.163,32.042,29.238,28.412
25,30.347,35.762,1.178,5,31.062,30.095,28.987,35.423,23.839,35.762,28.826,28.781
26,38.029,45.463,1.195,0,45.463,42.389,37.27,39.758,37.169,32.632,25.957,43.595
27,31.969,38.044,1.19,6,35.784,25.245,26.029,33.384,32.816,37.269,38.044,27.181
28,30.213,39.394,1.304,3,28.462,35.762,29.673,39.394,23.46,37.403,27.193,20.354
29,30.59,42.778,1.398,3,30.024,27.504,29.136,42.778,24.446,30.438,34.195,26.203
30,38.43,51.788,1.348,2,40.7,42.874,51.788,36.926,37.172,35.009,26.089,36.883
31,30.634,40.458,1.321,5,24.077,28.653,26.033,36.012,26.854,40.458,34.728,28.261
32,30.638,38.654,1.262,0,38.654,27.477,33.514,25.864,28.279,36.582,25.999,28.738
33,30.989,42.776,1.38,6,30.147,37.627,23.128,26.464,30.456,26.128,42.776,31.189
34,35.443,43.141,1.217,3,39.658,36.396,32.92,43.141,34.749,39.0,29.07,28.605
35,30.356,34.12,1.124,6,23.95,29.387,31.563,29.644,32.56,29.593,34.12,32.033
36,30.125,43.776,1.453,5,26.999,20.889,28.606,28.543,23.461,43.776,38.134,30.591
37,30.241,36.983,1.223,1,32.175,36.983,32.169,34.369,24.428,24.795,27.804,29.207
38,33.018,40.304,1.221,2,37.011,28.337,40.304,32.188,40.161,27.854,33.908,24.382
39,32.407,43.368,1.338,0,43.368,31.56,29.917,31.635,33.225,29.276,31.121,29.154
40,30.015,36.844,1.227,5,29.367,33.609,26.636,26.055,33.417,36.844,25.949,28.246
41,30.326,38.922,1.283,1,31.687,38.922,27.551,30.148,32.708,24.993,26.872,29.728
42,35.429,41.916,1.183,6,38.184,32.49,38.857,35.315,29.643,33.389,41.916,33.635
43,34.056,42.63,1.252,7,35.107,32.123,32.745,39.327,34.183,29.298,27.035,42.63
44,29.41,35.224,1.198,0,35.224,26.265,30.827,26.513,31.86,32.539,23.788,28.263
45,31.252,40.688,1.302,4,30.009,37.11,21.463,35.284,40.688,27.151,29.825,28.486
46,33.891,39.33,1.16,2,35.116,34.766,39.33,34.808,32.417,31.774,24.283,38.633
47,31.212,42.145,1.35,6,31.68,29.599,25.381,35.494,27.316,25.79,42.145,32.291
48,31.87,41.144,1.291,1,31.499,41.144,27.105,37.354,25.394,32.275,29.567,30.618
49,32.276,51.377,1.592,1,27.677,51.377,36.274,27.294,25.969,28.799,33.051,27.763
50,33.41,43.403,1.299,0,43.403,27.584,40.259,38.441,36.232,29.988,25.53,25.844
51,31.46,43.107,1.37,6,30.583,28.852,31.903,26.613,39.66,24.386,43.107,26.573
52,31.062,39.676,1.277,0,39.676,24.6,35.537,24.762,34.055,27.722,35.76,26.385
53,32.454,47.64,1.468,4,26.693,30.567,34.161,26.972,47.64,30.379,28.355,34.868
54,37.602,45.838,1.219,3,39.465,34.785,39.034,45.838,27.412,40.475,42.364,31.44
55,34.473,40.524,1.176,7,33.264,29.973,36.99,34.674,36.774,34.631,28.954,40.524
56,30.61,38.266,1.25,3,34.423,27.698,23.921,38.266,29.9,29.442,24.888,36.339
57,33.146,40.387,1.218,2,31.764,32.503,40.387,37.981,31.925,25.69,29.754,35.165
58,36.225,51.083,1.41,1,33.369,51.083,40.749,31.445,34.469,31.441,29.96,37.287
59,32.466,42.557,1.311,2,26.455,28.16,42.557,34.842,32.859,33.11,29.778,31.97
60,30.482,33.717,1.106,7,31.344,30.342,26.821,32.394,26.547,30.194,32.499,33.717
61,31.246,40.505,1.296,4,35.458,31.647,27.43,25.727,40.505,25.02,28.329,35.851
62,34.795,42.016,1.208,1,33.712,42.016,38.747,40.582,30.027,40.429,23.828,29.023
63,31.232,35.421,1.134,1,28.397,35.421,32.234,34.787,27.496,31.553,34.667,25.302
64,29.997,35.494,1.183,0,35.494,29.492,23.967,30.352,27.991,28.518,32.993,31.173
65,30.431,43.476,1.429,1,29.27,43.476,30.696,28.313,24.742,28.613,30.86,27.478
66,33.657,40.452,1.202,1,32.479,40.452,36.832,26.185,28.484,35.331,36.039,33.453
67,33.259,40.343,1.213,4,34.008,24.739,38.275,33.706,40.343,31.736,30.294,32.969
68,30.641,38.211,1.247,0,38.211,23.936,30.764,29.2,26.2,34.771,31.584,30.461
69,29.268,38.664,1.321,3,27.701,21.266,30.23,38.664,31.856,34.498,23.059,26.874
70,33.673,45.781,1.36,1,33.604,45.781,41.894,35.984,28.327,25.363,36.211,22.224
71,30.022,38.6,1.286,1,23.363,38.6,35.909,36.557,21.583,25.474,32.327,26.366
72,31.894,40.59,1.273,0,40.59,28.073,28.345,36.536,31.284,26.73,29.703,33.893
73,31.356,39.559,1.262,5,23.299,30.434,29.259,24.949,33.081,39.559,37.708,32.556
74,34.962,46.205,1.322,4,39.569,28.422,30.99,38.649,46.205,29.148,32.1,34.612
75,30.654,44.903,1.465,6,22.364,25.497,35.013,33.666,27.712,26.62,44.903,29.456
76,30.457,38.797,1.274,6,34.558,23.028,22.551,38.094,20.297,32.748,38.797,33.582
77,31.496,50.793,1.613,1,27.575,50.793,36.229,25.454,29.173,42.956,19.654,20.134
78,30.514,49.322,1.616,1,26.251,49.322,34.567,24.927,28.077,42.264,19.658,19.045
79,28.779,37.845,1.315,6,32.597,21.433,20.861,36.489,18.457,31.029,37.845,31.522
80,29.488,44.073,1.495,6,21.73,24.104,33.847,32.476,26.182,25.276,44.073,28.214
81,29.666,38.44,1.296,4,32.259,21.796,24.18,29.852,38.44,26.714,32.186,31.902
82,29.809,37.613,1.262,5,22.85,28.832,27.525,23.495,31.482,37.613,35.854,30.818
83,29.463,37.774,1.282,0,37.774,26.67,25.772,33.974,28.801,24.305,27.111,31.298
84,29.558,38.041,1.287,1,22.919,38.041,35.389,36.126,20.96,24.811,32.409,25.81
85,29.71,38.8,1.306,1,26.562,38.8,34.904,33.717,24.765,20.954,36.595,21.382
86,28.928,38.392,1.327,3,27.387,20.589,29.674,38.392,31.508,34.481,22.857,26.54
87,29.408,36.773,1.25,0,36.773,23.654,29.153,27.859,24.663,33.172,31.007,28.979
88,28.96,35.37,1.221,4,29.162,22.866,33.666,29.34,35.37,27.15,26.243,27.885
89,29.612,38.848,1.312,1,26.126,38.848,29.594,20.718,21.603,31.012,36.252,32.745
90,29.637,42.999,1.451,1,28.45,42.999,29.444,28.057,23.74,28.06,29.772,26.572
91,28.916,33.897,1.172,0,33.897,28.544,22.92,28.962,27.255,27.764,31.971,30.016
92,28.911,34.377,1.189,1,25.639,34.377,29.693,32.312,24.98,29.506,31.723,23.058
