category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
activation,triton_poi_fused__to_copy_mul_silu_split_0,1200,0.091,528.5,2.183
activation,triton_red_fused__to_copy_mul_silu_split_sum_1,600,0.053,616.3,2.554
activation,triton_poi_fused_mul_silu_split_0,1248,0.041,216.6,1.321
cat_copy,CatArrayBatchedCopy,9504,1.024,387.2,9.238
cat_copy,elementwise_kernel,9648,0.653,41.0,3.179
cat_copy,index_elementwise_kernel,12428,0.258,3.4,1.77
cat_copy,CatArrayBatchedCopy_vectorized,10347,0.255,36.9,0.766
cat_copy,vectorized_gather_kernel,9752,0.253,142.9,0.531
cat_copy,indexFuncLargeIndex,624,0.097,1235.9,1.338
cat_copy,unrolled_elementwise_kernel,10032,0.08,2.7,0.946
cat_copy,_scatter_gather_elementwise_kernel,7512,0.029,9.5,0.302
cat_copy,vectorized_elementwise_kernel,7984,0.028,2.7,0.276
cat_copy,CatArrayBatchedCopy_alignedK_contig,1408,0.0,2.0,0.003
cross_entropy,cross_entropy_kernel,64,0.006,757.3,0.762
cub_scan_sort,radixSortKVInPlace,336,0.068,1642.5,2.168
cub_scan_sort,bitonicSortKVInPlace,2400,0.007,23.9,0.036
cub_scan_sort,DeviceScanInitKernel,3384,0.001,1.3,0.002
cub_scan_sort,DeviceScanKernel,3384,0.001,2.1,0.003
cub_scan_sort,DeviceRadixSortExclusiveSumKernel,9,0.0,1.7,0.002
cub_scan_sort,DeviceRadixSortHistogramKernel,9,0.0,3.8,0.004
cub_scan_sort,DeviceRadixSortOnesweepKernel,66,0.0,8.2,0.012
cub_scan_sort,DeviceReduceKernel,624,0.0,2.0,0.003
dsa_backward,kernel_cutlass_bwd_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm100Fla,624,3.664,46273.1,58.949
dsa_backward,kernel_cutlass_sum_OdO_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.06,772.1,0.825
dsa_backward,kernel_cutlass_convert_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.023,296.8,0.314
dsa_backward,kernel_cutlass_sum_dSink_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm,624,0.002,22.0,0.025
dsa_forward,sparse_attn_fwd_kernel,1248,1.248,7901.8,10.768
dsa_indexer,kernel_cutlass_kernel_cudnndeepseek_sparse_attentionindexer_forwardindexer_fwd_sm100Indexe,3318,0.885,2131.6,3.266
dsa_indexer,kernel_cutlass_indexer_topk_kernel_cudnndeepseek_sparse_attentionindexer_top_kindexer_top_,3318,0.223,467.6,2.494
elementwise,vectorized_elementwise_kernel,161698,0.858,2.4,0.718
elementwise,elementwise_kernel,17936,0.247,19.9,0.448
elementwise,triton_poi_fused__to_copy_mul_unsqueeze_view_0,76800,0.118,12.8,0.018
elementwise,element_mul_kernel,64,0.006,761.0,0.765
elementwise,reduce_kernel,3320,0.003,3.3,0.1
elementwise,elementwise_kernel_with_index,6969,0.002,1.8,0.004
elementwise,unrolled_elementwise_kernel,3241,0.001,1.8,0.003
elementwise,fill_reverse_indices_kernel,8,0.0,2.2,0.002
gemm,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT,34436,1.915,256.6,7.208
gemm,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NNT,16687,1.202,349.9,8.294
gemm,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT,7616,0.605,69.6,4.129
gemm,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_NNT,4443,0.15,67.5,5.381
gemm,nvjet_sm103_tss_256x256_64x4_2x2f_2cta_h_bz_NNT,128,0.07,4414.6,4.723
gemm,nvjet_sm103_tst_32x256_64x6_1x4_2cta_h_bz_TNN,7824,0.07,66.0,0.175
gemm,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_TNT,5638,0.067,68.9,0.62
gemm,nvjet_sm103_tst_256x240_64x4_2x1_2cta_v_bz_TNT,1970,0.062,242.7,0.798
gemm,nvjet_sm103_tst_256x128_64x5_2x1_2cta_v_bz_TNT,2834,0.06,126.8,0.974
gemm,nvjet_sm103_tst_256x128_64x5_2x2f_2cta_h_bz_TNT,2934,0.059,79.9,3.948
gemm,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_NNT,2970,0.039,80.2,0.751
