range,instances_all_pids,instances_in_window,wall_s_per_pid_mean,gpu_kernel_s_per_gpu_mean
forward_backward,8,8,22.572,22.493
backward,8,8,15.203,15.347
recompute,624,624,15.09,15.225
autograd::engine::evaluate_function: CheckpointFunctionBackward,546,546,15.093,15.224
CheckpointFunctionBackward,546,546,15.091,15.224
forward,8,8,7.29,7.145
CheckpointFunction,546,546,6.724,6.736
megatron.core.transformer.transformer_layer._run_mlp.mlp,1248,1248,11.466,6.361
moe,1200,1200,11.43,6.291
megatron.core.transformer.transformer_layer._forward_attention.self_attention,1248,1248,3.807,5.282
autograd::engine::evaluate_function: FusedSparseAttentionFuncBackward,546,546,5.296,4.925
FusedSparseAttentionFuncBackward,546,546,5.294,4.925
nvte_cublas_gemm_v2,139134,139134,0.885,4.487
hybrid-ep combine with unpermute phase,1800,1800,0.019,3.811
flash_attn_bwd_sm100_kernel,624,624,0.005,3.749
combine_core in hybrid-ep,1800,1800,0.007,3.384
attention,1248,1248,3.111,3.181
nvte_multi_tensor_gemm,3600,3600,0.901,2.827
moe_combine,1200,1200,0.022,2.39
hybridep_combine,1200,1200,0.021,2.39
HybridEPCombine,1050,1050,0.016,2.376
moe_experts,1200,1200,1.069,2.074
dsa_core,1248,1248,0.06,1.537
hybrid-ep dispatch with permute phase,1800,1800,0.152,1.489
hybridep_dispatch_bwd,600,600,0.008,1.421
autograd::engine::evaluate_function: HybridEPDispatchBackward,525,525,0.011,1.415
HybridEPDispatchBackward,525,525,0.01,1.415
aten::cat,18774,18774,0.038,1.281
FusedSparseAttentionFunc,1092,1092,0.027,1.265
flash_mla_sparse_fwd,1248,1248,0.007,1.248
record_param_comms,4095,4060,0.136,1.226
HybridEPDispatch,1050,1050,0.152,1.058
moe_dispatch,1200,1200,0.162,1.057
hybridep_dispatch,1200,1200,0.161,1.057
dispatch_core in hybrid-ep,1800,1800,0.008,1.035
autograd::engine::evaluate_function: _GroupedLinearBackward,1050,1050,0.451,0.968
_GroupedLinearBackward,1050,1050,0.445,0.968
_GroupedLinear,1050,1050,0.197,0.937
indexer_fwd_kernel,3318,3318,0.047,0.885
aten::copy_,46452,33283,0.193,0.762
autograd::engine::evaluate_function: _LinearBackward,5439,5439,0.117,0.642
aten::contiguous,4914,4914,0.019,0.617
aten::clone,6265,6265,0.024,0.617
c10d::allreduce_,1071,1057,0.049,0.595
nccl:all_reduce,1071,1057,0.023,0.595
ncclAllReduce,1232,1216,0.015,0.562
_LinearBackward,5439,5439,0.1,0.541
_Linear,5439,5439,0.078,0.508
ncclReduceScatter,624,624,0.017,0.46
autograd::engine::evaluate_function: _GatherFromSequenceParallelRegionBackward,546,546,0.03,0.441
_GatherFromSequenceParallelRegionBackward,546,546,0.03,0.441
c10d::_reduce_scatter_base_,546,546,0.025,0.441
nccl:_reduce_scatter_base,546,546,0.022,0.441
autograd::engine::evaluate_function: HybridEPCombineBackward,525,525,0.009,0.432
HybridEPCombineBackward,525,525,0.009,0.432
hybridep_combine_bwd,600,600,0.008,0.431
combine_preprocess in hybrid-ep,1800,1800,0.003,0.427
aten::mul,37324,37317,0.078,0.366
dispatch_postprocess in hybrid-ep,1800,1800,0.002,0.36
moe_shared_experts,1200,1200,0.278,0.334
aten::add,25963,25928,0.125,0.326
aten::mm,17976,17976,0.105,0.317
## Call CompiledFxGraph fnvtskg5gtczk57au7ulhoryz2n5azih2rvn7wbbtwmldw4qt6bx ##,150,150,0.08,0.287
aten::gather,7056,7056,0.017,0.27
## Call CompiledFxGraph fq5rkxaougchgl7tlyebji2lrfbrt2fqhjf4wrfpr5jftzwiu3ua ##,150,150,0.08,0.257
aten::index_copy_,546,546,0.002,0.252
## Call CompiledFxGraph faokvef6wrpaiuf2llu2jtlnlxiqrxxd3j4gs246nmwxx4l3k5z4 ##,150,150,0.081,0.249
aten::index_select,4893,4893,0.023,0.246
## Call CompiledFxGraph fz3lak3mb2g7nbxzpjgz5qy7bf7i5sb7c4vj565k63fooshrhais ##,75,75,0.009,0.234
## Call CompiledFxGraph fze5ipmclv66vh7labgqeaqr2ffhsug23vafzzo4tjgt7klmc6v5 ##,150,150,0.077,0.225
