category,phase>innermost_range,s_per_gpu,kernels_per_gpu
dsa_backward,backward>layer_backward_proper,3.758,312
gemm,backward>layer_backward_proper,1.751,8429
cat_copy,backward>layer_backward_proper,1.52,2634
dsa_indexer,forward>attention,1.11,829
hybridep_sync,backward>hybridep_dispatch_bwd,0.972,150
gemm,forward>moe_experts,0.949,4819
gemm,backward>moe_experts,0.948,4819
hybridep_sync,backward>hybridep_combine,0.841,150
hybridep_sync,forward>hybridep_combine,0.787,150
nccl,backward>layer_backward_proper,0.702,78
dsa_forward,forward>dsa_core,0.634,78
dsa_forward,backward>dsa_core,0.616,78
gemm,forward>self_attention,0.483,1014
gemm,backward>self_attention,0.48,1014
hybridep_sync,backward>hybridep_dispatch,0.452,150
elementwise,backward>layer_backward_proper,0.407,5811
cat_copy,forward>self_attention,0.391,1926
cat_copy,backward>self_attention,0.381,1924
hybridep_dispatch,forward>hybridep_dispatch,0.318,75
hybridep_dispatch,backward>hybridep_dispatch,0.318,75
hybridep_combine,backward>hybridep_dispatch_bwd,0.304,75
hybridep_dispatch,backward>hybridep_combine_bwd,0.294,75
hybridep_combine,forward>hybridep_combine,0.283,75
hybridep_combine,backward>hybridep_combine,0.283,75
topk_router,backward>layer_backward_proper,0.222,228
nccl,forward>moe,0.188,75
elementwise,forward>self_attention,0.186,5328
elementwise,backward>self_attention,0.183,5304
nccl,forward>attention,0.166,99
moe_permute,backward>hybridep_dispatch_bwd,0.149,75
norm,backward>layer_backward_proper,0.145,624
moe_permute,forward>hybridep_combine,0.14,75
moe_permute,backward>hybridep_combine,0.138,75
moe_permute,forward>hybridep_dispatch,0.127,75
moe_permute,backward>hybridep_dispatch,0.126,75
hybridep_meta,forward>hybridep_dispatch,0.121,225
nccl,backward>attention,0.12,99
gemm,forward>moe_shared_experts,0.114,450
gemm,backward>moe_shared_experts,0.113,450
moe_permute,backward>hybridep_combine_bwd,0.107,75
cat_copy,forward>dsa_core,0.102,78
cat_copy,backward>dsa_core,0.1,78
elementwise,forward>attention,0.09,1643
gemm,backward>(phase only),0.076,56
norm,forward>layer,0.075,153
norm,backward>layer_recompute_fwd,0.074,153
topk_router,forward>moe_route,0.071,300
topk_router,backward>moe_route,0.069,300
cub_scan_sort,forward>attention,0.068,106
elementwise,forward>moe_experts,0.06,4800
elementwise,backward>moe_experts,0.059,4800
hybridep_meta,backward>hybridep_dispatch,0.054,225
cat_copy,forward>attention,0.052,766
activation,backward>layer_backward_proper,0.052,75
activation,forward>moe_experts,0.046,75
activation,backward>moe_experts,0.045,75
elementwise,forward>moe_shared_experts,0.039,300
