phase,gpu,metric,avg
step,0,GR Active [Throughput %],97.36
step,0,SMs Active [Throughput %],70.02
step,0,SM Issue [Throughput %],19.35
step,0,Tensor Active [Throughput %],27.16
step,0,DRAM Read Bandwidth [Throughput %],11.07
step,0,DRAM Write Bandwidth [Throughput %],7.43
step,0,NVLink RX Requests Protocol Data [Throughput %],0.9
step,0,NVLink RX Requests User Data [Throughput %],2.01
step,0,NVLink RX Responses Protocol Data [Throughput %],0.27
step,0,NVLink RX Responses User Data [Throughput %],1.71
step,0,NVLink TX Requests Protocol Data [Throughput %],0.71
step,0,NVLink TX Requests User Data [Throughput %],2.03
step,0,NVLink TX Responses Protocol Data [Throughput %],0.47
step,0,NVLink TX Responses User Data [Throughput %],1.91
step,1,GR Active [Throughput %],98.29
step,1,SMs Active [Throughput %],70.91
step,1,SM Issue [Throughput %],19.64
step,1,Tensor Active [Throughput %],27.62
step,1,DRAM Read Bandwidth [Throughput %],11.07
step,1,DRAM Write Bandwidth [Throughput %],7.43
step,1,NVLink RX Requests Protocol Data [Throughput %],0.7
step,1,NVLink RX Requests User Data [Throughput %],1.99
step,1,NVLink RX Responses Protocol Data [Throughput %],0.4
step,1,NVLink RX Responses User Data [Throughput %],1.86
step,1,NVLink TX Requests Protocol Data [Throughput %],0.84
step,1,NVLink TX Requests User Data [Throughput %],2.04
step,1,NVLink TX Responses Protocol Data [Throughput %],0.27
step,1,NVLink TX Responses User Data [Throughput %],1.69
step,2,GR Active [Throughput %],98.85
step,2,SMs Active [Throughput %],70.89
step,2,SM Issue [Throughput %],19.83
step,2,Tensor Active [Throughput %],27.14
step,2,DRAM Read Bandwidth [Throughput %],11.1
step,2,DRAM Write Bandwidth [Throughput %],7.44
step,2,NVLink RX Requests Protocol Data [Throughput %],0.71
step,2,NVLink RX Requests User Data [Throughput %],2.04
step,2,NVLink RX Responses Protocol Data [Throughput %],0.4
step,2,NVLink RX Responses User Data [Throughput %],1.84
step,2,NVLink TX Requests Protocol Data [Throughput %],0.84
step,2,NVLink TX Requests User Data [Throughput %],2.02
step,2,NVLink TX Responses Protocol Data [Throughput %],0.27
step,2,NVLink TX Responses User Data [Throughput %],1.72
step,3,GR Active [Throughput %],96.44
step,3,SMs Active [Throughput %],70.58
step,3,SM Issue [Throughput %],19.62
step,3,Tensor Active [Throughput %],27.38
step,3,DRAM Read Bandwidth [Throughput %],11.17
step,3,DRAM Write Bandwidth [Throughput %],7.49
step,3,NVLink RX Requests Protocol Data [Throughput %],0.72
step,3,NVLink RX Requests User Data [Throughput %],2.06
step,3,NVLink RX Responses Protocol Data [Throughput %],0.39
step,3,NVLink RX Responses User Data [Throughput %],1.85
step,3,NVLink TX Requests Protocol Data [Throughput %],0.84
step,3,NVLink TX Requests User Data [Throughput %],2.03
step,3,NVLink TX Responses Protocol Data [Throughput %],0.28
step,3,NVLink TX Responses User Data [Throughput %],1.75
step,4,GR Active [Throughput %],98.52
step,4,SMs Active [Throughput %],70.4
step,4,SM Issue [Throughput %],19.53
step,4,Tensor Active [Throughput %],27.16
step,4,DRAM Read Bandwidth [Throughput %],11.16
step,4,DRAM Write Bandwidth [Throughput %],7.46
step,4,NVLink RX Requests Protocol Data [Throughput %],0.7
step,4,NVLink RX Requests User Data [Throughput %],2.0
step,4,NVLink RX Responses Protocol Data [Throughput %],0.41
step,4,NVLink RX Responses User Data [Throughput %],1.86
step,4,NVLink TX Requests Protocol Data [Throughput %],0.85
step,4,NVLink TX Requests User Data [Throughput %],2.03
step,4,NVLink TX Responses Protocol Data [Throughput %],0.27
step,4,NVLink TX Responses User Data [Throughput %],1.69
step,5,GR Active [Throughput %],98.67
step,5,SMs Active [Throughput %],69.8
step,5,SM Issue [Throughput %],19.34
step,5,Tensor Active [Throughput %],26.72
step,5,DRAM Read Bandwidth [Throughput %],11.12
step,5,DRAM Write Bandwidth [Throughput %],7.43
step,5,NVLink RX Requests Protocol Data [Throughput %],0.69
step,5,NVLink RX Requests User Data [Throughput %],1.98
step,5,NVLink RX Responses Protocol Data [Throughput %],0.41
step,5,NVLink RX Responses User Data [Throughput %],1.86
step,5,NVLink TX Requests Protocol Data [Throughput %],0.85
step,5,NVLink TX Requests User Data [Throughput %],2.03
step,5,NVLink TX Responses Protocol Data [Throughput %],0.27
step,5,NVLink TX Responses User Data [Throughput %],1.67
step,6,GR Active [Throughput %],98.57
step,6,SMs Active [Throughput %],72.41
step,6,SM Issue [Throughput %],19.99
step,6,Tensor Active [Throughput %],28.46
step,6,DRAM Read Bandwidth [Throughput %],11.61
step,6,DRAM Write Bandwidth [Throughput %],7.71
step,6,NVLink RX Requests Protocol Data [Throughput %],0.78
step,6,NVLink RX Requests User Data [Throughput %],2.21
step,6,NVLink RX Responses Protocol Data [Throughput %],0.39
step,6,NVLink RX Responses User Data [Throughput %],1.84
step,6,NVLink TX Requests Protocol Data [Throughput %],0.83
step,6,NVLink TX Requests User Data [Throughput %],2.02
step,6,NVLink TX Responses Protocol Data [Throughput %],0.3
step,6,NVLink TX Responses User Data [Throughput %],1.9
step,7,GR Active [Throughput %],98.88
step,7,SMs Active [Throughput %],69.35
step,7,SM Issue [Throughput %],19.21
step,7,Tensor Active [Throughput %],26.43
step,7,DRAM Read Bandwidth [Throughput %],11.03
step,7,DRAM Write Bandwidth [Throughput %],7.4
step,7,NVLink RX Requests Protocol Data [Throughput %],0.69
step,7,NVLink RX Requests User Data [Throughput %],1.97
step,7,NVLink RX Responses Protocol Data [Throughput %],0.42
step,7,NVLink RX Responses User Data [Throughput %],1.86
step,7,NVLink TX Requests Protocol Data [Throughput %],0.86
step,7,NVLink TX Requests User Data [Throughput %],2.02
step,7,NVLink TX Responses Protocol Data [Throughput %],0.27
step,7,NVLink TX Responses User Data [Throughput %],1.66
forward,0,GR Active [Throughput %],98.62
forward,0,SMs Active [Throughput %],67.93
forward,0,SM Issue [Throughput %],22.8
forward,0,Tensor Active [Throughput %],29.1
forward,0,DRAM Read Bandwidth [Throughput %],11.78
forward,0,DRAM Write Bandwidth [Throughput %],8.38
forward,0,NVLink RX Requests Protocol Data [Throughput %],0.97
forward,0,NVLink RX Requests User Data [Throughput %],2.32
forward,0,NVLink RX Responses Protocol Data [Throughput %],0.29
forward,0,NVLink RX Responses User Data [Throughput %],1.85
forward,0,NVLink TX Requests Protocol Data [Throughput %],0.79
forward,0,NVLink TX Requests User Data [Throughput %],2.35
forward,0,NVLink TX Responses Protocol Data [Throughput %],0.49
forward,0,NVLink TX Responses User Data [Throughput %],2.03
forward,1,GR Active [Throughput %],98.07
forward,1,SMs Active [Throughput %],68.72
forward,1,SM Issue [Throughput %],23.26
forward,1,Tensor Active [Throughput %],29.52
forward,1,DRAM Read Bandwidth [Throughput %],11.71
forward,1,DRAM Write Bandwidth [Throughput %],8.38
forward,1,NVLink RX Requests Protocol Data [Throughput %],0.78
forward,1,NVLink RX Requests User Data [Throughput %],2.31
forward,1,NVLink RX Responses Protocol Data [Throughput %],0.42
forward,1,NVLink RX Responses User Data [Throughput %],2.0
forward,1,NVLink TX Requests Protocol Data [Throughput %],0.92
forward,1,NVLink TX Requests User Data [Throughput %],2.36
forward,1,NVLink TX Responses Protocol Data [Throughput %],0.3
forward,1,NVLink TX Responses User Data [Throughput %],1.82
forward,2,GR Active [Throughput %],98.1
forward,2,SMs Active [Throughput %],68.22
forward,2,SM Issue [Throughput %],23.03
forward,2,Tensor Active [Throughput %],28.94
forward,2,DRAM Read Bandwidth [Throughput %],11.73
forward,2,DRAM Write Bandwidth [Throughput %],8.38
forward,2,NVLink RX Requests Protocol Data [Throughput %],0.79
forward,2,NVLink RX Requests User Data [Throughput %],2.34
forward,2,NVLink RX Responses Protocol Data [Throughput %],0.42
forward,2,NVLink RX Responses User Data [Throughput %],1.96
forward,2,NVLink TX Requests Protocol Data [Throughput %],0.91
forward,2,NVLink TX Requests User Data [Throughput %],2.33
forward,2,NVLink TX Responses Protocol Data [Throughput %],0.3
forward,2,NVLink TX Responses User Data [Throughput %],1.85
forward,3,GR Active [Throughput %],96.42
forward,3,SMs Active [Throughput %],68.39
