k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,9.731,9.78,1.005,1,9.598,9.78,9.75,9.753,9.769,9.717,9.745,9.733
1,9.775,9.863,1.009,1,9.574,9.863,9.757,9.799,9.807,9.82,9.78,9.799
2,9.838,10.184,1.035,1,9.632,10.184,9.804,9.835,9.788,9.845,9.788,9.824
3,10.427,11.041,1.059,4,10.256,10.846,10.372,9.895,11.041,10.477,9.894,10.635
4,10.101,10.678,1.057,1,9.621,10.678,9.789,9.797,10.3,10.07,10.148,10.409
5,10.263,11.051,1.077,0,11.051,10.326,10.512,9.842,10.162,9.79,10.66,9.762
6,9.831,9.908,1.008,7,9.662,9.848,9.809,9.834,9.86,9.842,9.881,9.908
7,10.222,11.284,1.104,1,9.642,11.284,9.986,10.278,9.884,10.428,9.923,10.353
8,10.468,12.815,1.224,6,9.578,10.509,9.831,11.197,9.796,9.854,12.815,10.162
9,9.929,10.411,1.049,6,9.677,9.816,10.151,10.03,9.811,9.776,10.411,9.76
10,9.777,9.919,1.015,6,9.527,9.765,9.721,9.801,9.864,9.792,9.919,9.824
11,10.026,10.397,1.037,2,9.743,9.918,10.397,10.331,9.841,10.022,10.197,9.763
12,10.075,10.841,1.076,3,9.567,9.735,10.049,10.841,10.275,10.233,10.088,9.811
13,10.208,12.326,1.207,6,9.509,10.34,9.908,10.059,9.8,9.872,12.326,9.853
14,9.71,9.828,1.012,6,9.505,9.709,9.687,9.705,9.76,9.715,9.828,9.774
15,9.942,10.614,1.068,1,9.474,10.614,9.681,10.45,9.983,9.682,9.94,9.709
16,10.48,12.156,1.16,2,9.467,10.075,12.156,10.189,10.428,9.79,11.954,9.778
17,10.243,12.746,1.244,4,9.507,9.711,10.31,9.845,12.746,9.68,10.099,10.045
18,9.7,9.815,1.012,4,9.522,9.716,9.686,9.695,9.815,9.692,9.75,9.726
19,9.913,10.616,1.071,4,9.498,10.317,9.683,9.776,10.616,9.69,9.769,9.954
20,10.012,10.397,1.038,7,9.998,9.714,10.368,10.05,9.924,9.701,9.947,10.397
21,10.146,12.021,1.185,4,9.496,10.303,9.768,9.712,12.021,9.795,9.73,10.345
22,9.882,10.17,1.029,0,10.17,9.794,9.783,9.781,9.914,9.863,9.88,9.873
23,9.962,10.433,1.047,3,9.588,9.807,9.778,10.433,9.945,10.235,9.961,9.946
24,10.165,11.179,1.1,6,10.288,10.145,9.766,9.822,10.375,9.88,11.179,9.867
25,10.388,11.062,1.065,6,10.525,10.339,10.911,9.928,10.463,9.982,11.062,9.892
26,9.846,10.323,1.048,5,9.562,9.753,9.842,10.026,9.764,10.323,9.777,9.723
27,9.802,10.07,1.027,7,9.729,9.727,9.708,9.957,9.753,9.753,9.721,10.07
28,10.02,10.679,1.066,5,10.351,9.763,9.698,9.713,10.181,10.679,9.992,9.784
29,10.058,10.548,1.049,1,9.838,10.548,9.894,10.242,9.758,10.154,10.285,9.748
30,9.705,9.815,1.011,3,9.54,9.732,9.692,9.815,9.734,9.703,9.71,9.709
31,9.88,10.788,1.092,2,9.872,9.705,10.788,9.738,9.733,9.727,9.714,9.765
32,9.997,10.885,1.089,5,9.502,9.716,10.003,10.733,9.73,10.885,9.695,9.709
33,10.19,11.193,1.098,0,11.193,9.813,10.578,9.893,10.09,10.522,9.71,9.725
34,9.759,10.017,1.026,1,9.531,10.017,9.722,9.724,9.764,9.711,9.853,9.752
35,9.928,10.327,1.04,1,9.567,10.327,9.705,10.113,9.841,10.065,9.886,9.92
36,10.206,10.994,1.077,4,9.526,10.375,9.72,10.542,10.994,10.216,10.324,9.951
37,10.22,12.081,1.182,5,9.519,9.798,9.712,10.302,9.826,12.081,10.685,9.841
38,9.786,9.911,1.013,1,9.549,9.911,9.73,9.809,9.878,9.811,9.767,9.83
39,9.939,10.417,1.048,2,9.615,9.797,10.417,9.823,9.863,9.8,10.372,9.823
40,9.909,10.151,1.024,2,9.721,9.76,10.151,9.835,10.109,9.862,10.0,9.835
41,10.155,11.293,1.112,5,10.366,10.089,9.743,9.873,10.278,11.293,9.758,9.835
42,9.783,9.835,1.005,5,9.676,9.823,9.755,9.785,9.784,9.835,9.778,9.827
43,9.972,10.606,1.064,6,9.896,9.837,9.769,9.845,9.852,9.794,10.606,10.177
44,10.107,11.36,1.124,3,9.605,9.813,9.848,11.36,9.793,9.793,10.014,10.632
45,10.219,11.268,1.103,0,11.268,9.881,10.217,10.108,10.289,9.807,9.773,10.407
46,9.692,9.755,1.006,4,9.509,9.736,9.689,9.731,9.755,9.693,9.706,9.721
47,9.928,10.965,1.104,7,9.737,10.036,9.757,9.701,9.696,9.72,9.808,10.965
48,10.066,11.618,1.154,6,9.601,10.354,9.685,9.735,9.827,9.686,11.618,10.025
49,10.158,11.719,1.154,1,9.506,11.719,9.702,10.151,9.723,10.203,10.105,10.156
50,9.728,9.91,1.019,1,9.565,9.91,9.755,9.715,9.714,9.706,9.728,9.731
51,9.919,10.31,1.039,4,9.742,9.878,10.141,9.8,10.31,9.863,9.724,9.898
52,10.173,11.634,1.144,6,9.685,9.916,9.732,9.785,11.142,9.705,11.634,9.788
53,9.984,10.674,1.069,0,10.674,9.748,9.804,9.708,10.283,9.746,10.183,9.723
54,9.734,10.045,1.032,4,9.545,9.733,9.693,9.705,10.045,9.726,9.707,9.717
55,9.998,10.662,1.066,6,9.607,9.806,9.863,10.318,9.815,10.204,10.662,9.706
56,10.094,10.836,1.073,7,9.524,9.74,9.764,10.616,9.958,10.364,9.952,10.836
57,10.255,12.447,1.214,3,10.244,9.731,9.682,12.447,9.943,9.737,9.724,10.533
58,9.728,9.871,1.015,3,9.527,9.731,9.823,9.871,9.703,9.739,9.722,9.709
59,9.879,10.443,1.057,2,9.55,10.07,10.443,9.765,9.698,9.735,9.722,10.05
60,10.08,10.511,1.043,3,9.517,9.79,10.445,10.511,9.705,10.476,9.771,10.423
61,10.049,10.361,1.031,6,10.093,10.045,9.817,10.019,9.732,10.125,10.361,10.2
62,9.755,9.834,1.008,4,9.774,9.788,9.717,9.741,9.834,9.719,9.723,9.741
63,9.944,10.576,1.064,1,9.593,10.576,9.839,9.876,9.731,10.368,9.736,9.831
64,10.059,10.774,1.071,6,9.555,10.772,10.001,9.8,10.007,9.795,10.774,9.766
65,10.062,10.671,1.061,0,10.671,10.378,9.727,9.761,10.197,9.725,10.304,9.733
66,9.753,10.188,1.045,1,9.589,10.188,9.7,9.699,9.74,9.687,9.706,9.717
67,10.139,11.577,1.142,1,9.505,11.577,9.687,9.691,9.774,10.254,10.088,10.537
68,9.961,10.224,1.026,2,9.865,10.083,10.224,9.688,10.176,9.724,10.165,9.761
69,10.025,11.413,1.138,5,9.871,9.722,9.887,9.692,9.805,11.413,10.001,9.806
70,9.719,9.814,1.01,5,9.538,9.727,9.694,9.747,9.8,9.814,9.725,9.707
71,9.876,10.701,1.084,3,9.514,10.003,9.693,10.701,9.716,9.713,9.938,9.73
72,10.109,11.44,1.132,1,9.491,11.44,10.413,10.124,9.702,9.785,10.079,9.835
73,9.943,10.161,1.022,0,10.161,9.919,10.012,10.16,9.75,9.684,9.87,9.99
74,9.721,9.794,1.008,4,9.541,9.736,9.706,9.72,9.794,9.779,9.744,9.747
