k,laggard_gpu,lateness_ms,laggard_gpu_idle_since_prev_release_ms,laggard_interval_ms,sum_wait_all_gpus_ms,laggard_nvtx
0,4,0.103,43.349,457.095,0.826,forward|layer|moe|hybridep_dispatch
1,7,0.124,0.003,4.477,3.187,forward|layer|moe|moe_experts
2,0,10.288,0.167,25.775,74.956,forward|layer|moe
3,7,0.028,0.006,3.658,0.561,forward|layer|moe
4,0,0.048,0.845,31.987,0.398,forward|layer|moe|hybridep_dispatch
5,0,0.063,0.014,3.997,2.447,forward|layer|moe|moe_experts
6,3,1.644,0.138,18.869,19.916,forward|layer|moe
7,0,0.062,0.001,3.449,0.397,forward|layer|moe
8,0,0.166,0.97,123.994,1.211,forward|layer|moe|hybridep_dispatch
9,2,0.018,0.005,4.567,2.892,forward|layer|moe|moe_experts
10,7,15.799,0.132,29.513,107.024,forward|layer|attention
11,3,0.048,0.003,3.847,1.083,forward|layer|attention
12,2,0.022,3.849,101.553,0.243,forward|layer|moe|hybridep_dispatch
13,0,0.072,0.004,4.08,2.488,forward|layer|moe|moe_experts
14,1,4.148,0.163,19.753,27.843,forward|layer|moe
15,5,0.082,0.003,3.48,0.625,forward|layer|moe
16,1,0.057,0.813,32.449,0.47,forward|layer|moe|hybridep_dispatch
17,1,0.138,0.008,4.696,3.533,forward|layer|moe|moe_experts
18,6,13.664,0.169,28.17,95.71,forward|layer|moe
19,3,0.175,0.005,3.964,1.805,forward|layer|moe
20,6,0.185,0.916,37.68,1.372,forward|layer|moe|hybridep_dispatch
21,1,0.098,0.006,4.495,2.962,forward|layer|moe|moe_experts
22,4,10.611,0.178,26.134,76.769,forward|layer|moe
23,6,0.353,0.004,3.993,3.0,forward|layer|moe
24,4,0.051,0.834,31.803,0.431,forward|layer|moe|hybridep_dispatch
25,7,0.215,0.006,4.117,2.64,forward|layer|moe|moe_experts
26,5,5.268,0.167,21.06,37.662,forward|layer|attention
27,4,0.031,0.004,3.521,0.384,forward|layer|attention
28,2,0.073,3.769,103.902,0.549,forward|layer|moe|hybridep_dispatch
29,4,0.052,0.004,4.539,3.602,forward|layer|moe|moe_experts
30,2,9.194,0.155,24.11,63.889,forward|layer|moe
31,3,0.038,0.004,3.758,0.48,forward|layer|moe
32,3,0.054,0.812,31.373,0.451,forward|layer|moe|hybridep_dispatch
33,5,0.038,0.005,4.466,3.155,forward|layer|moe|moe_experts
34,3,8.673,0.178,24.502,66.185,forward|layer|moe
35,2,0.055,0.005,3.712,0.582,forward|layer|moe
36,5,0.037,1.068,32.421,0.371,forward|layer|moe|hybridep_dispatch
37,4,0.067,0.007,4.846,3.305,forward|layer|moe|moe_experts
38,6,15.378,0.157,31.915,125.875,forward|layer|moe
39,1,0.095,0.004,4.055,0.965,forward|layer|moe
40,6,0.134,0.897,35.61,1.037,forward|layer|moe|hybridep_dispatch
41,5,0.04,0.005,4.592,2.577,forward|layer|moe|moe_experts
42,6,11.926,0.171,26.831,85.024,forward|layer|attention
43,4,0.045,0.003,3.834,0.655,forward|layer|attention
44,3,0.021,3.479,104.341,0.289,forward|layer|moe|hybridep_dispatch
45,1,0.025,0.005,4.287,3.011,forward|layer|moe|moe_experts
46,3,7.6,0.172,23.243,56.63,forward|layer|moe
47,1,0.091,0.005,3.644,0.81,forward|layer|moe
48,3,0.036,0.905,32.277,0.329,forward|layer|moe|hybridep_dispatch
49,1,0.071,0.005,4.708,4.401,forward|layer|moe|moe_experts
50,2,17.437,0.585,30.582,115.504,forward|layer
51,1,0.08,0.004,3.867,0.643,forward|layer|moe
52,6,0.059,0.892,35.324,0.45,forward|layer|moe|hybridep_dispatch
53,2,0.217,0.006,4.707,3.849,forward|layer|moe|moe_experts
54,4,12.93,0.175,27.922,93.521,forward|layer|moe
55,6,0.085,0.004,3.851,0.814,forward|layer|moe
56,4,0.233,0.836,37.505,1.76,forward|layer|moe|hybridep_dispatch
57,2,0.064,0.005,4.9,3.304,forward|layer|moe|moe_experts
58,4,20.023,0.18,33.178,136.017,forward|layer|attention
59,6,0.074,0.004,4.089,1.079,forward|layer|attention
60,3,0.045,2.997,109.745,0.38,forward|layer|moe|hybridep_dispatch
61,1,0.03,0.006,4.715,3.174,forward|layer|moe|moe_experts
62,3,14.85,0.166,30.174,112.979,forward|layer|moe
63,1,0.044,0.002,3.92,1.022,forward|layer|moe
64,4,0.033,0.909,31.726,0.373,forward|layer|moe|hybridep_dispatch
65,4,0.164,0.002,5.017,4.078,forward|layer|moe|moe_experts
66,0,10.619,0.179,26.052,78.232,forward|layer|moe
67,3,0.039,0.004,4.08,1.081,forward|layer|moe
68,7,0.073,0.86,31.757,0.556,forward|layer|moe|hybridep_dispatch
69,2,0.692,0.004,5.029,5.007,forward|layer|moe|moe_experts
70,4,20.772,0.146,32.893,133.492,forward|layer|moe
71,7,0.059,0.004,4.078,0.532,forward|layer|moe
72,4,0.061,0.836,35.399,0.574,forward|layer|moe|hybridep_dispatch
73,4,0.143,0.004,5.068,4.938,forward|layer|moe|moe_experts
74,0,14.805,0.156,29.841,108.814,forward|layer|attention
75,4,0.065,0.004,4.108,0.97,forward|layer|attention
76,6,0.037,3.658,102.732,0.41,forward|layer|moe|hybridep_dispatch
77,1,0.012,0.005,4.712,3.153,forward|layer|moe|moe_experts
78,6,16.235,0.162,30.229,114.342,forward|layer|moe
79,3,0.065,0.005,3.943,1.207,forward|layer|moe
80,4,0.028,0.853,31.409,0.235,forward|layer|moe|hybridep_dispatch
81,2,0.198,0.007,4.373,3.013,forward|layer|moe|moe_experts
82,4,6.102,0.178,21.621,43.199,forward|layer|moe
83,3,0.036,0.005,3.626,0.376,forward|layer|moe
84,6,0.031,0.927,32.195,0.301,forward|layer|moe|hybridep_dispatch
85,4,0.078,0.005,4.038,2.223,forward|layer|moe|moe_experts
86,1,4.247,0.187,20.556,34.197,forward|layer|moe
87,2,0.095,0.003,3.516,0.72,forward|layer|moe
88,6,0.049,0.882,33.081,0.403,forward|layer|moe|hybridep_dispatch
89,0,0.092,0.004,4.399,3.134,forward|layer|moe|moe_experts
90,5,7.383,0.158,22.705,51.301,forward|layer|attention
91,0,0.142,0.002,3.676,1.19,forward|layer|attention
92,7,0.032,3.011,103.296,0.288,forward|layer|moe|hybridep_dispatch
93,0,0.043,0.005,4.687,3.041,forward|layer|moe|moe_experts
94,7,8.656,0.164,24.156,64.111,forward|layer|moe
95,3,0.012,0.003,3.887,0.723,forward|layer|moe
96,6,0.035,0.91,30.699,0.36,forward|layer|moe|hybridep_dispatch
97,7,0.073,0.004,4.913,3.433,forward|layer|moe|moe_experts
98,6,6.717,0.159,23.513,58.9,forward|layer|moe
99,0,0.081,0.002,4.089,1.256,forward|layer|moe
100,6,0.324,1.757,32.826,2.413,forward|layer|moe|hybridep_dispatch
101,0,0.085,0.004,4.827,3.502,forward|layer|moe|moe_experts
102,3,12.175,0.148,27.027,86.977,forward|layer|moe
103,0,0.076,0.003,4.012,1.355,forward|layer|moe
104,3,0.077,0.853,32.209,0.613,forward|layer|moe|hybridep_dispatch
105,1,0.134,0.004,4.99,3.929,forward|layer|moe|moe_experts
106,3,15.496,0.175,30.762,116.493,forward|layer|attention
107,1,0.075,0.004,4.084,1.151,forward|layer|attention
108,2,0.049,3.13,105.51,0.429,forward|layer|moe|hybridep_dispatch
109,5,0.081,0.005,4.429,2.903,forward|layer|moe|moe_experts
110,2,12.371,0.181,27.756,92.694,forward|layer|moe
111,0,0.019,0.002,3.665,0.514,forward|layer|moe
112,2,0.045,0.911,32.611,0.422,forward|layer|moe|hybridep_dispatch
113,2,0.133,0.005,5.113,5.033,forward|layer|moe|moe_experts
114,5,13.663,0.156,27.076,87.562,forward|layer|moe
115,3,0.166,0.005,4.219,1.516,forward|layer|moe
116,3,0.041,0.861,32.873,0.37,forward|layer|moe|hybridep_dispatch
117,1,0.037,0.004,4.943,3.225,forward|layer|moe|moe_experts
118,0,12.38,0.159,26.004,77.396,forward|layer|moe
119,5,0.082,0.005,4.131,1.03,forward|layer|moe
120,0,0.068,0.857,33.79,0.567,forward|layer|moe|hybridep_dispatch
121,0,0.171,0.01,4.977,3.975,forward|layer|moe|moe_experts
122,6,13.675,0.173,29.291,105.219,forward|layer|attention
123,0,0.105,0.002,4.094,1.501,forward|layer|attention
124,3,0.016,3.01,106.556,0.208,forward|layer|moe|hybridep_dispatch
125,1,0.062,0.004,4.23,2.83,forward|layer|moe|moe_experts
126,5,5.173,0.142,21.172,41.227,forward|layer|moe
127,1,0.032,0.006,3.502,0.378,forward|layer|moe
128,6,0.018,0.942,31.485,0.205,forward|layer|moe|hybridep_dispatch
129,0,0.075,0.003,4.768,3.083,forward|layer|moe|moe_experts
130,6,4.361,0.154,21.073,38.378,forward|layer|moe
131,3,0.09,0.004,3.996,0.983,forward|layer|moe
132,6,0.029,0.937,32.979,0.348,forward|layer|moe|hybridep_dispatch
133,4,0.083,0.004,4.896,4.112,forward|layer|moe|moe_experts
134,5,18.308,0.169,32.485,131.79,forward|layer|moe
135,1,0.037,0.006,3.99,1.018,forward|layer|moe
136,6,0.05,0.924,34.462,0.491,forward|layer|moe|hybridep_dispatch
137,5,0.191,0.005,4.607,3.576,forward|layer|moe|moe_experts
138,1,7.088,0.148,23.335,55.796,forward|layer|attention
139,5,0.063,0.004,3.76,0.812,forward|layer|attention
140,4,0.046,3.376,101.75,0.391,forward|layer|moe|hybridep_dispatch
141,5,0.071,0.005,4.492,3.082,forward|layer|moe|moe_experts
142,2,8.088,0.155,23.745,60.182,forward|layer|moe
143,6,0.057,0.005,3.716,0.666,forward|layer|moe
144,6,0.031,0.983,31.575,0.341,forward|layer|moe|hybridep_dispatch
145,2,0.061,0.003,4.853,3.434,forward|layer|moe|moe_experts
146,0,15.585,0.16,30.113,111.79,forward|layer|moe
147,2,0.039,0.005,4.017,1.079,forward|layer|moe
148,0,0.06,0.843,31.347,0.447,forward|layer|moe|hybridep_dispatch
149,0,0.166,0.004,4.819,3.858,forward|layer|moe|moe_experts
150,5,9.504,0.153,24.369,65.314,forward|layer|moe
151,0,0.066,0.002,3.928,1.044,forward|layer|moe
152,1,0.077,1.085,33.175,0.568,forward|layer|moe|hybridep_dispatch
153,0,0.184,0.004,4.612,3.702,forward|layer|moe|moe_experts
154,1,10.946,0.167,25.851,76.907,forward|layer|attention
155,0,0.079,0.002,3.776,1.06,forward|layer|attention
156,6,0.035,3.814,101.411,0.306,forward|layer|moe|hybridep_dispatch
157,5,0.029,0.004,4.884,3.12,forward|layer|moe|moe_experts
158,6,13.992,0.163,28.133,96.597,forward|layer|moe
159,3,0.024,0.008,4.063,0.982,forward|layer|moe
160,7,0.055,0.887,31.522,0.486,forward|layer|moe|hybridep_dispatch
161,0,0.021,0.004,4.879,3.332,forward|layer|moe|moe_experts
162,7,12.851,0.168,27.709,92.729,forward|layer|moe
163,3,0.177,0.003,4.196,2.058,forward|layer|moe
164,7,0.044,0.932,33.693,0.364,forward|layer|moe|hybridep_dispatch
165,7,0.138,0.004,4.33,2.827,forward|layer|moe|moe_experts
166,0,6.735,0.15,22.796,52.228,forward|layer|moe
167,1,0.018,0.002,3.566,0.395,forward|layer|moe
168,0,0.067,0.874,33.818,0.544,forward|layer|moe|hybridep_dispatch
169,0,0.122,0.004,4.796,3.628,forward|layer|moe|moe_experts
170,4,12.608,0.185,27.385,89.572,forward|layer|attention
171,0,0.119,0.003,3.987,1.276,forward|layer|attention
172,7,0.043,3.197,127.797,0.351,forward|layer|moe|hybridep_dispatch
173,5,0.035,0.006,4.753,3.06,forward|layer|moe|moe_experts
174,7,11.897,0.158,26.54,83.031,forward|layer|moe
175,0,0.068,0.004,4.001,1.048,forward|layer|moe
176,7,0.086,0.874,33.002,0.622,forward|layer|moe|hybridep_dispatch
177,7,0.066,0.007,4.886,3.426,forward|layer|moe|moe_experts
178,6,14.161,0.159,29.023,103.122,forward|layer|moe
179,7,0.108,0.005,4.103,1.259,forward|layer|moe
180,6,0.154,1.333,34.992,1.109,forward|layer|moe|hybridep_dispatch
181,0,0.053,0.003,4.857,3.311,forward|layer|moe|moe_experts
182,1,10.468,0.189,25.38,73.012,forward|layer|moe
183,1,0.16,0.003,4.133,1.708,forward|layer|moe
184,1,0.165,0.873,35.133,1.282,forward|layer|moe|hybridep_dispatch
185,5,0.063,0.004,4.834,3.745,forward|layer|moe|moe_experts
186,1,28.367,0.187,39.709,189.107,forward|layer|attention
187,6,0.047,0.003,4.006,0.851,forward|layer|attention
188,0,0.035,2.981,106.021,0.301,forward|layer|moe|hybridep_dispatch
189,1,0.111,0.006,4.277,2.935,forward|layer|moe|moe_experts
190,0,9.373,0.184,24.184,63.823,forward|layer|moe
191,7,0.013,0.005,3.535,0.318,forward|layer|moe
192,4,0.07,0.905,31.165,0.585,forward|layer|moe|hybridep_dispatch
193,0,0.086,0.004,4.997,4.622,forward|layer|moe|moe_experts
194,6,15.144,0.146,29.359,105.673,forward|layer|moe
195,4,0.194,0.003,4.2,1.757,forward|layer|moe
196,6,0.11,0.931,34.686,0.826,forward|layer|moe|hybridep_dispatch
197,1,0.102,0.005,4.599,3.307,forward|layer|moe|moe_experts
198,0,10.884,0.159,26.647,84.18,forward|layer|moe
199,6,0.05,0.002,3.796,0.89,forward|layer|moe
200,4,0.055,0.887,31.888,0.449,forward|layer|moe|hybridep_dispatch
201,0,0.166,0.003,4.929,4.383,forward|layer|moe|moe_experts
202,4,20.601,0.176,34.359,146.086,forward|layer|attention
203,1,0.052,0.003,4.032,1.118,forward|layer|attention
204,3,0.167,3.383,101.412,1.229,forward|layer|moe|hybridep_dispatch
205,4,0.04,0.006,4.923,3.23,forward|layer|moe|moe_experts
206,6,11.388,0.168,26.116,79.553,forward|layer|moe
207,3,0.035,0.005,4.092,1.06,forward|layer|moe
208,6,0.024,0.918,32.049,0.241,forward|layer|moe|hybridep_dispatch
209,1,0.054,0.045,4.883,3.231,forward|layer|moe|moe_experts
210,1,14.168,21.025,31.57,101.667,forward|layer
211,3,0.124,0.006,4.138,1.412,forward|layer|moe
212,3,0.097,1.123,32.765,0.784,forward|layer|moe|hybridep_dispatch
213,5,0.078,0.005,4.822,3.259,forward|layer|moe|moe_experts
214,3,9.65,0.186,24.934,69.876,forward|layer|moe
215,0,0.115,0.004,4.041,1.251,forward|layer|moe
216,3,0.21,1.046,36.645,1.458,forward|layer|moe|hybridep_dispatch
217,0,0.031,0.003,4.91,3.027,forward|layer|moe|moe_experts
218,2,10.123,0.161,25.043,69.082,forward|layer|attention
219,3,0.185,0.006,4.219,2.021,forward|layer|attention
220,7,0.061,9.576,108.802,0.462,forward|layer|moe|hybridep_dispatch
221,5,0.454,0.005,4.871,4.941,forward|layer|moe|moe_experts
222,1,15.555,0.152,28.389,97.868,forward|layer|moe
223,2,0.084,0.004,4.013,0.871,forward|layer|moe
224,7,0.79,2.971,33.732,5.644,forward|layer|moe|hybridep_dispatch
225,1,0.12,0.006,4.957,3.958,forward|layer|moe|moe_experts
226,2,13.078,0.183,29.494,105.156,forward|layer|moe
227,5,0.068,0.003,4.099,1.282,forward|layer|moe
228,3,0.062,1.134,32.033,0.5,forward|layer|moe|hybridep_dispatch
229,0,0.064,0.004,3.988,2.302,forward|layer|moe|moe_experts
230,7,2.581,0.184,19.294,24.582,forward|layer|moe
231,2,0.055,0.006,3.487,0.518,forward|layer|moe
232,7,0.02,0.843,31.269,0.254,forward|layer|moe|hybridep_dispatch
233,0,0.048,0.004,4.604,3.02,forward|layer|moe|moe_experts
234,4,12.017,0.151,26.853,85.662,forward|layer|attention
235,1,0.093,0.003,3.892,1.323,forward|layer|attention
236,2,0.026,3.4,101.047,0.251,forward|layer|moe|hybridep_dispatch
237,2,0.028,0.005,4.592,2.898,forward|layer|moe|moe_experts
238,1,10.058,0.161,25.545,75.354,forward|layer|moe
239,5,0.071,0.003,3.837,0.968,forward|layer|moe
240,1,0.046,0.878,32.238,0.491,forward|layer|moe|hybridep_dispatch
241,0,0.07,0.003,4.264,3.68,forward|layer|moe|moe_experts
242,1,5.062,0.184,22.22,47.608,forward|layer|moe
243,1,0.111,0.004,3.634,0.948,forward|layer|moe
244,1,0.062,0.884,32.887,0.478,forward|layer|moe|hybridep_dispatch
245,1,0.122,0.003,4.182,2.725,forward|layer|moe|moe_experts
246,0,5.763,0.156,21.74,44.337,forward|layer|moe
247,0,0.036,0.002,3.529,0.415,forward|layer|moe
248,6,0.06,0.917,32.676,0.458,forward|layer|moe|hybridep_dispatch
249,0,0.112,0.003,4.798,3.768,forward|layer|moe|moe_experts
250,1,16.757,0.184,31.442,122.212,forward|layer|attention
