gpu,category,kernels,summed_gpu_s,max_ms,median_us
0,gemm,21499,4.868,7.058,74.1
0,hybridep_sync,900,4.596,707.953,58.4
0,dsa_backward,312,3.593,49.034,531.4
0,cat_copy,10469,2.909,7.642,14.4
0,elementwise,34994,2.146,1.983,8.8
0,dsa_forward,156,1.199,8.469,7644.5
0,dsa_indexer,714,1.046,2.57,1123.9
0,hybridep_dispatch,225,0.973,5.025,4463.2
0,nccl,429,0.892,29.757,732.7
0,hybridep_combine,225,0.868,4.426,3898.1
0,moe_permute,450,0.759,3.347,1633.1
0,activation,546,0.364,1.743,741.0
0,norm,1251,0.304,0.957,44.9
0,topk_router,683,0.143,0.554,20.3
0,hybridep_meta,750,0.085,1.537,1.7
0,cub_scan_sort,1282,0.076,2.032,1.9
0,other,1081,0.014,0.087,2.2
0,cross_entropy,8,0.006,0.761,757.5
0,nonzero_cub,384,0.001,0.006,1.8
1,gemm,21522,5.091,7.351,75.0
1,hybridep_sync,900,4.118,705.052,47.9
1,dsa_backward,312,3.754,57.107,529.6
1,cat_copy,10515,2.958,9.097,14.9
1,elementwise,35061,2.175,1.885,8.9
1,dsa_forward,156,1.245,8.756,7903.2
1,dsa_indexer,756,1.055,2.452,1452.0
1,hybridep_dispatch,225,0.97,5.009,4436.8
1,hybridep_combine,225,0.873,4.392,3919.4
1,moe_permute,450,0.773,4.421,1604.9
1,nccl,428,0.54,20.625,456.3
1,activation,555,0.374,1.539,773.4
1,norm,1251,0.306,1.059,45.0
1,topk_router,683,0.145,0.561,20.4
1,hybridep_meta,750,0.085,1.501,1.7
1,cub_scan_sort,1278,0.076,2.058,1.8
1,other,1075,0.014,0.09,2.3
1,cross_entropy,8,0.006,0.76,758.8
1,nonzero_cub,369,0.001,0.006,1.6
2,gemm,21543,4.963,7.157,74.2
2,hybridep_sync,900,4.609,689.06,294.0
2,dsa_backward,312,3.701,49.956,528.9
2,cat_copy,10498,2.918,7.802,14.6
2,elementwise,35139,2.171,2.021,8.9
2,dsa_forward,156,1.24,8.752,7881.0
2,dsa_indexer,840,1.05,2.243,770.8
2,hybridep_combine,225,0.873,4.417,3917.6
2,hybridep_dispatch,225,0.817,4.255,3744.5
2,moe_permute,450,0.784,3.286,1707.1
2,nccl,429,0.683,13.651,632.2
2,activation,558,0.372,1.628,777.4
2,norm,1251,0.304,0.943,45.0
2,topk_router,683,0.144,0.567,20.3
2,hybridep_meta,750,0.084,1.526,2.0
2,cub_scan_sort,1276,0.076,2.046,2.3
2,other,1075,0.014,0.087,2.4
2,cross_entropy,8,0.006,0.761,756.9
2,nonzero_cub,369,0.001,0.006,2.1
3,gemm,21522,5.077,7.138,74.0
3,hybridep_sync,900,4.331,692.567,61.8
3,dsa_backward,312,3.72,50.543,528.9
3,cat_copy,10534,2.935,8.045,14.8
3,elementwise,35188,2.186,1.957,8.8
3,dsa_forward,156,1.243,8.916,7923.2
3,dsa_indexer,840,1.06,2.608,1857.6
3,hybridep_dispatch,225,0.975,4.952,4451.0
3,hybridep_combine,225,0.87,4.46,3886.6
3,moe_permute,450,0.792,3.318,1744.9
3,nccl,429,0.606,13.984,521.3
3,activation,576,0.378,1.516,752.4
3,norm,1251,0.305,0.942,45.2
3,topk_router,683,0.144,0.632,20.4
3,hybridep_meta,750,0.082,1.555,1.7
3,cub_scan_sort,1276,0.076,2.053,1.8
3,other,1074,0.014,0.087,2.3
3,cross_entropy,8,0.006,0.76,757.6
3,nonzero_cub,369,0.001,0.005,1.6
4,gemm,21591,5.01,7.212,74.8
4,hybridep_sync,900,4.623,701.749,240.8
4,dsa_backward,312,3.725,53.706,530.3
4,cat_copy,10528,2.933,7.545,14.6
4,elementwise,35253,2.157,1.933,8.8
4,dsa_forward,156,1.243,9.031,7890.5
4,dsa_indexer,924,1.058,2.42,1202.2
