phase,gpu,metric,avg
step,0,GR Active [Throughput %],99.08
step,0,SMs Active [Throughput %],68.53
step,0,SM Issue [Throughput %],19.86
step,0,Tensor Active [Throughput %],24.41
step,0,DRAM Read Bandwidth [Throughput %],11.3
step,0,DRAM Write Bandwidth [Throughput %],7.8
step,0,NVLink RX Requests Protocol Data [Throughput %],0.9
step,0,NVLink RX Requests User Data [Throughput %],1.87
step,0,NVLink RX Responses Protocol Data [Throughput %],0.25
step,0,NVLink RX Responses User Data [Throughput %],1.59
step,0,NVLink TX Requests Protocol Data [Throughput %],0.66
step,0,NVLink TX Requests User Data [Throughput %],1.89
step,0,NVLink TX Responses Protocol Data [Throughput %],0.51
step,0,NVLink TX Responses User Data [Throughput %],1.84
step,1,GR Active [Throughput %],97.93
step,1,SMs Active [Throughput %],70.4
step,1,SM Issue [Throughput %],20.39
step,1,Tensor Active [Throughput %],25.58
step,1,DRAM Read Bandwidth [Throughput %],11.33
step,1,DRAM Write Bandwidth [Throughput %],7.84
step,1,NVLink RX Requests Protocol Data [Throughput %],0.65
step,1,NVLink RX Requests User Data [Throughput %],1.87
step,1,NVLink RX Responses Protocol Data [Throughput %],0.42
step,1,NVLink RX Responses User Data [Throughput %],1.78
step,1,NVLink TX Requests Protocol Data [Throughput %],0.83
step,1,NVLink TX Requests User Data [Throughput %],1.91
step,1,NVLink TX Responses Protocol Data [Throughput %],0.25
step,1,NVLink TX Responses User Data [Throughput %],1.58
step,2,GR Active [Throughput %],98.94
step,2,SMs Active [Throughput %],69.6
step,2,SM Issue [Throughput %],20.14
step,2,Tensor Active [Throughput %],24.99
step,2,DRAM Read Bandwidth [Throughput %],11.35
step,2,DRAM Write Bandwidth [Throughput %],7.87
step,2,NVLink RX Requests Protocol Data [Throughput %],0.66
step,2,NVLink RX Requests User Data [Throughput %],1.91
step,2,NVLink RX Responses Protocol Data [Throughput %],0.43
step,2,NVLink RX Responses User Data [Throughput %],1.77
step,2,NVLink TX Requests Protocol Data [Throughput %],0.84
step,2,NVLink TX Requests User Data [Throughput %],1.89
step,2,NVLink TX Responses Protocol Data [Throughput %],0.25
step,2,NVLink TX Responses User Data [Throughput %],1.61
step,3,GR Active [Throughput %],98.89
step,3,SMs Active [Throughput %],70.29
step,3,SM Issue [Throughput %],20.29
step,3,Tensor Active [Throughput %],25.45
step,3,DRAM Read Bandwidth [Throughput %],11.46
step,3,DRAM Write Bandwidth [Throughput %],7.91
step,3,NVLink RX Requests Protocol Data [Throughput %],0.67
step,3,NVLink RX Requests User Data [Throughput %],1.93
step,3,NVLink RX Responses Protocol Data [Throughput %],0.42
step,3,NVLink RX Responses User Data [Throughput %],1.77
step,3,NVLink TX Requests Protocol Data [Throughput %],0.83
step,3,NVLink TX Requests User Data [Throughput %],1.89
step,3,NVLink TX Responses Protocol Data [Throughput %],0.26
step,3,NVLink TX Responses User Data [Throughput %],1.63
step,4,GR Active [Throughput %],99.05
step,4,SMs Active [Throughput %],69.84
step,4,SM Issue [Throughput %],20.19
step,4,Tensor Active [Throughput %],25.19
step,4,DRAM Read Bandwidth [Throughput %],11.4
step,4,DRAM Write Bandwidth [Throughput %],7.85
step,4,NVLink RX Requests Protocol Data [Throughput %],0.65
step,4,NVLink RX Requests User Data [Throughput %],1.87
step,4,NVLink RX Responses Protocol Data [Throughput %],0.43
step,4,NVLink RX Responses User Data [Throughput %],1.79
step,4,NVLink TX Requests Protocol Data [Throughput %],0.85
step,4,NVLink TX Requests User Data [Throughput %],1.9
step,4,NVLink TX Responses Protocol Data [Throughput %],0.25
step,4,NVLink TX Responses User Data [Throughput %],1.57
step,5,GR Active [Throughput %],99.04
step,5,SMs Active [Throughput %],68.83
step,5,SM Issue [Throughput %],19.92
step,5,Tensor Active [Throughput %],24.49
step,5,DRAM Read Bandwidth [Throughput %],11.32
step,5,DRAM Write Bandwidth [Throughput %],7.8
step,5,NVLink RX Requests Protocol Data [Throughput %],0.64
step,5,NVLink RX Requests User Data [Throughput %],1.84
step,5,NVLink RX Responses Protocol Data [Throughput %],0.44
step,5,NVLink RX Responses User Data [Throughput %],1.79
step,5,NVLink TX Requests Protocol Data [Throughput %],0.85
step,5,NVLink TX Requests User Data [Throughput %],1.89
step,5,NVLink TX Responses Protocol Data [Throughput %],0.25
step,5,NVLink TX Responses User Data [Throughput %],1.55
step,6,GR Active [Throughput %],96.29
step,6,SMs Active [Throughput %],72.89
step,6,SM Issue [Throughput %],20.94
step,6,Tensor Active [Throughput %],26.82
step,6,DRAM Read Bandwidth [Throughput %],11.97
step,6,DRAM Write Bandwidth [Throughput %],8.25
step,6,NVLink RX Requests Protocol Data [Throughput %],0.72
step,6,NVLink RX Requests User Data [Throughput %],2.05
step,6,NVLink RX Responses Protocol Data [Throughput %],0.37
step,6,NVLink RX Responses User Data [Throughput %],1.71
step,6,NVLink TX Requests Protocol Data [Throughput %],0.78
step,6,NVLink TX Requests User Data [Throughput %],1.87
step,6,NVLink TX Responses Protocol Data [Throughput %],0.27
step,6,NVLink TX Responses User Data [Throughput %],1.76
step,7,GR Active [Throughput %],99.1
step,7,SMs Active [Throughput %],68.65
step,7,SM Issue [Throughput %],19.84
step,7,Tensor Active [Throughput %],24.47
step,7,DRAM Read Bandwidth [Throughput %],11.25
step,7,DRAM Write Bandwidth [Throughput %],7.76
step,7,NVLink RX Requests Protocol Data [Throughput %],0.64
step,7,NVLink RX Requests User Data [Throughput %],1.84
step,7,NVLink RX Responses Protocol Data [Throughput %],0.44
step,7,NVLink RX Responses User Data [Throughput %],1.79
step,7,NVLink TX Requests Protocol Data [Throughput %],0.85
step,7,NVLink TX Requests User Data [Throughput %],1.89
step,7,NVLink TX Responses Protocol Data [Throughput %],0.25
step,7,NVLink TX Responses User Data [Throughput %],1.55
forward,0,GR Active [Throughput %],98.68
forward,0,SMs Active [Throughput %],67.84
forward,0,SM Issue [Throughput %],23.86
forward,0,Tensor Active [Throughput %],26.48
forward,0,DRAM Read Bandwidth [Throughput %],11.87
forward,0,DRAM Write Bandwidth [Throughput %],8.7
forward,0,NVLink RX Requests Protocol Data [Throughput %],0.96
forward,0,NVLink RX Requests User Data [Throughput %],2.17
forward,0,NVLink RX Responses Protocol Data [Throughput %],0.28
forward,0,NVLink RX Responses User Data [Throughput %],1.74
forward,0,NVLink TX Requests Protocol Data [Throughput %],0.74
forward,0,NVLink TX Requests User Data [Throughput %],2.2
forward,0,NVLink TX Responses Protocol Data [Throughput %],0.51
forward,0,NVLink TX Responses User Data [Throughput %],1.96
forward,1,GR Active [Throughput %],98.4
forward,1,SMs Active [Throughput %],69.63
forward,1,SM Issue [Throughput %],24.57
forward,1,Tensor Active [Throughput %],27.64
forward,1,DRAM Read Bandwidth [Throughput %],11.87
forward,1,DRAM Write Bandwidth [Throughput %],8.71
forward,1,NVLink RX Requests Protocol Data [Throughput %],0.74
forward,1,NVLink RX Requests User Data [Throughput %],2.19
forward,1,NVLink RX Responses Protocol Data [Throughput %],0.42
forward,1,NVLink RX Responses User Data [Throughput %],1.92
forward,1,NVLink TX Requests Protocol Data [Throughput %],0.9
forward,1,NVLink TX Requests User Data [Throughput %],2.23
forward,1,NVLink TX Responses Protocol Data [Throughput %],0.28
forward,1,NVLink TX Responses User Data [Throughput %],1.74
forward,2,GR Active [Throughput %],98.24
forward,2,SMs Active [Throughput %],68.83
forward,2,SM Issue [Throughput %],24.29
forward,2,Tensor Active [Throughput %],27.04
forward,2,DRAM Read Bandwidth [Throughput %],11.85
forward,2,DRAM Write Bandwidth [Throughput %],8.74
forward,2,NVLink RX Requests Protocol Data [Throughput %],0.75
forward,2,NVLink RX Requests User Data [Throughput %],2.22
forward,2,NVLink RX Responses Protocol Data [Throughput %],0.42
forward,2,NVLink RX Responses User Data [Throughput %],1.9
forward,2,NVLink TX Requests Protocol Data [Throughput %],0.9
forward,2,NVLink TX Requests User Data [Throughput %],2.2
forward,2,NVLink TX Responses Protocol Data [Throughput %],0.28
forward,2,NVLink TX Responses User Data [Throughput %],1.76
forward,3,GR Active [Throughput %],98.13
forward,3,SMs Active [Throughput %],69.53
forward,3,SM Issue [Throughput %],24.45
forward,3,Tensor Active [Throughput %],27.54
forward,3,DRAM Read Bandwidth [Throughput %],12.0
forward,3,DRAM Write Bandwidth [Throughput %],8.77
forward,3,NVLink RX Requests Protocol Data [Throughput %],0.76
forward,3,NVLink RX Requests User Data [Throughput %],2.24
forward,3,NVLink RX Responses Protocol Data [Throughput %],0.42
forward,3,NVLink RX Responses User Data [Throughput %],1.89
forward,3,NVLink TX Requests Protocol Data [Throughput %],0.89
forward,3,NVLink TX Requests User Data [Throughput %],2.2
forward,3,NVLink TX Responses Protocol Data [Throughput %],0.29
forward,3,NVLink TX Responses User Data [Throughput %],1.78
forward,4,GR Active [Throughput %],98.55
forward,4,SMs Active [Throughput %],69.05
forward,4,SM Issue [Throughput %],24.32
forward,4,Tensor Active [Throughput %],27.26
forward,4,DRAM Read Bandwidth [Throughput %],11.94
forward,4,DRAM Write Bandwidth [Throughput %],8.7
forward,4,NVLink RX Requests Protocol Data [Throughput %],0.74
forward,4,NVLink RX Requests User Data [Throughput %],2.17
forward,4,NVLink RX Responses Protocol Data [Throughput %],0.43
forward,4,NVLink RX Responses User Data [Throughput %],1.91
forward,4,NVLink TX Requests Protocol Data [Throughput %],0.9
forward,4,NVLink TX Requests User Data [Throughput %],2.21
forward,4,NVLink TX Responses Protocol Data [Throughput %],0.28
forward,4,NVLink TX Responses User Data [Throughput %],1.72
forward,5,GR Active [Throughput %],98.55
forward,5,SMs Active [Throughput %],67.93
forward,5,SM Issue [Throughput %],24.02
forward,5,Tensor Active [Throughput %],26.45
forward,5,DRAM Read Bandwidth [Throughput %],11.86
forward,5,DRAM Write Bandwidth [Throughput %],8.63
