k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,91.48,102.194,1.117,7,99.824,90.586,78.343,70.331,95.756,98.186,96.62,102.194
1,107.097,108.838,1.016,0,108.838,108.346,107.455,108.512,106.776,108.319,102.663,105.864
2,80.822,84.804,1.049,6,80.238,77.301,79.541,78.904,80.766,84.001,84.804,81.021
3,16.005,19.056,1.191,1,18.731,19.056,18.72,17.014,18.318,12.26,10.687,13.251
4,10.618,10.924,1.029,5,10.406,10.55,10.603,10.494,10.597,10.924,10.786,10.584
5,10.684,10.899,1.02,6,10.473,10.536,10.683,10.773,10.609,10.655,10.899,10.841
6,72.362,77.716,1.074,6,69.998,69.881,70.27,70.352,70.497,72.83,77.716,77.35
7,11.111,11.444,1.03,2,10.779,11.199,11.444,11.045,11.02,11.016,11.312,11.071
8,11.266,11.547,1.025,6,10.964,11.257,11.149,11.331,11.278,11.301,11.547,11.305
9,10.62,10.812,1.018,4,10.396,10.577,10.574,10.554,10.812,10.647,10.6,10.799
10,75.401,80.591,1.069,6,73.091,72.701,73.211,73.423,73.809,76.319,80.591,80.062
11,10.602,10.854,1.024,6,10.339,10.606,10.56,10.565,10.563,10.629,10.854,10.698
12,10.754,10.999,1.023,5,10.42,10.566,10.672,10.809,10.989,10.999,10.866,10.711
13,11.714,12.07,1.03,6,11.399,11.767,11.832,11.537,11.66,11.803,12.07,11.644
14,73.462,83.007,1.13,6,70.657,70.785,70.779,70.809,71.004,73.348,83.007,77.307
15,10.493,10.708,1.02,3,10.269,10.441,10.53,10.708,10.493,10.543,10.472,10.488
16,11.477,11.688,1.018,6,11.286,11.486,11.307,11.489,11.477,11.545,11.688,11.537
17,10.601,10.785,1.017,3,10.405,10.537,10.655,10.785,10.639,10.601,10.564,10.622
18,73.412,78.553,1.07,6,70.834,70.927,71.236,71.297,72.575,74.107,78.553,77.765
19,10.633,10.87,1.022,4,10.377,10.57,10.595,10.699,10.87,10.71,10.617,10.629
20,10.808,11.074,1.025,2,10.578,10.778,11.074,10.799,10.782,10.833,10.763,10.853
21,11.32,11.697,1.033,4,11.014,11.128,11.331,11.32,11.697,11.366,11.327,11.38
22,74.283,80.548,1.084,6,71.807,71.584,71.907,72.067,72.8,74.888,80.548,78.666
23,11.16,11.381,1.02,6,10.815,11.105,11.102,11.118,11.2,11.226,11.381,11.336
24,11.163,11.437,1.025,4,10.9,10.992,11.08,11.08,11.437,11.153,11.393,11.272
25,11.059,11.187,1.012,3,10.765,11.176,11.038,11.187,11.111,11.141,10.92,11.131
26,72.13,76.8,1.065,6,70.026,70.948,69.387,70.802,69.451,73.612,76.8,76.017
27,10.885,11.188,1.028,7,10.9,10.839,10.851,10.752,10.822,10.853,10.87,11.188
28,10.628,10.958,1.031,6,10.33,10.595,10.576,10.667,10.659,10.621,10.958,10.615
29,10.682,10.865,1.017,2,10.492,10.736,10.865,10.827,10.619,10.636,10.61,10.675
30,71.537,78.38,1.096,6,68.919,68.79,69.151,70.53,69.24,71.592,78.38,75.69
31,10.565,10.925,1.034,2,10.332,10.529,10.925,10.572,10.53,10.565,10.536,10.533
32,10.654,10.961,1.029,6,10.364,10.495,10.536,10.836,10.578,10.882,10.961,10.584
33,10.536,10.652,1.011,5,10.277,10.552,10.602,10.583,10.521,10.652,10.541,10.561
34,73.153,79.275,1.084,6,70.706,71.949,70.933,70.864,71.104,73.317,79.275,77.074
35,10.808,10.959,1.014,1,10.533,10.959,10.775,10.912,10.718,10.862,10.918,10.786
36,10.838,11.062,1.021,4,10.505,10.778,10.725,10.841,11.062,11.044,10.939,10.806
37,10.642,10.887,1.023,5,10.452,10.579,10.643,10.574,10.657,10.887,10.62,10.725
38,73.907,78.63,1.064,6,71.517,72.627,72.078,72.925,71.621,74.064,78.63,77.793
39,10.59,10.83,1.023,6,10.554,10.486,10.604,10.603,10.495,10.592,10.83,10.558
40,10.66,10.753,1.009,6,10.54,10.633,10.67,10.526,10.743,10.67,10.753,10.741
41,11.025,11.302,1.025,5,10.721,11.064,11.067,10.959,11.087,11.302,10.927,11.072
42,73.305,78.514,1.071,6,70.861,72.201,71.051,71.035,71.37,73.789,78.514,77.619
43,10.702,11.3,1.056,6,10.453,10.633,10.641,10.561,10.612,10.647,11.3,10.773
