k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,6.497,6.882,1.059,1,6.674,6.882,6.268,6.128,6.359,6.613,6.321,6.732
1,5.761,6.281,1.09,1,6.206,6.281,5.481,6.07,5.328,5.192,5.459,6.074
2,6.258,7.14,1.141,0,7.14,6.55,5.651,6.996,5.713,5.674,6.029,6.312
3,5.819,6.212,1.068,1,6.1,6.212,5.661,6.094,5.321,5.561,5.612,5.987
4,6.349,7.306,1.151,1,6.762,7.306,5.963,7.009,5.748,5.639,5.972,6.396
5,6.271,6.967,1.111,0,6.967,6.494,5.672,6.706,5.869,5.682,6.118,6.657
6,5.876,6.353,1.081,7,6.129,6.128,5.435,6.162,5.7,5.551,5.549,6.353
7,6.096,6.753,1.108,3,6.466,6.366,5.626,6.753,5.369,5.951,5.797,6.437
8,6.113,6.595,1.079,3,6.42,6.039,6.173,6.595,5.601,5.919,6.011,6.145
9,6.449,7.333,1.137,1,6.655,7.333,6.532,6.02,5.424,6.594,5.998,7.039
10,6.95,7.782,1.12,7,6.745,7.331,6.799,7.366,6.281,6.408,6.885,7.782
11,5.977,6.614,1.106,1,6.003,6.614,5.59,6.319,6.166,5.406,5.565,6.156
12,6.14,6.683,1.088,3,6.13,6.382,5.746,6.683,6.225,5.834,5.723,6.397
13,6.355,7.12,1.12,0,7.12,6.734,5.912,6.678,5.945,5.436,6.215,6.802
14,6.544,7.392,1.13,7,6.59,6.636,5.856,7.16,6.08,5.925,6.711,7.392
15,6.349,7.056,1.111,1,6.51,7.056,6.124,6.467,6.634,5.579,5.493,6.931
16,6.557,7.366,1.123,7,6.578,6.455,6.802,7.052,5.986,5.758,6.457,7.366
17,6.462,7.484,1.158,7,6.761,7.003,6.14,6.13,6.402,6.119,5.658,7.484
18,6.528,7.096,1.087,7,7.095,6.361,6.7,6.864,6.6,5.648,5.858,7.096
19,6.351,7.057,1.111,3,6.816,6.737,5.804,7.057,6.004,6.752,5.811,5.824
20,6.069,6.704,1.105,0,6.704,6.616,5.53,6.279,5.576,5.637,6.307,5.904
21,5.847,6.356,1.087,3,6.084,6.23,5.522,6.356,5.37,5.59,5.719,5.905
22,6.018,6.588,1.095,3,6.529,6.574,5.662,6.588,5.252,5.612,5.624,6.306
23,6.397,7.334,1.146,1,7.174,7.334,5.851,6.804,5.603,6.081,5.798,6.533
24,6.541,7.392,1.13,0,7.392,6.537,5.663,7.197,6.336,6.77,5.84,6.594
25,6.376,7.309,1.146,1,6.753,7.309,6.214,6.32,5.563,6.89,6.068,5.891
26,6.588,7.199,1.093,0,7.199,6.885,6.265,6.534,5.831,6.517,6.847,6.626
27,6.109,6.703,1.097,3,6.435,6.641,5.663,6.703,5.545,5.525,5.669,6.691
28,6.572,7.714,1.174,3,6.474,7.091,6.05,7.714,6.068,6.285,5.96,6.937
