k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,118.126,128.771,1.09,7,126.214,117.46,104.92,97.06,122.501,124.647,123.436,128.771
1,133.961,135.815,1.014,1,135.308,135.815,134.312,135.39,133.758,134.819,129.68,132.609
2,107.668,111.621,1.037,6,106.968,104.33,106.16,105.828,107.938,110.571,111.621,107.93
3,66.314,80.285,1.211,0,80.285,67.776,68.445,59.147,66.062,71.226,61.284,56.288
4,59.586,63.26,1.062,3,59.858,61.221,60.338,63.26,57.031,54.371,61.747,58.861
5,60.622,77.068,1.271,7,65.235,56.735,54.294,63.217,55.193,54.032,59.203,77.068
6,126.163,131.257,1.04,1,124.56,131.257,128.761,124.575,122.11,125.759,130.049,122.235
7,61.695,78.091,1.266,6,59.151,64.917,58.642,63.6,56.464,54.829,78.091,57.865
8,61.824,73.968,1.196,4,63.831,57.523,57.64,60.784,73.968,56.533,61.924,62.393
9,59.574,65.67,1.102,5,59.602,58.536,57.319,57.506,59.476,65.67,57.394,61.086
10,129.366,137.824,1.065,2,126.34,124.396,137.824,131.931,121.055,129.291,137.113,126.98
11,59.919,71.088,1.186,3,56.422,51.919,63.175,71.088,63.929,58.877,60.033,53.909
12,60.805,81.219,1.336,6,55.479,64.882,64.12,48.683,49.564,62.325,81.219,60.169
13,63.588,77.976,1.226,6,61.206,60.484,61.232,59.339,65.368,55.361,77.976,67.734
14,133.225,142.583,1.07,3,127.816,135.397,138.696,142.583,135.445,127.446,130.129,128.292
15,59.922,76.715,1.28,2,50.776,53.387,76.715,57.696,62.056,54.712,70.218,53.82
16,61.916,76.463,1.235,4,64.375,58.432,56.402,61.153,76.463,52.188,65.466,60.851
17,60.546,80.706,1.333,4,53.868,54.291,53.174,59.938,80.706,53.603,64.703,64.084
18,127.548,145.465,1.14,3,121.625,127.407,125.619,145.465,135.965,118.253,118.478,127.575
19,60.661,71.288,1.175,0,71.288,53.45,68.698,59.07,54.991,51.995,61.179,64.614
20,61.163,82.142,1.343,4,55.61,69.927,54.299,48.564,82.142,55.872,50.393,72.494
21,62.306,79.307,1.273,0,79.307,51.83,67.463,57.844,59.855,51.761,68.441,61.945
22,130.149,148.366,1.14,6,128.169,127.541,124.343,130.025,126.656,139.229,148.366,116.86
23,61.444,68.137,1.109,6,63.032,67.968,56.642,57.864,67.331,57.349,68.137,53.232
24,61.114,66.919,1.095,1,59.432,66.919,61.914,64.618,57.212,61.839,60.581,56.4
25,60.841,68.54,1.127,5,60.995,60.308,58.539,67.425,52.674,68.54,59.525,58.723
26,125.933,136.226,1.082,7,128.478,131.686,121.286,125.3,118.366,124.72,121.402,136.226
27,61.453,70.0,1.139,6,66.372,53.827,52.741,63.04,62.324,68.4,70.0,54.923
28,60.511,73.832,1.22,3,57.569,67.916,59.147,73.832,51.409,70.708,56.477,47.03
29,60.79,79.129,1.302,3,60.336,56.775,58.157,79.129,52.038,60.527,65.242,54.118
30,127.654,140.404,1.1,2,125.753,128.275,140.404,129.467,121.999,121.651,123.692,129.992
31,60.906,74.524,1.224,5,51.516,58.764,54.681,67.781,55.626,74.524,66.964,57.391
32,61.124,72.167,1.181,0,72.167,56.53,64.573,54.987,57.678,69.895,55.207,57.952
33,60.274,76.627,1.271,6,59.438,68.275,49.857,54.336,59.511,54.199,76.627,59.953
34,127.629,133.762,1.048,3,130.898,127.53,120.409,133.762,123.227,133.676,128.408,123.124
35,61.162,67.037,1.096,6,52.579,60.1,61.768,60.196,64.064,60.642,67.037,62.91
36,60.8,80.619,1.326,5,55.653,48.665,57.936,58.894,51.811,80.619,72.018,60.806
37,59.939,69.006,1.151,1,61.964,69.006,62.052,65.219,52.1,53.271,57.576,58.321
38,127.235,134.722,1.059,2,128.113,125.451,134.722,121.792,132.577,120.176,134.577,120.474
39,60.351,76.857,1.274,0,76.857,59.038,58.018,59.084,62.693,56.138,57.416,53.561
40,60.448,69.851,1.156,5,59.421,65.289,55.735,54.582,65.441,69.851,55.404,57.863
41,60.65,73.095,1.205,1,62.187,73.095,56.094,59.989,65.016,53.549,55.999,59.272
42,127.893,142.991,1.118,6,125.797,125.14,126.703,122.836,122.863,123.72,142.991,133.092
43,61.107,75.339,1.233,7,61.34,57.441,57.746,66.685,60.738,53.866,55.701,75.339
44,60.122,67.895,1.129,0,67.895,55.547,61.317,57.065,63.476,64.269,53.256,58.153
45,61.18,74.565,1.219,4,59.33,69.265,48.325,65.126,74.565,55.662,59.349,57.82
46,127.085,139.542,1.098,7,123.637,129.714,129.61,124.022,126.636,123.162,120.361,139.542
47,60.446,76.349,1.263,6,59.989,58.469,52.289,65.808,55.499,52.856,76.349,62.309
48,60.471,73.566,1.217,1,58.979,73.566,53.193,70.366,51.447,60.629,57.604,57.984
49,62.288,94.723,1.521,1,54.78,94.723,65.807,55.418,53.05,56.416,62.929,55.18
50,129.829,139.097,1.071,0,139.097,124.138,135.151,133.901,131.128,125.178,125.779,124.262
51,60.439,78.056,1.291,6,59.74,56.384,60.064,53.074,72.633,50.442,78.056,53.122
52,62.292,74.863,1.202,0,74.863,52.914,69.308,52.77,66.573,57.444,69.356,55.108
53,60.643,83.251,1.373,4,52.368,57.744,62.31,52.688,83.251,57.858,55.6,63.323
