k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,12.561,12.694,1.011,1,12.387,12.694,12.523,12.614,12.633,12.428,12.677,12.532
1,12.595,12.772,1.014,1,12.438,12.772,12.472,12.696,12.647,12.468,12.681,12.589
2,12.58,12.779,1.016,1,12.439,12.779,12.509,12.683,12.641,12.408,12.632,12.547
3,35.397,47.004,1.328,0,47.004,33.596,34.618,26.593,32.625,44.44,35.907,28.396
4,34.199,37.883,1.108,3,34.817,35.93,35.104,37.883,31.517,28.678,36.047,33.616
5,35.174,51.44,1.462,7,40.173,31.237,28.903,37.588,29.911,28.794,33.342,51.44
6,39.12,46.552,1.19,1,39.843,46.552,43.894,39.521,36.975,38.388,37.548,30.237
7,35.795,51.732,1.445,6,33.788,38.371,32.536,37.843,30.787,29.183,51.732,32.117
8,35.718,48.027,1.345,4,38.182,31.453,31.621,34.563,48.027,30.654,34.791,36.456
9,34.228,40.465,1.182,5,34.654,33.125,32.177,32.183,33.734,40.465,31.914,35.569
10,39.287,50.063,1.274,2,38.589,36.99,50.063,43.75,32.428,38.355,41.917,32.205
11,34.641,45.832,1.323,3,31.53,26.516,37.784,45.832,38.786,33.627,34.38,28.677
12,35.288,55.526,1.574,6,30.501,39.525,38.747,22.997,23.585,36.59,55.526,34.83
13,36.91,49.907,1.352,6,35.228,33.525,34.412,32.961,39.033,28.985,49.907,41.229
14,44.946,57.149,1.271,3,42.616,49.794,53.162,57.149,49.812,39.591,31.125,36.323
15,34.8,51.621,1.483,2,25.978,28.257,51.621,32.127,36.89,29.651,45.101,28.775
16,35.608,50.312,1.413,4,38.576,32.272,29.184,35.013,50.312,26.156,38.608,34.742
17,35.239,55.322,1.57,4,28.942,28.778,27.868,34.267,55.322,28.493,39.387,38.856
18,39.457,59.493,1.508,3,36.24,41.686,39.816,59.493,48.457,29.587,25.224,35.152
19,35.329,46.379,1.313,0,46.379,28.104,43.481,33.482,29.161,26.776,35.921,39.328
20,35.581,56.699,1.593,4,30.328,44.404,28.035,22.96,56.699,30.503,24.972,46.751
21,36.166,53.717,1.485,0,53.717,25.674,41.51,31.936,32.451,25.904,42.448,35.69
22,41.147,52.691,1.281,6,41.833,41.195,37.833,43.288,38.96,49.81,52.691,23.566
23,35.437,42.003,1.185,1,37.447,42.003,30.866,31.923,41.391,31.448,41.189,27.229
24,35.031,40.677,1.161,1,33.868,40.677,36.123,38.827,30.666,36.059,33.629,30.401
