category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
activation,elementwise_kernel,4500,0.374,762.2,1.743
cat_copy,CatArrayBatchedCopy,9504,1.008,364.3,9.097
cat_copy,elementwise_kernel,9764,0.659,41.0,3.111
cat_copy,CatArrayBatchedCopy_vectorized,11556,0.309,41.4,1.318
cat_copy,index_elementwise_kernel,12428,0.258,3.3,1.74
cat_copy,vectorized_gather_kernel,9752,0.251,142.8,0.526
cat_copy,unrolled_elementwise_kernel,10919,0.188,2.8,1.57
cat_copy,vectorized_elementwise_kernel,10612,0.132,2.8,0.459
cat_copy,indexFuncLargeIndex,624,0.097,1235.0,1.339
cat_copy,_scatter_gather_elementwise_kernel,7551,0.029,9.3,0.294
cat_copy,CatArrayBatchedCopy_alignedK_contig,1408,0.0,2.0,0.003
cross_entropy,cross_entropy_kernel,64,0.006,757.4,0.761
cub_scan_sort,radixSortKVInPlace,336,0.067,1612.7,2.058
cub_scan_sort,bitonicSortKVInPlace,2400,0.007,23.9,0.029
cub_scan_sort,DeviceScanInitKernel,3389,0.001,1.3,0.002
cub_scan_sort,DeviceScanKernel,3389,0.001,2.1,0.003
cub_scan_sort,DeviceRadixSortExclusiveSumKernel,9,0.0,1.7,0.002
cub_scan_sort,DeviceRadixSortHistogramKernel,9,0.0,3.8,0.004
cub_scan_sort,DeviceRadixSortOnesweepKernel,66,0.0,8.2,0.012
cub_scan_sort,DeviceReduceKernel,624,0.0,2.0,0.003
dsa_backward,kernel_cutlass_bwd_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm100Fla,624,3.624,45958.9,57.107
dsa_backward,kernel_cutlass_sum_OdO_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.06,771.8,0.823
dsa_backward,kernel_cutlass_convert_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.023,296.7,0.312
