range,instances_all_pids,instances_in_window,wall_s_per_pid_mean,gpu_kernel_s_per_gpu_mean
forward_backward,8,8,24.797,24.708
backward,8,8,17.365,17.393
recompute,624,624,17.25,17.27
autograd::engine::evaluate_function: CheckpointFunctionBackward,546,546,17.253,17.253
CheckpointFunctionBackward,546,546,17.251,17.253
megatron.core.transformer.transformer_layer._run_mlp.mlp,1248,1248,11.74,8.422
moe,1200,1200,11.706,8.346
forward,8,8,7.352,7.314
CheckpointFunction,546,546,7.219,7.24
hybrid-ep combine with unpermute phase,1800,1800,0.02,5.531
megatron.core.transformer.transformer_layer._forward_attention.self_attention,1248,1248,3.956,5.209
combine_core in hybrid-ep,1800,1800,0.008,5.108
autograd::engine::evaluate_function: FusedSparseAttentionFuncBackward,546,546,7.504,4.871
FusedSparseAttentionFuncBackward,546,546,7.502,4.871
nvte_cublas_gemm_v2,139122,139122,0.89,4.475
moe_combine,1200,1200,0.023,3.767
hybridep_combine,1200,1200,0.022,3.767
HybridEPCombine,1050,1050,0.016,3.736
flash_attn_bwd_sm100_kernel,624,624,0.005,3.709
attention,1248,1248,3.232,3.116
nvte_multi_tensor_gemm,3600,3600,0.901,2.82
moe_experts,1200,1200,1.223,2.803
hybridep_dispatch_bwd,600,600,0.008,1.764
autograd::engine::evaluate_function: HybridEPDispatchBackward,525,525,0.011,1.755
HybridEPDispatchBackward,525,525,0.01,1.755
dsa_core,1248,1248,0.063,1.525
hybrid-ep dispatch with permute phase,1800,1800,0.154,1.486
aten::cat,19845,19845,0.042,1.33
FusedSparseAttentionFunc,1092,1092,0.028,1.255
flash_mla_sparse_fwd,1248,1248,0.008,1.238
aten::mul,43708,43701,0.093,1.071
moe_dispatch,1200,1200,0.164,1.058
hybridep_dispatch,1200,1200,0.162,1.058
HybridEPDispatch,1050,1050,0.154,1.058
dispatch_core in hybrid-ep,1800,1800,0.008,1.033
aten::copy_,47509,34321,0.211,0.97
autograd::engine::evaluate_function: _GroupedLinearBackward,1050,1050,0.457,0.964
_GroupedLinearBackward,1050,1050,0.451,0.964
_GroupedLinear,1050,1050,0.333,0.936
indexer_fwd_kernel,3318,3318,0.047,0.874
layer:76,16,16,0.272,0.756
autograd::engine::evaluate_function: _LinearBackward,5439,5439,0.121,0.641
aten::contiguous,4914,4914,0.02,0.613
aten::clone,6265,6265,0.025,0.613
record_param_comms,4109,4060,0.136,0.589
aten::add,28119,28070,0.06,0.54
_LinearBackward,5439,5439,0.103,0.539
autograd::engine::evaluate_function: MulBackward0,7707,7707,0.035,0.514
_Linear,5439,5439,0.081,0.508
MulBackward0,7707,7707,0.023,0.443
autograd::engine::evaluate_function: HybridEPCombineBackward,525,525,0.009,0.429
HybridEPCombineBackward,525,525,0.009,0.429
hybridep_combine_bwd,600,600,0.008,0.428
combine_preprocess in hybrid-ep,1800,1800,0.004,0.423
layer:78,16,16,0.168,0.406
moe_shared_experts,1200,1200,0.261,0.358
dispatch_postprocess in hybrid-ep,1800,1800,0.002,0.357
aten::to,54299,47621,0.203,0.323
aten::_to_copy,25368,18746,0.196,0.323
aten::mm,17976,17976,0.103,0.317
ncclReduceScatter,624,624,0.013,0.313
autograd::engine::evaluate_function: _GatherFromSequenceParallelRegionBackward,546,546,0.026,0.294
_GatherFromSequenceParallelRegionBackward,546,546,0.025,0.294
c10d::_reduce_scatter_base_,546,546,0.02,0.294
nccl:_reduce_scatter_base,546,546,0.018,0.294
aten::gather,7056,7056,0.017,0.269
aten::index_copy_,546,546,0.002,0.252
aten::index_select,4893,4893,0.024,0.245
aten::silu,2142,2142,0.01,0.238
layer:23,16,16,0.266,0.236
layer:19,16,16,0.265,0.231
layer:43,16,16,0.258,0.227
layer:59,16,16,0.257,0.227
layer:55,16,16,0.272,0.222
layer:31,16,16,0.263,0.221
megatron.core.transformer.mlp.forward.linear_fc1,1248,1248,0.105,0.219
layer:47,16,16,0.26,0.219
layer:71,16,16,0.265,0.219
aten::bmm,3276,3276,0.027,0.218
layer:63,16,16,0.258,0.218
layer:15,16,16,0.265,0.217
layer:67,16,16,0.267,0.216
layer:75,16,16,0.256,0.216
aten::matmul,17808,17808,0.115,0.213
layer:11,16,16,0.253,0.213
layer:27,16,16,0.249,0.212
layer:51,16,16,0.28,0.212
layer:39,16,16,0.25,0.209
layer:35,16,16,0.261,0.204
layer:7,16,16,0.266,0.2
## Call CompiledFxGraph f4lp3k6eal6jjaaapp6ekbhvhpvzwzlmbk6flxoxarmdebuk7pay ##,150,150,0.083,0.195
layer:50,16,16,0.182,0.19
autograd::engine::evaluate_function: SplitWithSizesBackward0,1092,1092,0.004,0.188
SplitWithSizesBackward0,1092,1092,0.003,0.188
moe_route,1200,1200,0.13,0.18
## Call CompiledFxGraph fprzcuionun7hve6yzzjkl2rz7kcnazbmyahauf2xrv525xtsq2o ##,150,150,0.084,0.175
layer:2,16,16,0.2,0.174
## Call CompiledFxGraph fyiox7xtuagiyxv3jumavmfwrohtb6eqedvm4n7hbtjzrjxopm2w ##,150,150,0.089,0.173
layer:54,16,16,0.18,0.172
autograd::engine::evaluate_function: _OperationFuserAutogradFunctionBackward,2170,2170,0.048,0.172
layer:21,16,16,0.183,0.168
layer:37,16,16,0.184,0.168
layer:13,16,16,0.181,0.167
layer:18,16,16,0.181,0.167
layer:66,16,16,0.18,0.164
layer:30,16,16,0.183,0.162
layer:52,16,16,0.177,0.161
nvte_rmsnorm_fwd,10000,10000,0.009,0.16
layer:1,16,16,0.155,0.159
ncclAllGather,1592,1592,0.037,0.159
## Call CompiledFxGraph fiyfymqul4dci3s7k6o36vhmamrebnfaji5p3zkpv45xdhvwm6rc ##,150,150,0.086,0.159
layer:8,16,16,0.176,0.159
layer:34,16,16,0.182,0.159
layer:48,16,16,0.184,0.159
layer:6,16,16,0.171,0.158
layer:22,16,16,0.197,0.158
layer:40,16,16,0.178,0.158
## Call CompiledFxGraph flo6i66pbitwktjlvh2urazvcno3zlgd2sleyxep3sq7smyovjun ##,150,150,0.087,0.157
layer:14,16,16,0.199,0.157
layer:16,16,16,0.175,0.157
layer:17,16,16,0.185,0.156
ncclAllReduce,1232,1216,0.017,0.155
layer:44,16,16,0.185,0.155
layer:60,16,16,0.184,0.155
_GatherFromSequenceParallelRegion,1386,1386,0.069,0.154
c10d::_allgather_base_,1393,1393,0.058,0.154
nccl:_all_gather_base,1393,1393,0.051,0.154
layer:32,16,16,0.181,0.153
layer:46,16,16,0.178,0.153
layer:29,16,16,0.176,0.152
layer:62,16,16,0.182,0.152
layer:53,16,16,0.192,0.151
layer:4,16,16,0.237,0.15
layer:9,16,16,0.189,0.15
layer:77,16,16,0.188,0.149
layer:3,16,16,0.226,0.148
layer:33,16,16,0.183,0.148
layer:70,16,16,0.184,0.148
layer:73,16,16,0.184,0.148
layer:20,16,16,0.189,0.147
layer:42,16,16,0.181,0.147
layer:49,16,16,0.195,0.147
layer:72,16,16,0.179,0.147
aten::add_,14959,14959,0.026,0.147
layer:57,16,16,0.178,0.146
layer:74,16,16,0.179,0.146
aten::fill_,25627,25592,0.032,0.145
aten::topk,3150,3150,0.015,0.145
layer:28,16,16,0.183,0.145
layer:41,16,16,0.195,0.145
_OperationFuserAutogradFunctionBackward,2170,2170,0.043,0.145
nvte_rmsnorm_bwd,5008,5008,0.008,0.145
aten::einsum,2184,2184,0.033,0.144
layer:12,16,16,0.172,0.144
layer:58,16,16,0.182,0.144
megatron.core.transformer.mlp.forward.linear_fc2,1248,1248,0.112,0.143
layer:56,16,16,0.183,0.143
layer:69,16,16,0.177,0.142
c10d::allreduce_,1071,1057,0.053,0.141
nccl:all_reduce,1071,1057,0.028,0.141
layer:38,16,16,0.192,0.141
_c10d_functional::all_reduce_,1050,1050,0.054,0.14
layer:68,16,16,0.18,0.14
layer:26,16,16,0.175,0.139
layer:24,16,16,0.193,0.137
layer:36,16,16,0.174,0.137
layer:45,16,16,0.191,0.137
autograd::engine::evaluate_function: SiluBackward0,1071,1071,0.004,0.137
SiluBackward0,1071,1071,0.003,0.137
aten::silu_backward,1071,1071,0.003,0.137
layer:64,16,16,0.18,0.136
layer:65,16,16,0.18,0.136
layer:10,16,16,0.181,0.133
layer:25,16,16,0.174,0.133
layer:61,16,16,0.185,0.128
Torch-Compiled Region: 3/0,525,525,4.41,0.127
Torch-Compiled Region: 4/0,525,525,4.398,0.127
layer:5,16,16,0.179,0.127
triton_poi_fused__to_copy_mul_unsqueeze_view_0,67200,67200,0.103,0.118
autograd::engine::evaluate_function: SplitBackward0,2163,2163,0.007,0.118
SplitBackward0,2163,2163,0.006,0.118
autograd::engine::evaluate_function: ToCopyBackward0,581,581,0.005,0.113
ToCopyBackward0,581,581,0.004,0.113
dsa_indexer,336,336,2.804,0.111
autograd::engine::evaluate_function: LinearWithGradAccumulationAndAsyncCommunicationBackward,4480,4480,0.097,0.107
LinearWithGradAccumulationAndAsyncCommunicationBackward,4480,4480,0.085,0.107
LinearWithGradAccumulationAndAsyncCommunication,8848,8848,0.092,0.106
autograd::engine::evaluate_function: _FrozenHeadFp32LogitsBackward,56,56,0.002,0.104
_FrozenHeadFp32LogitsBackward,56,56,0.002,0.104
autograd::engine::evaluate_function: IndexSelectBackward0,546,546,0.004,0.103
IndexSelectBackward0,546,546,0.003,0.103
aten::index_select_backward,546,546,0.003,0.103
aten::index_add_,546,546,0.001,0.097
aten::zero_,16527,16492,0.024,0.094
autograd::engine::evaluate_function: RouterGatingLinearFunctionBackward,525,525,0.025,0.094
## Call CompiledFxGraph fkcm2gu7lep3aohymc6xgxt3j3m2dohz5x6lo46aoufyiu2jaf2e ##,150,150,0.074,0.085
_OperationFuserAutogradFunction,2170,2170,0.039,0.082
RouterGatingLinearFunctionBackward,525,525,0.023,0.08
## Call CompiledFxGraph f4jhfsd2pwflyjnqbiiqiw3tp6fffmangne3wjgiqvkbpbubz7yn ##,150,150,0.097,0.075
## Call CompiledFxGraph fbsg7phejoazisyfo5lbvudzosrnq34oohnrq7wcretsd5my45k5 ##,150,150,0.096,0.075
