k,laggard_gpu,lateness_ms,laggard_gpu_idle_since_prev_release_ms,laggard_interval_ms,sum_wait_all_gpus_ms,laggard_nvtx
0,0,0.15,26.821,434.627,2.138,forward|layer|moe|moe_experts
1,1,0.811,0.005,4.419,5.314,forward|layer|moe|moe_experts
2,0,12.975,0.162,32.566,92.821,forward|layer|moe
3,4,0.099,0.002,3.632,1.664,forward|layer|moe
4,1,0.09,0.848,31.056,1.421,forward|layer|moe|moe_experts
5,1,0.624,0.005,3.954,4.778,forward|layer|moe|moe_experts
6,3,3.182,0.153,24.41,29.675,forward|layer|moe
7,1,0.071,0.003,3.393,1.186,forward|layer|moe
8,7,0.084,0.898,31.222,1.331,forward|layer|moe|moe_experts
9,1,0.822,0.005,4.58,5.479,forward|layer|moe|moe_experts
10,7,20.826,0.146,38.758,144.188,forward|layer|attention
11,1,0.104,0.004,3.789,1.944,forward|layer|attention
12,1,0.13,3.75,100.412,1.378,forward|layer|moe|moe_experts
13,7,0.573,0.003,3.993,4.694,forward|layer|moe|moe_experts
14,1,6.135,0.21,25.896,41.032,forward|layer|moe
15,1,0.078,0.005,3.389,1.318,forward|layer|moe
16,1,0.144,0.832,32.175,1.482,forward|layer|moe|moe_experts
17,1,0.567,0.006,4.654,5.773,forward|layer|moe|moe_experts
18,6,20.76,0.197,38.635,143.044,forward|layer|moe
19,1,0.122,0.003,3.813,1.66,forward|layer|moe
20,1,0.068,0.856,32.689,1.265,forward|layer|moe|moe_experts
21,1,0.564,0.007,4.471,5.404,forward|layer|moe|moe_experts
22,4,14.502,0.183,34.502,110.185,forward|layer|moe
23,1,0.108,0.004,3.664,1.546,forward|layer|moe
24,1,0.078,0.826,30.994,1.192,forward|layer|moe|moe_experts
25,7,0.534,0.005,4.096,5.095,forward|layer|moe|moe_experts
26,5,7.105,0.18,27.048,53.823,forward|layer|attention
27,4,0.125,0.003,3.497,1.557,forward|layer|attention
28,1,0.079,3.639,102.938,1.287,forward|layer|moe|moe_experts
29,1,0.489,0.004,4.498,6.124,forward|layer|moe|moe_experts
30,2,11.049,0.179,30.205,78.457,forward|layer|moe
31,1,0.111,0.005,3.714,1.374,forward|layer|moe
32,4,0.072,0.85,30.887,1.422,forward|layer|moe|moe_experts
33,1,0.811,0.006,4.406,5.552,forward|layer|moe|moe_experts
34,3,11.598,0.169,31.924,90.989,forward|layer|moe
35,1,0.122,0.005,3.653,1.445,forward|layer|moe
36,1,0.106,0.84,31.322,1.273,forward|layer|moe|moe_experts
37,0,0.369,0.004,4.704,5.789,forward|layer|moe|moe_experts
38,6,22.041,0.184,42.953,178.861,forward|layer|moe
39,1,0.242,0.004,4.055,2.121,forward|layer|moe
40,4,0.191,1.903,34.447,2.155,forward|layer|moe|moe_experts
41,1,0.556,0.006,4.631,5.635,forward|layer|moe|moe_experts
42,6,18.069,0.213,36.553,125.76,forward|layer|attention
43,1,0.184,0.004,3.847,1.475,forward|layer|attention
44,1,0.098,3.237,106.93,1.287,forward|layer|moe|moe_experts
45,7,0.738,0.003,4.242,5.308,forward|layer|moe|moe_experts
46,3,10.115,0.178,30.333,78.554,forward|layer|moe
47,1,0.1,0.004,3.561,1.262,forward|layer|moe
48,1,0.082,0.859,30.838,1.378,forward|layer|moe|moe_experts
49,1,0.494,0.006,4.651,6.553,forward|layer|moe|moe_experts
