waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,1218055821,13.778,7,0.0,1.022,laggard_gpu_busy,gemm=7.6ms;moe_permute=3.0ms;elementwise=2.6ms,forward|attention|dsa_indexer
0,1358755357,7.276,1,0.0,1.044,laggard_gpu_busy,gemm=5.0ms;moe_permute=2.2ms;elementwise=0.3ms,forward|moe
0,1424305861,20.727,6,0.0,1.014,laggard_gpu_busy,elementwise=7.5ms;gemm=7.5ms;moe_permute=3.4ms,forward|moe
0,1508488677,12.15,4,0.0,1.025,laggard_gpu_busy,gemm=6.7ms;moe_permute=2.8ms;elementwise=2.1ms,forward|moe
0,1580293568,6.595,5,0.001,1.052,laggard_gpu_busy,gemm=4.3ms;moe_permute=2.4ms;hybridep_combine=0.3ms,forward|attention|dsa_indexer
0,1714990272,13.432,2,0.0,1.022,laggard_gpu_busy,gemm=5.9ms;elementwise=4.3ms;moe_permute=2.7ms,forward|moe
0,1784386940,15.233,3,0.0,1.021,laggard_gpu_busy,gemm=6.2ms;elementwise=5.9ms;moe_permute=2.6ms,forward|moe
0,1854430496,28.085,6,0.0,1.023,laggard_gpu_busy,gemm=12.8ms;elementwise=8.3ms;moe_permute=3.6ms,forward|moe
0,1944521870,17.82,6,0.0,1.017,laggard_gpu_busy,gemm=7.1ms;elementwise=6.9ms;moe_permute=3.3ms,forward|attention|dsa_indexer
0,2092056633,15.873,3,0.0,1.018,laggard_gpu_busy,gemm=5.9ms;elementwise=5.9ms;moe_permute=2.6ms,forward|moe
0,2157896933,27.613,2,0.0,1.031,laggard_gpu_busy,gemm=14.0ms;elementwise=7.5ms;moe_permute=3.2ms,forward|moe
0,2249572456,14.162,4,0.0,1.023,laggard_gpu_busy,gemm=7.2ms;elementwise=3.5ms;moe_permute=2.9ms,forward|moe
0,2316748070,29.771,4,0.0,1.035,laggard_gpu_busy,gemm=14.9ms;elementwise=8.5ms;moe_permute=3.3ms,forward|attention|dsa_indexer
0,2470290721,26.138,3,0.0,1.024,laggard_gpu_busy,gemm=12.2ms;elementwise=7.7ms;moe_permute=3.1ms,forward|moe
0,2625022283,28.277,4,0.0,1.021,laggard_gpu_busy,gemm=13.1ms;elementwise=8.2ms;moe_permute=3.6ms,forward|moe
0,2863560081,23.19,6,0.0,1.013,laggard_gpu_busy,gemm=8.5ms;elementwise=8.0ms;moe_permute=3.1ms,forward|moe
0,2949491208,5.926,4,0.0,1.027,laggard_gpu_busy,gemm=3.7ms;moe_permute=2.4ms,forward|moe
0,3014566250,7.829,1,0.0,1.041,laggard_gpu_busy,gemm=5.2ms;moe_permute=2.2ms;cat_copy=0.4ms,forward|moe
0,3082864886,9.023,5,0.001,1.031,laggard_gpu_busy,gemm=5.7ms;moe_permute=2.5ms;cat_copy=0.6ms,forward|attention|dsa_indexer
0,3222118451,9.222,7,0.0,1.033,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.9ms;elementwise=0.3ms,forward|moe
0,3296921366,6.598,6,0.0,1.038,laggard_gpu_busy,gemm=4.0ms;moe_permute=2.8ms,forward|moe
0,3360754247,18.398,3,0.0,1.02,laggard_gpu_busy,gemm=7.0ms;elementwise=6.8ms;moe_permute=3.0ms,forward|moe
0,3439047257,21.038,3,0.0,1.012,laggard_gpu_busy,elementwise=8.0ms;gemm=7.9ms;moe_permute=3.3ms,forward|attention|dsa_indexer
0,3588338491,17.009,2,0.0,1.017,laggard_gpu_busy,gemm=6.9ms;elementwise=6.6ms;moe_permute=2.8ms,forward|moe
0,3656203650,24.506,5,0.0,1.041,laggard_gpu_busy,gemm=12.1ms;elementwise=6.9ms;moe_permute=3.0ms,forward|moe
0,3813578480,20.225,6,0.0,1.015,laggard_gpu_busy,gemm=7.7ms;elementwise=7.7ms;moe_permute=3.0ms,forward|attention|dsa_indexer
0,4023657979,16.419,6,0.0,0.99,laggard_gpu_busy,gemm=5.7ms;elementwise=5.4ms;moe_permute=2.6ms,forward|moe
0,4095311956,27.997,5,0.0,0.909,laggard_gpu_busy,gemm=9.3ms;elementwise=8.5ms;moe_permute=3.3ms,forward|moe
