layer,gpu,start_ns,wall_ms
layer:1,0,1718242424,56.81
layer:1,0,28898552321,103.801
layer:1,1,1733779968,43.264
layer:1,1,28899044549,101.867
layer:1,2,1736060828,42.24
layer:1,2,28898279196,102.109
layer:1,3,1732283505,46.829
layer:1,3,28898938422,101.562
layer:1,4,1735373086,43.229
layer:1,4,28898509590,101.829
layer:1,5,1734892580,45.084
layer:1,5,28897786483,102.635
layer:1,6,1735741761,42.623
layer:1,6,28898087485,102.691
layer:1,7,1734677145,43.18
layer:1,7,28898253199,102.575
layer:2,0,1775231416,114.779
layer:2,0,28744929411,106.699
layer:2,1,1777219587,115.708
layer:2,1,28745793975,104.837
layer:2,2,1778474761,115.113
layer:2,2,28744707521,105.788
layer:2,3,1779303291,114.483
layer:2,3,28745465465,105.361
layer:2,4,1778776855,115.579
layer:2,4,28745127627,105.192
layer:2,5,1780157740,115.189
layer:2,5,28744461438,105.902
layer:2,6,1778533839,114.735
layer:2,6,28744916912,105.297
layer:2,7,1778041558,115.296
layer:2,7,28744673442,105.839
layer:3,0,1890172944,144.257
layer:3,0,28603013929,95.492
layer:3,1,1893082021,144.296
layer:3,1,28600365375,98.204
layer:3,2,1893741226,144.677
layer:3,2,28600569684,97.403
layer:3,3,1893950299,144.376
layer:3,3,28600477377,97.845
layer:3,4,1894520182,144.113
layer:3,4,28600131520,97.301
layer:3,5,1895510739,143.601
layer:3,5,28600376720,97.245
layer:3,6,1893438255,143.717
layer:3,6,28600052514,97.616
layer:3,7,1893504042,144.863
layer:3,7,28601468134,96.535
layer:4,0,2034587091,140.268
layer:4,0,28387848401,118.6
layer:4,1,2037532587,134.692
layer:4,1,28388327822,117.111
layer:4,2,2038588225,134.947
layer:4,2,28388359450,118.012
layer:4,3,2038470187,135.263
layer:4,3,28388432064,118.342
layer:4,4,2038779720,134.601
layer:4,4,28388222800,117.095
layer:4,5,2039293600,134.204
layer:4,5,28388025920,117.501
layer:4,6,2037340479,136.777
layer:4,6,28388183364,118.322
layer:4,7,2038514803,135.712
layer:4,7,28388019218,118.152
layer:5,0,2175015968,78.405
layer:5,0,28194319690,118.839
layer:5,1,2172396578,81.228
layer:5,1,28193520505,118.324
layer:5,2,2173708057,81.007
layer:5,2,28193563629,118.794
layer:5,3,2173906643,80.568
layer:5,3,28193981172,118.546
layer:5,4,2173543705,80.04
layer:5,4,28193419240,118.882
layer:5,5,2173667361,80.606
layer:5,5,28193432515,118.447
layer:5,6,2174285326,79.407
layer:5,6,28193381501,118.855
layer:5,7,2174384489,79.757
layer:5,7,28193805564,119.184
layer:6,0,2253576625,73.009
layer:6,0,27958404105,124.207
layer:6,1,2253780313,73.278
layer:6,1,27959249359,121.604
layer:6,2,2254884234,72.104
layer:6,2,27959203720,122.308
layer:6,3,2254639192,72.574
layer:6,3,27959367090,121.986
layer:6,4,2253747885,75.985
layer:6,4,27959061336,122.169
layer:6,5,2254439219,75.667
layer:6,5,27959103091,121.779
layer:6,6,2253850776,73.199
layer:6,6,27959095861,121.533
layer:6,7,2254305464,73.148
layer:6,7,27959206161,121.93
layer:7,0,2326739922,161.97
layer:7,0,27755970883,123.71
layer:7,1,2327212209,165.256
layer:7,1,27756929769,123.866
layer:7,2,2327151800,163.212
layer:7,2,27756886073,123.848
layer:7,3,2327372562,162.824
layer:7,3,27756785721,124.662
layer:7,4,2329899263,160.002
layer:7,4,27756817189,124.087
layer:7,5,2330278334,159.656
layer:7,5,27756944004,123.917
layer:7,6,2327223604,165.439
layer:7,6,27756846983,123.502
layer:7,7,2327604093,164.259
layer:7,7,27756757045,123.995
layer:8,0,2488864829,74.301
layer:8,0,27531352671,116.308
layer:8,1,2492614583,71.118
layer:8,1,27532122217,115.808
layer:8,2,2490516663,73.032
layer:8,2,27532212012,116.298
layer:8,3,2490370296,73.893
layer:8,3,27532229149,116.4
layer:8,4,2490065988,73.659
layer:8,4,27532126417,115.723
layer:8,5,2490099878,73.896
layer:8,5,27532067979,116.087
layer:8,6,2492822919,71.3
layer:8,6,27531999996,116.562
layer:8,7,2492017696,71.914
layer:8,7,27532155193,116.226
layer:9,0,2563318100,93.529
layer:9,0,27310692585,121.085
layer:9,1,2563880243,88.244
layer:9,1,27311846975,120.598
layer:9,2,2563696512,87.873
layer:9,2,27311622233,121.51
layer:9,3,2564431128,87.765
layer:9,3,27311865002,120.873
layer:9,4,2563898438,87.729
layer:9,4,27311434088,120.712
layer:9,5,2564166311,87.155
layer:9,5,27311755844,120.628
layer:9,6,2564301536,87.266
layer:9,6,27311378972,120.993
layer:9,7,2564075759,88.384
layer:9,7,27311689236,121.52
layer:10,0,2656988834,78.326
layer:10,0,27113285959,113.473
layer:10,1,2652287878,82.191
layer:10,1,27113882974,113.627
layer:10,2,2651719884,83.457
layer:10,2,27113967692,114.111
layer:10,3,2652345797,83.46
layer:10,3,27109948344,117.911
layer:10,4,2651785080,83.935
layer:10,4,27109722409,117.489
layer:10,5,2651482489,83.466
layer:10,5,27109849688,117.622
layer:10,6,2651733682,83.658
layer:10,6,27109690995,117.939
layer:10,7,2652605888,83.393
layer:10,7,27114273126,113.812
layer:11,0,2735455462,146.223
layer:11,0,26893674247,124.104
layer:11,1,2734622043,147.728
layer:11,1,26894407816,124.163
layer:11,2,2735334276,146.466
layer:11,2,26894449374,124.542
layer:11,3,2735952039,146.62
layer:11,3,26894675812,124.178
layer:11,4,2735877741,146.813
layer:11,4,26894257268,123.887
layer:11,5,2735097723,147.781
layer:11,5,26894363906,124.168
layer:11,6,2735546773,147.217
layer:11,6,26894250868,124.255
layer:11,7,2736148723,145.947
layer:11,7,26894299996,124.693
layer:12,0,2881821734,79.611
layer:12,0,26683849557,122.263
layer:12,1,2882489894,79.085
layer:12,1,26682599522,114.664
layer:12,2,2881944060,79.285
layer:12,2,26684770968,112.764
layer:12,3,2882714133,79.786
