what,gpu,instances,wall_s,gpu_kernel_s
layer_forward,0,78,7.96,7.458
layer_recompute_forward,0,78,9.39,6.329
backward_minus_recompute_forward,0,1,,11.599
layer_forward,1,78,7.943,7.326
layer_recompute_forward,1,78,9.638,5.945
backward_minus_recompute_forward,1,1,,11.609
layer_forward,2,78,7.943,7.308
layer_recompute_forward,2,78,9.3,6.251
backward_minus_recompute_forward,2,1,,11.603
layer_forward,3,78,7.945,7.257
layer_recompute_forward,3,78,9.282,6.242
backward_minus_recompute_forward,3,1,,11.604
layer_forward,4,78,7.954,7.372
layer_recompute_forward,4,78,9.297,6.287
backward_minus_recompute_forward,4,1,,11.609
layer_forward,5,78,7.941,7.326
layer_recompute_forward,5,78,9.455,6.102
backward_minus_recompute_forward,5,1,,11.605
layer_forward,6,78,7.941,7.359
layer_recompute_forward,6,78,9.312,6.287
backward_minus_recompute_forward,6,1,,11.608
layer_forward,7,78,7.942,7.309
layer_recompute_forward,7,78,9.295,6.262
backward_minus_recompute_forward,7,1,,11.597
