range,gpu,instances,wall_s,gpu_kernel_s
forward,0,1,8.988,8.42
forward,1,1,8.975,8.289
forward,2,1,8.975,8.27
forward,3,1,8.976,8.219
forward,4,1,8.975,8.335
forward,5,1,8.975,8.289
forward,6,1,8.974,8.321
forward,7,1,8.975,8.272
backward,0,1,18.346,17.928
backward,1,1,18.346,17.554
backward,2,1,18.345,17.854
backward,3,1,18.346,17.846
backward,4,1,18.345,17.896
backward,5,1,18.345,17.707
backward,6,1,18.345,17.895
backward,7,1,18.345,17.859
optimizer,0,1,0.0,0.0
optimizer,1,1,0.0,0.0
optimizer,2,1,0.0,0.0
optimizer,3,1,0.0,0.0
optimizer,4,1,0.0,0.0
optimizer,5,1,0.0,0.0
optimizer,6,1,0.0,0.0
optimizer,7,1,0.0,0.0
attention,0,156,11.253,3.526
attention,1,156,11.248,3.321
attention,2,156,11.327,3.304
attention,3,156,11.331,3.239
attention,4,156,11.299,3.399
attention,5,156,11.358,3.334
attention,6,156,11.299,3.506
attention,7,156,11.334,3.423
moe,0,150,5.281,7.911
moe,1,150,5.441,7.557
moe,2,150,5.034,7.893
moe,3,150,4.993,7.887
moe,4,150,5.072,7.887
moe,5,150,5.13,7.74
moe,6,150,5.089,7.76
moe,7,150,5.021,7.785
hybridep_dispatch,0,150,0.156,1.044
hybridep_dispatch,1,150,0.161,1.039
hybridep_dispatch,2,150,0.163,1.05
hybridep_dispatch,3,150,0.16,1.046
hybridep_dispatch,4,150,0.16,1.041
hybridep_dispatch,5,150,0.161,1.036
hybridep_dispatch,6,150,0.162,1.071
hybridep_dispatch,7,150,0.158,1.036
hybridep_combine,0,150,0.021,3.366
hybridep_combine,1,150,0.022,2.984
hybridep_combine,2,150,0.022,3.317
hybridep_combine,3,150,0.023,3.272
hybridep_combine,4,150,0.022,3.332
hybridep_combine,5,150,0.022,3.328
hybridep_combine,6,150,0.022,2.919
hybridep_combine,7,150,0.022,3.488
recompute,0,78,17.502,16.972
recompute,1,78,17.502,16.597
recompute,2,78,17.501,16.898
recompute,3,78,17.502,16.89
recompute,4,78,17.501,16.939
recompute,5,78,17.5,16.749
recompute,6,78,17.501,16.939
recompute,7,78,17.502,16.904
lm_head,0,1,1.006,0.956
lm_head,1,1,0.895,0.962
lm_head,2,1,0.907,0.956
lm_head,3,1,0.889,0.956
lm_head,4,1,0.876,0.957
lm_head,5,1,0.89,0.957
lm_head,6,1,0.889,0.956
lm_head,7,1,0.907,0.956
dsa_indexer,0,42,0.271,0.11
dsa_indexer,1,42,0.199,0.111
dsa_indexer,2,42,0.197,0.11
dsa_indexer,3,42,0.186,0.11
dsa_indexer,4,42,0.212,0.111
dsa_indexer,5,42,0.188,0.11
dsa_indexer,6,42,0.2,0.11
dsa_indexer,7,42,0.183,0.11
dsa_core,0,156,0.056,1.484
dsa_core,1,156,0.068,1.527
dsa_core,2,156,0.063,1.522
dsa_core,3,156,0.066,1.524
dsa_core,4,156,0.065,1.524
dsa_core,5,156,0.065,1.523
dsa_core,6,156,0.063,1.531
dsa_core,7,156,0.065,1.527
