k,laggard_gpu,lateness_ms,laggard_gpu_idle_since_prev_release_ms,laggard_interval_ms,sum_wait_all_gpus_ms,laggard_nvtx
0,1,0.038,65.627,447.73,0.334,forward|layer|moe|hybridep_dispatch
1,1,0.815,0.003,4.484,4.869,forward|layer|moe|moe_experts
2,0,12.863,0.176,32.733,94.316,forward|layer|attention
3,2,0.032,0.003,3.663,0.609,forward|layer|attention
4,3,0.017,9.932,40.694,0.226,forward|layer|moe|hybridep_dispatch
5,0,0.56,0.003,3.974,3.796,forward|layer|moe|moe_experts
6,3,3.196,0.143,24.556,29.22,forward|layer|attention
7,1,0.069,0.002,3.467,0.562,forward|layer|attention
8,7,0.045,9.532,41.175,0.384,forward|layer|moe|hybridep_dispatch
9,0,0.73,0.003,4.578,4.383,forward|layer|moe|moe_experts
10,7,22.397,0.177,40.191,153.767,forward|layer|attention
11,3,0.022,0.004,3.823,0.698,forward|layer|attention
12,6,0.027,11.281,114.115,0.266,forward|layer|moe|hybridep_dispatch
13,0,0.589,0.005,4.037,3.696,forward|layer|moe|moe_experts
14,1,5.67,0.186,25.61,37.748,forward|layer|attention
15,2,0.046,0.004,3.444,0.407,forward|layer|attention
16,6,0.065,8.759,41.291,0.521,forward|layer|moe|hybridep_dispatch
17,0,0.504,0.004,4.643,4.773,forward|layer|moe|moe_experts
18,6,20.251,0.199,38.268,139.382,forward|layer|attention
19,1,0.049,0.005,3.849,0.905,forward|layer|attention
20,7,0.065,9.377,41.199,0.493,forward|layer|moe|hybridep_dispatch
21,1,0.476,0.004,4.482,4.53,forward|layer|moe|moe_experts
22,4,14.567,0.186,34.374,108.311,forward|layer|attention
23,2,0.027,0.003,3.697,0.691,forward|layer|attention
24,3,0.011,10.425,40.87,0.148,forward|layer|moe|hybridep_dispatch
25,7,0.503,0.006,4.125,4.177,forward|layer|moe|moe_experts
26,5,7.175,0.162,27.135,50.989,forward|layer|attention
27,1,0.046,0.002,3.511,0.448,forward|layer|attention
28,6,0.042,11.078,112.33,0.376,forward|layer|moe|hybridep_dispatch
29,0,0.395,0.002,4.494,4.914,forward|layer|moe|moe_experts
30,2,11.376,0.218,30.58,78.297,forward|layer|attention
31,7,0.014,0.002,3.72,0.284,forward|layer|attention
32,3,0.018,9.652,40.616,0.254,forward|layer|moe|hybridep_dispatch
33,7,0.701,0.005,4.409,4.547,forward|layer|moe|moe_experts
34,3,12.015,0.209,32.594,93.656,forward|layer|attention
35,3,0.04,0.003,3.696,0.435,forward|layer|attention
36,6,0.05,8.631,41.648,0.487,forward|layer|moe|hybridep_dispatch
37,3,0.467,0.006,4.834,4.923,forward|layer|moe|moe_experts
38,6,21.528,0.197,42.47,174.433,forward|layer|attention
39,2,0.062,0.003,4.011,1.117,forward|layer|attention
40,6,0.038,8.672,40.666,0.315,forward|layer|moe|hybridep_dispatch
41,3,0.444,0.004,4.57,4.268,forward|layer|moe|moe_experts
42,6,16.383,0.178,34.975,113.081,forward|layer|attention
43,4,0.083,0.004,3.87,0.934,forward|layer|attention
44,3,0.026,12.461,110.598,0.294,forward|layer|moe|hybridep_dispatch
45,7,0.699,0.006,4.271,4.397,forward|layer|moe|moe_experts
46,3,10.439,0.2,30.737,79.313,forward|layer|attention
47,1,0.012,0.004,3.563,0.224,forward|layer|attention
48,2,0.046,10.339,41.963,0.432,forward|layer|moe|hybridep_dispatch
49,0,0.404,0.002,4.648,5.537,forward|layer|moe|moe_experts
50,2,21.94,0.178,38.565,143.348,forward|layer|attention
51,2,0.086,0.004,3.874,0.785,forward|layer|attention
52,2,0.036,8.789,41.353,0.382,forward|layer|moe|hybridep_dispatch
53,1,0.526,0.006,4.626,4.849,forward|layer|moe|moe_experts
54,4,17.697,0.208,37.346,131.688,forward|layer|attention
55,2,0.041,0.004,3.799,0.618,forward|layer|attention
56,7,0.114,9.252,41.376,0.905,forward|layer|moe|hybridep_dispatch
57,1,0.451,0.003,4.85,4.674,forward|layer|moe|moe_experts
58,4,26.49,0.216,43.377,180.51,forward|layer|attention
59,1,0.022,0.004,4.036,0.838,forward|layer|attention
60,3,0.04,13.033,110.818,0.393,forward|layer|moe|hybridep_dispatch
61,0,0.736,0.004,4.715,4.664,forward|layer|moe|moe_experts
62,3,20.696,0.222,39.976,153.253,forward|layer|attention
63,7,0.041,0.004,3.92,1.019,forward|layer|attention
64,0,0.024,7.608,40.669,0.256,forward|layer|moe|hybridep_dispatch
65,3,0.752,0.004,4.877,4.648,forward|layer|moe|moe_experts
66,0,13.492,0.189,33.371,101.048,forward|layer|attention
67,2,0.021,0.003,4.057,0.91,forward|layer|attention
68,0,0.034,8.801,45.998,0.366,forward|layer|moe|hybridep_dispatch
69,0,0.755,0.004,4.96,6.039,forward|layer|moe|moe_experts
70,4,27.909,0.203,43.05,178.17,forward|layer|attention
71,7,0.119,0.005,4.121,1.051,forward|layer|attention
72,0,0.069,12.63,43.203,0.601,forward|layer|moe|hybridep_dispatch
73,1,0.771,0.004,4.938,5.738,forward|layer|moe|moe_experts
74,0,19.328,0.172,38.246,140.173,forward|layer|attention
75,2,0.05,0.004,4.073,0.782,forward|layer|attention
76,5,0.042,11.545,111.457,0.374,forward|layer|moe|hybridep_dispatch
77,1,0.454,0.005,4.774,5.065,forward|layer|moe|moe_experts
78,6,25.198,1.037,42.965,176.183,forward|layer|attention
