phase,gpu,metric,avg
step,0,GR Active [Throughput %],95.62
step,0,SMs Active [Throughput %],68.49
step,0,SM Issue [Throughput %],21.9
step,0,Tensor Active [Throughput %],21.75
step,0,DRAM Read Bandwidth [Throughput %],11.49
step,0,DRAM Write Bandwidth [Throughput %],7.13
step,0,NVLink RX Requests Protocol Data [Throughput %],0.8
step,0,NVLink RX Requests User Data [Throughput %],1.68
step,0,NVLink RX Responses Protocol Data [Throughput %],0.22
step,0,NVLink RX Responses User Data [Throughput %],1.43
step,0,NVLink TX Requests Protocol Data [Throughput %],0.59
step,0,NVLink TX Requests User Data [Throughput %],1.7
step,0,NVLink TX Responses Protocol Data [Throughput %],0.44
step,0,NVLink TX Responses User Data [Throughput %],1.63
step,1,GR Active [Throughput %],93.76
step,1,SMs Active [Throughput %],69.84
step,1,SM Issue [Throughput %],22.29
step,1,Tensor Active [Throughput %],22.71
step,1,DRAM Read Bandwidth [Throughput %],11.54
step,1,DRAM Write Bandwidth [Throughput %],7.16
step,1,NVLink RX Requests Protocol Data [Throughput %],0.58
step,1,NVLink RX Requests User Data [Throughput %],1.68
step,1,NVLink RX Responses Protocol Data [Throughput %],0.35
step,1,NVLink RX Responses User Data [Throughput %],1.58
step,1,NVLink TX Requests Protocol Data [Throughput %],0.72
step,1,NVLink TX Requests User Data [Throughput %],1.72
step,1,NVLink TX Responses Protocol Data [Throughput %],0.23
step,1,NVLink TX Responses User Data [Throughput %],1.42
step,2,GR Active [Throughput %],94.77
step,2,SMs Active [Throughput %],69.26
step,2,SM Issue [Throughput %],22.14
step,2,Tensor Active [Throughput %],22.26
step,2,DRAM Read Bandwidth [Throughput %],11.53
step,2,DRAM Write Bandwidth [Throughput %],7.19
step,2,NVLink RX Requests Protocol Data [Throughput %],0.6
step,2,NVLink RX Requests User Data [Throughput %],1.72
step,2,NVLink RX Responses Protocol Data [Throughput %],0.37
step,2,NVLink RX Responses User Data [Throughput %],1.58
step,2,NVLink TX Requests Protocol Data [Throughput %],0.74
step,2,NVLink TX Requests User Data [Throughput %],1.7
step,2,NVLink TX Responses Protocol Data [Throughput %],0.23
step,2,NVLink TX Responses User Data [Throughput %],1.45
step,3,GR Active [Throughput %],94.57
step,3,SMs Active [Throughput %],69.82
step,3,SM Issue [Throughput %],22.28
step,3,Tensor Active [Throughput %],22.65
step,3,DRAM Read Bandwidth [Throughput %],11.65
step,3,DRAM Write Bandwidth [Throughput %],7.23
step,3,NVLink RX Requests Protocol Data [Throughput %],0.61
step,3,NVLink RX Requests User Data [Throughput %],1.73
step,3,NVLink RX Responses Protocol Data [Throughput %],0.36
step,3,NVLink RX Responses User Data [Throughput %],1.58
step,3,NVLink TX Requests Protocol Data [Throughput %],0.73
step,3,NVLink TX Requests User Data [Throughput %],1.7
step,3,NVLink TX Responses Protocol Data [Throughput %],0.23
step,3,NVLink TX Responses User Data [Throughput %],1.47
step,4,GR Active [Throughput %],95.17
step,4,SMs Active [Throughput %],69.51
step,4,SM Issue [Throughput %],22.18
step,4,Tensor Active [Throughput %],22.43
step,4,DRAM Read Bandwidth [Throughput %],11.6
step,4,DRAM Write Bandwidth [Throughput %],7.19
step,4,NVLink RX Requests Protocol Data [Throughput %],0.59
step,4,NVLink RX Requests User Data [Throughput %],1.68
step,4,NVLink RX Responses Protocol Data [Throughput %],0.37
step,4,NVLink RX Responses User Data [Throughput %],1.59
step,4,NVLink TX Requests Protocol Data [Throughput %],0.74
step,4,NVLink TX Requests User Data [Throughput %],1.71
step,4,NVLink TX Responses Protocol Data [Throughput %],0.23
step,4,NVLink TX Responses User Data [Throughput %],1.42
step,5,GR Active [Throughput %],94.3
step,5,SMs Active [Throughput %],68.48
step,5,SM Issue [Throughput %],21.94
step,5,Tensor Active [Throughput %],21.79
step,5,DRAM Read Bandwidth [Throughput %],11.51
step,5,DRAM Write Bandwidth [Throughput %],7.13
step,5,NVLink RX Requests Protocol Data [Throughput %],0.58
step,5,NVLink RX Requests User Data [Throughput %],1.66
step,5,NVLink RX Responses Protocol Data [Throughput %],0.37
step,5,NVLink RX Responses User Data [Throughput %],1.58
step,5,NVLink TX Requests Protocol Data [Throughput %],0.74
step,5,NVLink TX Requests User Data [Throughput %],1.7
step,5,NVLink TX Responses Protocol Data [Throughput %],0.22
step,5,NVLink TX Responses User Data [Throughput %],1.39
step,6,GR Active [Throughput %],95.14
step,6,SMs Active [Throughput %],72.26
step,6,SM Issue [Throughput %],22.89
step,6,Tensor Active [Throughput %],23.9
step,6,DRAM Read Bandwidth [Throughput %],12.09
step,6,DRAM Write Bandwidth [Throughput %],7.52
step,6,NVLink RX Requests Protocol Data [Throughput %],0.65
step,6,NVLink RX Requests User Data [Throughput %],1.85
step,6,NVLink RX Responses Protocol Data [Throughput %],0.34
step,6,NVLink RX Responses User Data [Throughput %],1.55
step,6,NVLink TX Requests Protocol Data [Throughput %],0.71
step,6,NVLink TX Requests User Data [Throughput %],1.69
step,6,NVLink TX Responses Protocol Data [Throughput %],0.25
step,6,NVLink TX Responses User Data [Throughput %],1.59
step,7,GR Active [Throughput %],94.85
step,7,SMs Active [Throughput %],68.42
step,7,SM Issue [Throughput %],21.92
step,7,Tensor Active [Throughput %],21.8
step,7,DRAM Read Bandwidth [Throughput %],11.44
step,7,DRAM Write Bandwidth [Throughput %],7.09
step,7,NVLink RX Requests Protocol Data [Throughput %],0.58
step,7,NVLink RX Requests User Data [Throughput %],1.66
step,7,NVLink RX Responses Protocol Data [Throughput %],0.38
step,7,NVLink RX Responses User Data [Throughput %],1.59
step,7,NVLink TX Requests Protocol Data [Throughput %],0.75
step,7,NVLink TX Requests User Data [Throughput %],1.71
step,7,NVLink TX Responses Protocol Data [Throughput %],0.23
step,7,NVLink TX Responses User Data [Throughput %],1.4
forward,0,GR Active [Throughput %],93.63
forward,0,SMs Active [Throughput %],65.75
forward,0,SM Issue [Throughput %],25.53
forward,0,Tensor Active [Throughput %],21.31
forward,0,DRAM Read Bandwidth [Throughput %],11.12
forward,0,DRAM Write Bandwidth [Throughput %],7.3
forward,0,NVLink RX Requests Protocol Data [Throughput %],0.78
forward,0,NVLink RX Requests User Data [Throughput %],1.77
forward,0,NVLink RX Responses Protocol Data [Throughput %],0.23
forward,0,NVLink RX Responses User Data [Throughput %],1.41
forward,0,NVLink TX Requests Protocol Data [Throughput %],0.61
forward,0,NVLink TX Requests User Data [Throughput %],1.79
forward,0,NVLink TX Responses Protocol Data [Throughput %],0.41
forward,0,NVLink TX Responses User Data [Throughput %],1.59
forward,1,GR Active [Throughput %],92.13
forward,1,SMs Active [Throughput %],66.85
forward,1,SM Issue [Throughput %],26.05
forward,1,Tensor Active [Throughput %],22.19
forward,1,DRAM Read Bandwidth [Throughput %],11.14
forward,1,DRAM Write Bandwidth [Throughput %],7.3
forward,1,NVLink RX Requests Protocol Data [Throughput %],0.6
