gpu,globalTid,api,calls,total_s,max_ms
0,0x1000b6d00145d,cudaStreamSynchronize,3789,15.265,436.62
0,0x1000b6d003ca4,cudaStreamSynchronize,3734,6.812,118.307
1,0x1000b6e0014c4,cudaStreamSynchronize,3788,14.646,131.268
1,0x1000b6e000b6e,cudaStreamSynchronize,3733,6.495,122.446
2,0x1000b6f00144f,cudaStreamSynchronize,3788,15.027,434.57
2,0x1000b6f000b6f,cudaStreamSynchronize,3733,6.468,118.266
3,0x1000b70001458,cudaStreamSynchronize,3788,14.928,435.304
3,0x1000b70000b70,cudaStreamSynchronize,3733,6.397,123.21
4,0x1000b74001449,cudaStreamSynchronize,3788,14.642,131.372
4,0x1000b74000b74,cudaStreamSynchronize,3733,6.543,123.172
5,0x1000b78001502,cudaStreamSynchronize,3788,14.769,279.794
5,0x1000b78000b78,cudaStreamSynchronize,3733,6.461,122.997
6,0x1000b7c001436,cudaStreamSynchronize,3788,15.137,436.831
6,0x1000b7c000b7c,cudaStreamSynchronize,3733,6.559,123.059
7,0x1000b80001485,cudaStreamSynchronize,3788,15.01,436.244
7,0x1000b80000b80,cudaStreamSynchronize,3733,6.442,118.192
