k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,102.687,113.568,1.106,0,113.568,99.937,96.975,100.887,98.707,100.299,105.564,105.557
1,135.148,139.553,1.033,0,139.553,136.282,135.133,134.932,136.546,134.555,130.943,133.238
2,108.388,112.318,1.036,6,106.455,108.073,106.233,107.831,107.127,110.292,112.318,108.776
3,66.901,84.001,1.256,0,84.001,66.618,70.002,58.894,66.822,72.662,61.532,54.678
4,61.034,63.855,1.046,3,62.464,62.893,61.693,63.855,58.815,55.53,62.993,60.026
5,62.494,80.0,1.28,7,68.354,58.261,55.627,64.111,57.302,55.428,60.868,80.0
6,132.16,137.035,1.037,1,132.043,137.035,134.946,129.626,128.497,131.603,136.244,127.289
7,62.486,78.541,1.257,6,61.837,65.338,58.855,63.565,57.682,55.151,78.541,58.92
8,62.062,74.455,1.2,4,65.139,58.072,58.153,59.823,74.455,56.646,61.998,62.209
9,60.983,66.311,1.087,5,62.92,59.716,58.583,57.926,61.137,66.311,58.866,62.401
10,131.061,139.821,1.067,2,129.245,126.021,139.821,132.427,123.02,130.461,139.332,128.158
11,61.628,72.54,1.177,3,59.479,53.054,64.729,72.54,65.956,60.364,61.899,55.001
12,62.963,82.825,1.315,6,59.226,66.89,66.31,50.103,52.11,64.104,82.825,62.135
13,61.854,74.468,1.204,6,61.777,58.528,59.337,56.461,65.088,53.346,74.468,65.829
14,128.803,137.167,1.065,3,124.949,131.076,134.521,137.167,130.379,122.904,125.771,123.654
15,62.382,78.361,1.256,2,55.276,55.73,78.361,59.038,65.392,56.65,72.728,55.882
16,62.524,77.897,1.246,4,66.504,58.687,56.931,60.688,77.897,52.515,66.137,60.833
17,62.751,83.639,1.333,4,57.49,56.115,55.483,61.113,83.639,55.277,66.864,66.025
18,129.304,145.572,1.126,3,124.744,128.589,127.612,145.572,138.654,119.643,120.284,129.332
19,61.942,74.466,1.202,0,74.466,54.16,69.615,59.319,56.502,53.548,62.017,65.911
20,65.166,88.533,1.359,4,61.939,69.634,56.558,53.775,88.533,62.03,56.548,72.311
21,63.681,78.012,1.225,0,78.012,52.478,68.45,58.835,62.257,53.849,71.129,64.441
22,129.887,149.774,1.153,6,127.932,126.775,123.414,128.15,127.125,139.04,149.774,116.89
23,62.669,69.565,1.11,1,66.118,69.565,57.426,57.451,69.26,58.309,68.964,54.259
24,61.941,67.759,1.094,1,61.997,67.759,62.929,63.825,58.453,62.597,60.772,57.194
25,62.812,70.279,1.119,5,64.206,62.595,60.536,67.813,55.1,70.279,61.601,60.363
26,128.175,138.515,1.081,7,130.365,133.762,124.131,125.62,121.664,127.418,123.921,138.515
27,62.161,70.594,1.136,6,68.57,53.96,53.482,62.875,63.206,68.957,70.594,55.646
28,65.438,76.796,1.174,5,67.853,72.386,61.77,74.628,58.573,76.796,60.635,50.863
29,62.712,80.439,1.283,3,60.847,58.396,60.185,80.439,54.601,62.97,67.796,56.459
30,128.327,141.226,1.101,2,127.808,128.802,141.226,128.935,122.904,122.292,124.437,130.215
