k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,12.542,12.723,1.014,1,12.372,12.723,12.46,12.596,12.576,12.421,12.668,12.519
1,12.584,12.759,1.014,1,12.43,12.759,12.528,12.645,12.604,12.483,12.729,12.491
2,12.566,12.797,1.018,1,12.43,12.797,12.466,12.682,12.583,12.382,12.681,12.506
3,34.936,46.447,1.329,0,46.447,33.389,34.404,27.069,32.046,43.292,34.682,28.16
4,34.055,37.834,1.111,3,34.803,36.002,34.836,37.834,31.406,28.58,35.607,33.375
5,35.524,53.731,1.513,7,40.207,30.751,29.162,37.925,30.255,29.05,33.113,53.731
6,42.418,50.055,1.18,1,43.809,50.055,47.829,43.306,40.798,42.217,41.473,29.855
7,35.398,50.547,1.428,6,33.558,38.131,32.345,37.559,30.271,28.942,50.547,31.83
8,34.812,46.916,1.348,4,37.11,30.482,31.059,33.647,46.916,29.859,34.219,35.204
9,33.941,39.805,1.173,5,34.383,32.845,31.625,31.961,33.596,39.805,31.538,35.778
10,39.46,50.361,1.276,2,38.762,36.816,50.361,43.643,32.775,38.378,42.414,32.53
11,34.667,46.398,1.338,3,31.596,26.371,37.493,46.398,38.82,33.895,34.286,28.481
12,35.152,54.753,1.558,6,30.557,39.404,38.629,22.686,23.745,36.839,54.753,34.604
13,34.82,47.07,1.352,6,33.705,31.483,32.27,30.422,37.751,26.849,47.07,39.009
14,41.046,52.737,1.285,3,38.415,46.07,49.144,52.737,43.805,35.334,31.13,31.735
15,34.974,51.897,1.484,2,26.329,28.635,51.897,32.202,37.153,29.701,45.051,28.822
16,35.584,50.84,1.429,4,38.638,32.139,29.04,34.676,50.84,26.06,39.009,34.275
17,35.839,55.578,1.551,4,29.687,29.5,28.562,35.207,55.578,28.947,39.91,39.322
18,39.533,58.912,1.49,3,36.366,41.215,40.054,58.912,49.57,29.578,25.125,35.446
19,35.17,46.592,1.325,0,46.592,27.746,43.167,32.972,29.374,26.873,35.507,39.129
20,34.969,55.974,1.601,4,29.091,43.568,27.775,22.664,55.974,30.162,24.132,46.386
21,35.102,52.45,1.494,0,52.45,24.641,40.213,30.507,32.078,24.738,41.59,34.604
22,39.581,53.634,1.355,6,39.123,39.526,35.663,41.012,37.915,48.052,53.634,21.723
23,34.914,41.625,1.192,1,37.213,41.625,30.391,31.392,40.895,31.1,40.146,26.547
24,34.449,40.165,1.166,1,33.419,40.165,35.567,37.738,29.998,35.549,33.068,30.09
25,34.784,42.476,1.221,5,35.467,33.836,32.662,41.091,26.651,42.476,33.438,32.649
26,39.913,47.556,1.191,1,44.9,47.556,38.076,40.146,34.957,37.661,29.98,46.03
27,35.141,43.802,1.246,6,39.883,27.174,26.567,36.804,35.965,42.237,43.802,28.694
28,34.9,48.258,1.383,3,32.715,42.307,33.729,48.258,25.507,45.007,30.127,21.547
29,35.153,52.83,1.503,3,35.24,30.961,32.595,52.83,26.589,34.766,39.605,28.64
30,39.772,55.004,1.383,2,40.307,42.839,55.004,41.359,36.316,34.165,30.173,38.013
31,35.597,49.107,1.38,5,26.646,33.39,28.886,42.278,30.626,49.107,41.741,32.104
32,34.935,46.321,1.326,0,46.321,30.097,38.37,28.712,31.604,43.467,28.978,31.932
33,35.117,51.34,1.462,6,34.537,43.273,24.086,29.183,34.694,28.87,51.34,34.953
34,39.067,47.194,1.208,3,44.878,40.248,33.999,47.194,36.94,44.616,34.16,30.501
35,35.222,40.842,1.16,6,27.143,33.859,35.63,34.056,38.633,34.404,40.842,37.206
36,35.092,55.558,1.583,5,30.521,22.523,32.185,33.027,25.637,55.558,46.123,35.166
37,34.702,43.851,1.264,1,37.019,43.851,37.148,40.035,26.651,27.716,31.805,33.394
38,39.588,50.12,1.266,2,43.61,36.516,50.12,34.788,47.569,32.617,42.291,29.195
39,35.069,51.961,1.482,0,51.961,33.396,32.782,33.975,37.267,30.897,31.64,28.635
40,34.524,44.177,1.28,5,33.885,38.97,29.849,28.783,39.255,44.177,29.297,31.975
41,34.408,46.002,1.337,1,36.25,46.002,30.082,34.217,38.311,27.135,29.951,33.315
42,40.165,49.504,1.233,6,41.206,39.171,41.482,36.738,36.805,35.506,49.504,40.905
43,35.228,48.755,1.384,7,35.855,31.589,32.217,41.374,34.592,28.191,29.252,48.755
44,34.028,42.446,1.247,0,42.446,29.47,35.286,30.721,37.499,38.501,26.788,31.516
45,34.715,48.257,1.39,4,32.728,41.915,21.608,39.685,48.257,29.238,32.56,31.727
46,38.924,47.459,1.219,7,38.182,43.797,43.914,37.579,37.719,35.263,27.48,47.459
47,34.806,50.92,1.463,6,34.588,32.913,26.846,39.912,29.878,26.983,50.92,36.405
48,35.433,48.363,1.365,1,34.326,48.363,28.075,44.978,26.529,36.008,32.407,32.781
49,35.343,64.104,1.814,1,28.646,64.104,39.452,28.627,26.545,30.143,36.235,28.994
50,38.545,50.71,1.316,0,50.71,32.011,46.818,44.793,41.281,34.055,29.641,29.053
51,34.878,51.58,1.479,6,34.052,31.005,34.394,27.866,46.964,25.079,51.58,28.083
52,34.741,47.177,1.358,0,47.177,25.702,42.059,25.184,38.218,30.101,41.05,28.44
53,35.146,57.875,1.647,4,27.031,32.229,36.754,27.145,57.875,32.059,30.037,38.033
54,39.571,47.983,1.213,3,39.519,33.909,40.85,47.983,34.38,42.221,46.977,30.726
55,35.434,43.805,1.236,7,33.093,28.929,37.703,35.176,38.397,35.51,30.858,43.805
56,34.994,45.443,1.299,3,40.088,30.403,25.829,45.443,33.861,33.55,28.136,42.639
57,36.117,45.092,1.249,2,34.724,34.722,45.092,42.65,33.65,26.252,31.882,39.962
58,39.387,58.288,1.48,1,33.548,58.288,45.492,31.426,35.725,32.36,32.394,45.861
59,35.678,49.66,1.392,2,27.058,30.671,49.66,38.275,36.32,36.203,32.074,35.164
60,34.592,38.491,1.113,7,35.513,34.581,29.967,37.18,29.106,34.701,37.193,38.491
61,34.508,47.207,1.368,4,39.867,34.128,29.964,26.219,47.207,26.112,32.054,40.511
62,39.694,53.853,1.357,1,38.984,53.853,42.46,44.935,34.217,44.623,27.187,31.294
63,34.667,41.683,1.202,1,30.501,41.683,35.156,39.236,29.792,35.08,38.991,26.898
64,34.458,41.614,1.208,0,41.614,33.635,26.249,34.084,31.596,33.415,38.789,36.283
65,35.062,54.91,1.566,1,33.313,54.91,34.716,32.352,27.174,32.424,35.17,30.441
66,39.372,50.128,1.273,1,37.356,50.128,41.232,30.125,31.043,40.978,44.252,39.863
67,34.693,43.85,1.264,4,34.755,26.388,40.765,34.451,43.85,32.746,30.909,33.682
68,34.725,45.089,1.298,0,45.089,26.783,33.467,32.65,28.038,40.314,37.279,34.178
69,34.129,46.812,1.372,3,31.908,23.482,35.379,46.812,37.238,41.315,26.164,30.732
70,39.368,54.18,1.376,1,37.449,54.18,48.197,45.328,34.285,26.75,44.453,24.301
71,34.91,46.601,1.335,1,25.663,46.601,41.827,43.446,24.05,28.751,39.039,29.907
72,34.869,46.546,1.335,0,46.546,31.218,31.279,40.129,34.065,27.928,31.094,36.694
73,34.799,46.28,1.33,5,25.768,33.04,31.52,26.06,37.53,46.28,42.203,35.992
74,39.144,53.351,1.363,4,44.27,29.852,31.798,41.822,53.351,34.485,38.711,38.864
75,34.806,55.906,1.606,6,24.444,27.186,39.889,38.94,29.681,29.595,55.906,32.81
76,33.954,47.359,1.395,6,39.287,23.919,22.825,44.574,19.654,36.223,47.359,37.791
77,34.966,61.01,1.745,1,28.73,61.01,40.348,27.318,32.098,50.927,19.974,19.322
78,33.937,59.247,1.746,1,27.56,59.247,39.313,26.492,31.208,49.687,19.419,18.568
79,33.746,46.736,1.385,6,39.111,23.703,22.819,44.241,19.574,36.063,46.736,37.721
80,34.302,55.599,1.621,6,23.98,26.611,39.54,38.117,29.438,28.902,55.599,32.225
81,34.042,45.98,1.351,4,36.494,22.783,25.839,35.344,45.98,30.0,38.461,37.436
82,34.789,46.338,1.332,5,25.74,33.134,31.38,26.276,37.534,46.338,42.098,35.815
83,34.402,45.807,1.332,0,45.807,30.952,30.741,39.889,33.68,27.354,30.688,36.101
84,34.442,45.993,1.335,1,25.303,45.993,41.599,43.094,23.394,28.108,38.894,29.154
85,34.514,46.163,1.338,1,30.218,46.163,41.167,40.246,27.575,22.766,44.533,23.443
86,33.836,46.636,1.378,3,31.479,22.974,35.074,46.636,36.783,41.338,26.112,30.292
87,34.233,44.601,1.303,0,44.601,26.248,32.973,32.135,27.791,39.82,36.708,33.59
88,33.89,43.097,1.272,4,33.926,25.765,39.971,33.772,43.097,31.724,29.97,32.896
89,34.879,45.918,1.317,1,30.433,45.918,34.417,23.135,24.104,36.612,45.307,39.104
90,34.532,53.547,1.551,1,32.878,53.547,34.375,32.061,26.442,31.976,34.967,30.007
91,33.753,40.762,1.208,0,40.762,33.401,25.383,33.661,30.831,32.446,38.006,35.532
92,33.889,40.848,1.205,1,29.555,40.848,34.522,38.369,28.942,34.73,38.104,26.043
93,34.617,46.64,1.347,1,31.494,46.64,35.05,37.281,28.331,40.005,27.382,30.753
94,34.587,48.178,1.393,4,39.908,33.757,29.702,26.692,48.178,26.121,31.815,40.52
95,33.698,37.515,1.113,7,34.516,33.545,29.205,36.556,28.373,33.731,36.145,37.515
96,34.855,49.084,1.408,2,26.124,30.253,49.084,37.258,35.385,35.163,31.064,34.507
97,34.655,50.068,1.445,1,25.881,50.068,39.395,26.301,29.274,27.92,32.452,45.947
98,35.224,44.761,1.271,2,33.668,33.747,44.761,41.888,32.568,25.129,30.607,39.425
99,34.762,45.095,1.297,3,39.61,30.154,25.675,45.095,33.84,33.209,27.773,42.742
100,35.17,43.514,1.237,7,32.666,28.465,37.432,34.769,38.103,35.4,31.012,43.514
101,34.992,47.049,1.345,6,32.39,26.478,33.991,40.962,31.621,37.435,47.049,30.006
102,35.01,59.709,1.705,4,26.56,31.94,36.302,26.757,59.709,31.599,29.651,37.562
103,34.286,46.619,1.36,0,46.619,25.244,41.446,24.931,38.221,29.548,40.446,27.836
104,34.808,51.799,1.488,6,34.176,31.078,34.457,27.809,46.291,24.985,51.799,27.865
105,33.929,43.745,1.289,0,43.745,28.641,39.518,37.485,34.687,29.24,29.812,28.303
106,34.549,63.549,1.839,1,27.79,63.549,38.475,28.024,25.786,29.311,35.404,28.052
107,34.703,47.359,1.365,1,33.627,47.359,27.571,44.514,25.648,35.013,31.72,32.174
108,34.799,51.09,1.468,6,34.485,32.941,26.73,39.683,29.849,27.296,51.09,36.32
109,34.606,47.205,1.364,7,31.164,36.951,37.152,31.585,34.522,30.692,27.577,47.205
110,34.493,48.157,1.396,4,32.615,41.714,21.561,39.197,48.157,28.95,32.348,31.4
111,33.864,41.994,1.24,0,41.994,29.284,35.202,30.558,37.209,38.344,26.961,31.359
112,34.758,48.469,1.394,7,35.282,30.843,31.733,40.755,34.083,27.775,29.122,48.469
113,39.774,55.241,1.389,6,38.165,36.848,40.297,35.937,30.166,35.417,55.241,46.119
114,34.113,46.342,1.358,1,35.977,46.342,29.776,33.453,38.025,27.058,29.479,32.794
115,34.561,44.111,1.276,5,33.966,39.168,29.748,28.647,39.385,44.111,29.259,32.207
116,34.533,51.27,1.485,0,51.27,32.781,32.27,33.315,36.78,30.614,31.417,27.822
117,34.164,41.83,1.224,2,35.193,32.365,41.83,28.723,39.616,26.988,41.523,27.076
118,34.291,44.089,1.286,1,36.474,44.089,36.17,39.463,26.099,27.428,31.766,32.843
119,34.578,54.252,1.569,5,29.937,22.298,31.71,32.742,25.36,54.252,45.549,34.78
120,34.684,40.321,1.163,6,26.446,33.225,35.014,33.655,37.782,34.221,40.321,36.81
121,33.625,39.632,1.179,5,37.081,33.618,26.544,39.484,29.337,39.632,34.317,28.99
122,34.698,51.578,1.486,6,34.187,42.481,24.103,28.445,33.979,28.362,51.578,34.452
123,34.986,46.279,1.323,0,46.279,30.218,38.334,28.776,31.777,43.66,29.06,31.786
124,35.065,48.899,1.395,5,26.0,32.701,28.681,41.937,29.719,48.899,41.107,31.475
125,34.178,47.352,1.385,2,32.292,34.494,47.352,36.262,28.214,28.226,30.143,36.438
126,34.994,53.741,1.536,3,34.789,30.899,32.187,53.741,26.117,34.583,39.305,28.335
127,34.63,47.743,1.379,3,32.236,42.246,33.376,47.743,25.322,44.654,30.349,21.111
