k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,18.614,29.028,1.559,0,29.028,17.011,18.068,11.439,16.324,26.229,18.535,12.279
1,18.861,22.05,1.169,3,18.807,20.125,19.733,22.05,16.918,14.61,20.783,17.867
2,19.036,35.714,1.876,7,22.151,14.968,13.507,20.491,14.437,13.402,17.613,35.714
3,18.861,22.972,1.218,1,16.928,22.972,21.376,17.205,15.753,18.79,22.729,15.135
4,19.016,34.37,1.807,6,16.465,20.707,16.502,20.246,14.769,13.635,34.37,15.434
5,18.779,30.625,1.631,4,19.945,14.854,15.491,17.341,30.625,14.573,18.651,18.754
6,18.754,24.449,1.304,5,18.656,17.581,16.911,16.694,18.77,24.449,16.968,20.0
7,18.834,27.21,1.445,2,15.389,14.131,27.21,20.605,11.92,18.819,26.542,16.054
8,18.724,28.948,1.546,3,15.248,11.328,21.603,28.948,22.85,18.013,18.857,12.947
9,18.587,37.941,2.041,6,13.67,21.381,21.366,8.061,9.286,19.665,37.941,17.324
10,18.718,30.898,1.651,6,16.927,15.664,16.729,14.54,21.284,12.09,30.898,21.609
11,18.771,27.143,1.446,3,13.547,20.399,24.213,27.143,20.188,14.025,16.478,14.173
12,18.665,34.357,1.841,2,10.44,12.597,34.357,16.17,20.503,14.04,28.465,12.749
13,18.696,33.125,1.772,4,20.379,15.165,13.932,17.43,33.125,10.746,21.915,16.876
14,18.708,38.627,2.065,4,12.529,12.869,12.581,17.384,38.627,12.709,22.124,20.841
15,18.632,35.546,1.908,3,12.64,17.422,17.173,35.546,26.517,10.783,10.916,18.056
16,18.587,28.884,1.554,0,28.884,11.929,25.55,16.442,13.994,11.666,18.938,21.292
17,18.521,38.104,2.057,4,13.066,25.787,12.379,7.704,38.104,14.146,9.412,27.571
18,18.52,33.926,1.832,0,33.926,9.259,22.796,13.866,15.793,9.678,25.107,17.733
19,18.739,37.21,1.986,6,16.35,15.892,13.768,17.461,15.791,26.306,37.21,7.133
20,18.893,24.834,1.314,4,19.882,24.55,15.075,15.535,24.834,15.755,24.085,11.424
21,18.887,23.975,1.269,1,17.288,23.975,19.952,21.39,15.835,19.963,18.067,14.625
22,18.796,26.325,1.401,5,18.402,17.918,16.934,24.281,12.156,26.325,17.92,16.434
23,18.824,28.405,1.509,7,20.262,22.953,15.41,17.86,12.817,18.065,14.82,28.405
24,18.745,27.515,1.468,6,22.428,11.559,11.512,19.539,19.545,24.961,27.515,12.905
