k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,89.306,100.353,1.124,0,100.353,86.375,83.679,87.447,85.294,87.041,92.057,92.199
1,121.725,126.284,1.037,0,126.284,122.688,121.766,121.445,123.106,121.232,117.372,119.909
2,94.976,98.771,1.04,6,93.186,94.437,92.918,94.31,93.709,97.045,98.771,95.43
3,30.625,36.215,1.183,0,36.215,31.88,34.253,30.491,33.432,28.036,25.507,25.187
4,25.647,26.336,1.027,0,26.336,25.548,25.521,24.701,26.081,25.61,26.048,25.328
5,25.639,26.822,1.046,0,26.822,26.162,25.149,24.854,25.73,25.062,26.399,24.935
6,88.414,96.054,1.086,7,86.911,85.656,85.796,84.992,86.387,88.069,93.444,96.054
7,25.762,26.961,1.047,0,26.961,25.879,25.182,24.683,26.094,24.881,26.648,25.77
8,25.92,26.713,1.031,0,26.713,26.235,25.777,24.842,26.213,25.467,26.433,25.679
9,25.716,27.212,1.058,0,27.212,25.544,25.629,24.649,26.223,25.187,25.996,25.292
10,90.278,95.596,1.059,6,89.165,87.873,88.139,87.466,88.931,90.758,95.596,94.299
11,25.632,26.568,1.037,0,26.568,25.363,25.889,24.812,25.826,25.156,26.247,25.194
12,26.481,27.355,1.033,0,27.355,26.165,26.356,26.038,27.031,25.949,26.742,26.214
13,25.705,26.754,1.041,0,26.754,25.706,25.723,24.716,26.02,25.178,26.05,25.491
14,86.428,93.289,1.079,6,85.211,83.676,84.054,83.11,85.233,86.253,93.289,90.597
15,26.081,27.626,1.059,0,27.626,25.776,25.125,25.485,26.921,25.625,26.358,25.734
16,25.605,26.55,1.037,0,26.55,25.228,26.467,24.693,25.737,25.134,25.791,25.238
17,25.581,26.666,1.042,4,26.484,25.293,25.589,24.585,26.666,25.012,25.634,25.383
18,88.45,93.84,1.061,6,87.06,86.056,86.24,85.343,87.751,88.747,93.84,92.567
19,25.444,26.55,1.043,0,26.55,25.096,25.115,25.014,25.776,25.353,25.19,25.46
20,28.868,31.482,1.091,0,31.482,24.746,27.444,29.781,31.239,30.55,31.096,24.602
21,27.248,28.836,1.058,4,24.242,26.499,26.919,27.01,28.836,27.797,28.215,28.467
22,88.985,94.805,1.065,6,87.49,85.932,86.417,85.821,87.892,89.67,94.805,93.851
23,26.423,27.591,1.044,0,27.591,26.615,25.712,24.74,27.044,25.862,27.428,26.389
24,26.163,27.255,1.042,0,27.255,26.245,26.04,24.764,27.125,25.725,26.364,25.786
25,26.702,27.417,1.027,0,27.417,27.403,26.556,25.391,27.127,26.484,26.843,26.391
26,86.94,92.622,1.065,6,84.139,84.879,84.74,84.15,85.389,88.441,92.622,91.158
27,25.689,27.329,1.064,0,27.329,25.467,25.593,24.751,25.915,25.389,25.473,25.596
28,29.212,33.812,1.157,0,33.812,28.757,26.721,25.035,31.746,30.468,29.163,27.991
29,26.233,26.875,1.024,5,24.293,26.105,26.272,26.263,26.694,26.875,26.863,26.501
30,87.231,92.922,1.065,6,86.186,84.646,84.902,86.223,85.275,86.811,92.922,90.881
31,25.851,26.818,1.037,2,25.741,25.757,26.818,24.739,26.34,25.653,26.068,25.692
32,29.601,30.754,1.039,4,24.275,30.464,30.553,29.452,30.754,30.423,30.688,30.202
33,26.614,27.95,1.05,0,27.95,26.713,27.307,25.624,26.894,26.787,26.72,24.92
34,88.237,93.877,1.064,6,87.201,86.981,86.343,84.553,86.581,88.386,93.877,91.971
35,26.74,28.006,1.047,0,28.006,26.868,26.305,25.591,27.112,26.496,26.891,26.65
36,26.088,27.159,1.041,0,27.159,26.347,26.256,24.864,26.486,25.488,26.304,25.801
37,25.805,26.746,1.036,0,26.746,25.862,25.677,24.771,25.991,25.729,26.408,25.254
38,89.057,94.04,1.056,6,87.62,89.791,86.855,85.489,87.115,89.011,94.04,92.531
39,25.912,26.986,1.041,0,26.986,25.946,25.666,24.804,25.903,25.728,26.441,25.826
40,26.582,27.219,1.024,6,24.67,26.943,27.086,26.252,27.172,26.433,27.219,26.876
41,26.023,26.441,1.016,0,26.441,26.236,26.02,24.777,26.361,26.204,26.369,25.773
42,87.743,93.203,1.062,6,86.275,86.024,85.703,84.669,86.049,88.001,93.203,92.018
43,25.811,27.144,1.052,0,27.144,25.586,25.304,24.816,26.08,25.095,26.657,25.809
44,25.567,26.573,1.039,0,26.573,25.499,25.447,24.922,25.568,25.141,25.791,25.597
45,25.797,27.093,1.05,0,27.093,25.516,25.999,24.828,26.0,25.523,25.989,25.43
46,88.666,93.33,1.053,6,87.501,86.215,86.338,85.662,89.727,88.448,93.33,92.108
47,25.458,26.059,1.024,0,26.059,25.388,25.393,24.789,25.687,25.491,25.719,25.137
48,25.65,26.764,1.043,0,26.764,25.121,25.448,25.117,25.573,25.209,26.158,25.805
49,25.658,26.81,1.045,0,26.81,26.504,25.242,24.959,25.485,25.43,25.55,25.28
50,89.489,94.399,1.055,6,88.277,89.975,87.246,86.362,87.339,89.37,94.399,92.948
51,26.602,28.163,1.059,0,28.163,26.61,26.957,26.083,26.982,26.362,26.962,24.693
52,25.47,26.525,1.041,0,26.525,25.283,25.365,24.71,26.097,24.972,25.732,25.073
53,25.622,26.665,1.041,0,26.665,25.276,25.392,24.67,26.483,25.215,26.137,25.137
54,89.832,94.76,1.055,6,88.261,87.06,87.623,86.546,91.318,89.579,94.76,93.507
55,25.314,26.025,1.028,6,25.754,25.249,25.285,24.926,25.604,24.696,26.025,24.97
56,25.638,26.772,1.044,0,26.772,25.53,25.709,24.753,25.843,25.177,25.784,25.539
57,25.936,26.766,1.032,0,26.766,25.426,25.686,25.273,26.203,25.527,26.045,26.561
58,89.922,95.036,1.057,6,88.587,87.035,88.57,88.036,88.314,89.875,95.036,93.919
59,25.767,26.735,1.038,0,26.735,26.467,26.071,24.65,25.797,25.084,25.76,25.573
60,25.774,26.711,1.036,0,26.711,25.544,26.394,25.261,25.862,25.272,25.792,25.353
61,27.589,32.151,1.165,0,32.151,26.886,25.052,24.907,29.024,27.51,27.81,27.371
62,88.003,93.589,1.063,6,87.731,85.226,85.904,85.494,86.906,86.691,93.589,92.483
63,25.906,26.661,1.029,1,26.531,26.661,25.641,25.296,26.084,25.813,25.66,25.56
64,25.974,27.055,1.042,0,27.055,26.619,25.317,25.544,26.14,25.466,26.191,25.46
65,25.412,26.873,1.058,0,26.873,25.145,24.686,24.923,25.453,24.991,26.177,25.046
66,89.241,94.36,1.057,6,87.896,89.657,86.703,86.075,87.354,89.091,94.36,92.794
67,25.764,26.815,1.041,0,26.815,26.57,25.705,24.851,25.981,24.934,25.843,25.413
68,25.748,27.056,1.051,0,27.056,25.679,25.516,25.134,26.731,24.577,26.168,25.121
69,25.831,27.073,1.048,0,27.073,25.646,25.197,24.63,26.164,26.167,26.2,25.572
70,87.819,93.116,1.06,6,86.782,85.252,85.415,86.035,86.082,88.233,93.116,91.64
71,25.604,26.652,1.041,0,26.652,26.012,25.146,24.948,25.826,24.89,26.121,25.238
72,25.62,26.686,1.042,0,26.686,25.997,25.151,24.9,25.86,25.199,25.906,25.266
73,25.337,26.087,1.03,0,26.087,25.21,24.883,24.799,25.722,25.098,25.734,25.16
74,90.557,96.065,1.061,6,89.663,88.405,89.148,87.402,88.723,91.017,96.065,94.029
75,25.615,26.75,1.044,0,26.75,25.966,25.266,24.64,26.406,25.224,25.763,24.906
76,26.33,27.799,1.056,0,27.799,27.143,25.804,25.53,26.831,25.864,26.868,24.804
