category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
activation,elementwise_kernel,4503,0.372,758.1,1.732
cat_copy,CatArrayBatchedCopy,9504,1.005,356.9,9.072
cat_copy,elementwise_kernel,9768,0.658,41.0,3.048
cat_copy,CatArrayBatchedCopy_vectorized,12796,0.309,17.1,1.312
cat_copy,index_elementwise_kernel,68228,0.273,2.3,1.747
cat_copy,vectorized_gather_kernel,9752,0.251,142.8,0.527
cat_copy,unrolled_elementwise_kernel,21957,0.178,2.1,1.639
cat_copy,vectorized_elementwise_kernel,10359,0.123,2.8,0.459
cat_copy,indexFuncLargeIndex,624,0.097,1235.0,1.344
cat_copy,_scatter_gather_elementwise_kernel,40992,0.048,5.1,0.296
cat_copy,CatArrayBatchedCopy_alignedK_contig,23720,0.005,1.6,0.003
cross_entropy,cross_entropy_kernel,64,0.006,757.0,0.76
cub_scan_sort,radixSortKVInPlace,336,0.067,1615.9,2.09
cub_scan_sort,DeviceRadixSortOnesweepKernel,9986,0.012,8.3,0.016
cub_scan_sort,DeviceScanKernel,36864,0.008,1.8,0.003
cub_scan_sort,bitonicSortKVInPlace,2400,0.007,23.9,0.028
cub_scan_sort,DeviceScanInitKernel,36864,0.006,1.3,0.002
cub_scan_sort,DeviceRadixSortHistogramKernel,1249,0.001,3.9,0.005
cub_scan_sort,DeviceRadixSortExclusiveSumKernel,1249,0.0,1.7,0.002
cub_scan_sort,DeviceReduceKernel,624,0.0,2.0,0.003
dsa_backward,kernel_cutlass_bwd_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm100Fla,624,3.62,45893.7,56.001
dsa_backward,kernel_cutlass_sum_OdO_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.06,769.1,0.82
dsa_backward,kernel_cutlass_convert_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.023,296.6,0.315
dsa_backward,kernel_cutlass_sum_dSink_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm,624,0.002,21.9,0.025
dsa_forward,sparse_attn_fwd_kernel,1248,1.233,7881.7,8.869
dsa_indexer,kernel_cutlass_kernel_cudnndeepseek_sparse_attentionindexer_forwardindexer_fwd_sm100Indexe,3318,0.871,2095.3,3.066
dsa_indexer,kernel_cutlass_indexer_topk_kernel_cudnndeepseek_sparse_attentionindexer_top_kindexer_top_,3318,0.22,462.9,2.421
elementwise,vectorized_elementwise_kernel,289222,1.037,1.9,0.964
elementwise,elementwise_kernel,23569,0.863,159.9,2.235
elementwise,unrolled_elementwise_kernel,15278,0.133,1.6,1.993
elementwise,triton_poi_fused__to_copy_mul_unsqueeze_view_0,76800,0.118,12.8,0.017
elementwise,reduce_kernel,4261,0.03,3.3,0.38
elementwise,element_mul_kernel,64,0.006,760.5,0.765
elementwise,elementwise_kernel_with_index,29289,0.006,1.5,0.004
elementwise,fill_reverse_indices_kernel,1248,0.0,2.3,0.003
fp32_simt_head,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x64x16_1x1x1_3_nnn_align1_bias_f32_relu,64,0.936,116998.6,117.297
fp32_simt_head,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x128x16_1x1x1_3_tnn_align1_bias_f32_relu,64,0.917,114487.9,119.265
gemm,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT,34606,1.914,254.8,7.124
gemm,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NNT,16751,1.197,346.3,7.319
gemm,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT,7632,0.605,69.2,3.475
gemm,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_NNT,4443,0.149,67.4,5.419
gemm,nvjet_sm103_tst_32x256_64x6_1x4_2cta_h_bz_TNN,7824,0.07,65.9,0.174
gemm,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_TNT,5652,0.066,68.7,0.629
gemm,nvjet_sm103_tst_256x128_64x5_2x1_2cta_v_bz_TNT,2860,0.06,126.4,0.96
gemm,nvjet_sm103_tst_256x240_64x4_2x1_2cta_v_bz_TNT,1908,0.06,242.5,0.786
gemm,nvjet_sm103_tst_256x128_64x5_2x2f_2cta_h_bz_TNT,3046,0.057,76.2,3.692
gemm,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_NNT,2934,0.039,81.0,0.707
gemm,nvjet_sm103_tst_256x128_64x5_2x2f_2cta_h_bz_NNT,1553,0.039,142.0,2.037
gemm,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_TNT,1842,0.037,120.1,2.451
gemm,nvjet_sm103_tst_192x128_64x5_1x2_h_bz_TNT,624,0.036,455.2,0.46
gemm,nvjet_sm103_tst_32x256_64x6_1x4_2cta_h_bz_NNN,3744,0.031,69.7,0.252
gemm,nvjet_sm103_tst_256x128_64x5_2x1_2cta_v_bz_NNT,875,0.024,185.9,0.905
gemm,nvjet_sm103_tst_144x128_64x8_1x2_2cta_h_bz_TNN,2496,0.023,72.6,0.158
gemm,nvjet_sm103_tst_256x240_64x4_2x1_2cta_v_bz_NNT,779,0.021,210.8,0.644
gemm,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_NNT,1011,0.019,118.4,2.673
gemm,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_TNT,1310,0.019,109.6,0.51
gemm,nvjet_sm103_tst_128x32_64x10_2x1_2cta_v_bz_splitK_NTT,1872,0.018,78.2,0.082
gemm,nvjet_sm103_tst_256x208_64x4_2x1_2cta_v_bz_TNT,1660,0.016,52.8,0.278
gemm,nvjet_sm103_sss_tf32_128x256_32x6_2x1_2cta_v_bz_NNT,600,0.013,175.5,0.256
gemm,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_TNT,2362,0.013,34.1,0.217
gemm,nvjet_sm103_tst_128x32_64x10_4x1_2cta_v_bz_NTT,624,0.013,170.2,0.176
gemm,nvjet_sm103_tst_32x128_64x10_1x2_2cta_h_bz_splitK_NTN,1848,0.013,59.6,0.064
gemm,nvjet_sm103_sss_tf32_384x128_32x3_2x2_2cta_h_bz_splitK_NTT,600,0.012,163.7,0.189
gemm,nvjet_sm103_tss_128x256_64x6_2x2_2cta_h_bz_TNT,1200,0.012,79.8,0.083
gemm,nvjet_sm103_tst_256x208_64x4_2x1_2cta_v_bz_NNT,1001,0.012,93.9,0.232
gemm,nvjet_sm103_tst_32x128_64x10_1x4_2cta_h_bz_NTN,624,0.012,151.3,0.155
gemm,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_NNT,1391,0.011,56.6,0.2
gemm,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_NNT,816,0.011,99.1,0.239
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_TNT,640,0.009,124.8,0.231
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_TNT,936,0.008,64.2,0.167
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_TNT,888,0.008,41.5,0.226
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_TNT,454,0.007,128.5,0.226
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_TNT,840,0.006,52.8,0.12
gemm,splitKreduce_kernel,8919,0.006,3.5,0.074
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_TNT,760,0.005,33.5,0.239
