gpu,globalTid,api,calls,total_s,max_ms
0,0x1006617006e61,cudaStreamSynchronize_v3020,3789,15.427,287.083
0,0x10066170090a3,cudaStreamSynchronize_v3020,3747,7.403,405.062
0,0x1006617009096,cudaStreamSynchronize_v3020,2,0.0,0.01
1,0x1006618006e06,cudaStreamSynchronize_v3020,3788,14.983,280.905
1,0x1006618006618,cudaStreamSynchronize_v3020,3749,7.224,524.986
2,0x1006619006e3d,cudaStreamSynchronize_v3020,3788,15.126,285.577
2,0x1006619006619,cudaStreamSynchronize_v3020,3749,6.848,120.37
3,0x100661a006e86,cudaStreamSynchronize_v3020,3788,15.279,285.424
3,0x100661a00661a,cudaStreamSynchronize_v3020,3749,7.433,525.555
4,0x100661e006eb6,cudaStreamSynchronize_v3020,3788,15.067,285.857
4,0x100661e00661e,cudaStreamSynchronize_v3020,3749,7.392,526.306
5,0x1006622006e80,cudaStreamSynchronize_v3020,3788,14.862,151.75
5,0x1006622006622,cudaStreamSynchronize_v3020,3749,7.372,519.657
6,0x1006626006ea1,cudaStreamSynchronize_v3020,3788,15.051,286.274
6,0x1006626006626,cudaStreamSynchronize_v3020,3749,7.463,525.652
7,0x100662a006e04,cudaStreamSynchronize_v3020,3788,15.182,286.573
7,0x100662a00662a,cudaStreamSynchronize_v3020,3749,7.066,205.102
