range,instances_all_pids,instances_in_window,wall_s_per_pid_mean,gpu_kernel_s_per_gpu_mean
autograd::engine::evaluate_function: CheckpointFunctionBackward,546,546,17.228,16.769
CheckpointFunctionBackward,546,546,17.227,16.769
CheckpointFunction,546,546,7.772,7.344
hybrid-ep combine with unpermute phase,1800,1800,0.019,4.894
autograd::engine::evaluate_function: FusedSparseAttentionFuncBackward,546,546,6.91,4.869
FusedSparseAttentionFuncBackward,546,546,6.908,4.869
nvte_cublas_gemm_v2,139104,139104,1.004,4.523
combine_core in hybrid-ep,1800,1800,0.007,4.473
flash_attn_bwd_sm100_kernel,624,624,0.005,3.706
HybridEPCombine,1050,1050,0.016,3.108
nvte_multi_tensor_gemm,3600,3600,0.936,2.85
aten::matmul,17920,17920,0.11,2.068
aten::mm,17920,17920,0.098,2.068
autograd::engine::evaluate_function: HybridEPDispatchBackward,525,525,0.01,1.756
HybridEPDispatchBackward,525,525,0.01,1.756
hybrid-ep dispatch with permute phase,1800,1800,0.122,1.465
aten::cat,40453,40453,0.071,1.334
FusedSparseAttentionFunc,1092,1092,0.028,1.254
flash_mla_sparse_fwd,1248,1248,0.007,1.236
record_param_comms,4109,4101,0.057,1.177
aten::mul,63238,63238,0.114,1.071
HybridEPDispatch,1050,1050,0.122,1.039
dispatch_core in hybrid-ep,1800,1800,0.008,1.021
autograd::engine::evaluate_function: _GroupedLinearBackward,1050,1050,0.55,0.975
_GroupedLinearBackward,1050,1050,0.545,0.975
aten::copy_,59241,59234,0.923,0.957
_GroupedLinear,1050,1050,0.191,0.948
autograd::engine::evaluate_function: LinearWithFrozenWeightBackward,56,56,0.001,0.937
LinearWithFrozenWeightBackward,56,56,0.001,0.937
LinearWithFrozenWeight,56,56,0.001,0.917
indexer_fwd_kernel,3318,3318,0.007,0.871
autograd::engine::evaluate_function: _LinearBackward,5439,5439,0.117,0.648
aten::contiguous,4914,4914,0.019,0.612
aten::clone,6265,6265,0.024,0.612
_LinearBackward,5439,5439,0.099,0.546
aten::add,47649,47649,0.2,0.543
autograd::engine::evaluate_function: MulBackward0,7707,7707,0.034,0.514
_Linear,5439,5439,0.077,0.514
ncclAllReduce,1232,1232,0.006,0.48
c10d::allreduce_,1071,1070,0.021,0.455
nccl:all_reduce,1071,1070,0.014,0.455
MulBackward0,7707,7707,0.023,0.443
autograd::engine::evaluate_function: HybridEPCombineBackward,525,525,0.008,0.427
HybridEPCombineBackward,525,525,0.008,0.427
combine_preprocess in hybrid-ep,1800,1800,0.003,0.421
dispatch_postprocess in hybrid-ep,1800,1800,0.002,0.355
aten::to,93247,93240,0.921,0.31
aten::_to_copy,34965,34958,0.912,0.31
ncclReduceScatter,624,624,0.004,0.295
aten::gather,36351,36351,0.056,0.289
ncclAllGather,1592,1592,0.009,0.278
autograd::engine::evaluate_function: _GatherFromSequenceParallelRegionBackward,546,546,0.015,0.275
_GatherFromSequenceParallelRegionBackward,546,546,0.015,0.275
