waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,23855421298,15.203,7,0.0,1.02,laggard_gpu_busy,gemm=8.0ms;moe_permute=3.4ms;cat_copy=3.0ms,
0,24014655815,7.115,1,0.001,1.045,laggard_gpu_busy,gemm=5.0ms;moe_permute=2.2ms;elementwise=0.2ms,
0,24086772614,22.003,6,0.0,1.014,laggard_gpu_busy,cat_copy=8.9ms;gemm=7.8ms;moe_permute=3.5ms,
0,24179892556,11.911,4,0.0,1.028,laggard_gpu_busy,gemm=6.6ms;moe_permute=3.1ms;cat_copy=1.4ms,
0,24259337414,6.618,5,0.0,1.051,laggard_gpu_busy,gemm=4.6ms;moe_permute=2.4ms;hybridep_meta=0.0ms,
0,24401427762,13.512,2,0.0,1.023,laggard_gpu_busy,gemm=5.9ms;cat_copy=3.5ms;moe_permute=2.7ms,
0,24478607257,15.408,3,0.0,1.02,laggard_gpu_busy,gemm=6.3ms;cat_copy=5.0ms;moe_permute=2.7ms,
0,24556344837,28.338,6,0.0,1.021,laggard_gpu_busy,gemm=13.2ms;cat_copy=9.9ms;moe_permute=3.5ms,
0,24651666716,17.981,6,0.0,1.016,laggard_gpu_busy,gemm=7.0ms;cat_copy=6.0ms;moe_permute=3.2ms,
0,24802919858,15.717,3,0.0,1.02,laggard_gpu_busy,gemm=6.0ms;cat_copy=5.8ms;moe_permute=2.5ms,
0,24876022776,28.023,2,0.0,1.026,laggard_gpu_busy,gemm=14.5ms;cat_copy=8.9ms;moe_permute=3.2ms,
0,24974545455,13.977,4,0.0,1.022,laggard_gpu_busy,gemm=7.2ms;moe_permute=3.0ms;cat_copy=3.0ms,
0,25049077840,31.413,4,0.0,1.029,laggard_gpu_busy,gemm=15.1ms;cat_copy=11.0ms;moe_permute=3.9ms,
0,25212652971,26.852,3,0.0,1.022,laggard_gpu_busy,gemm=12.2ms;cat_copy=9.7ms;moe_permute=3.3ms,
