category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
activation,elementwise_kernel,4503,0.373,758.1,1.835
cat_copy,CatArrayBatchedCopy,9504,1.008,358.1,8.287
cat_copy,elementwise_kernel,9768,0.659,41.0,3.052
cat_copy,CatArrayBatchedCopy_vectorized,12796,0.309,16.4,1.311
cat_copy,index_elementwise_kernel,68228,0.273,2.3,1.738
cat_copy,vectorized_gather_kernel,9752,0.251,142.8,0.509
cat_copy,unrolled_elementwise_kernel,29477,0.183,2.4,1.642
cat_copy,vectorized_elementwise_kernel,17863,0.125,2.6,0.459
cat_copy,indexFuncLargeIndex,624,0.097,1235.4,1.337
cat_copy,_scatter_gather_elementwise_kernel,41032,0.048,5.1,0.297
cat_copy,CatArrayBatchedCopy_alignedK_contig,23728,0.005,1.6,0.003
cross_entropy,cross_entropy_kernel,64,0.006,757.0,0.759
cub_scan_sort,radixSortKVInPlace,336,0.067,1617.1,2.089
cub_scan_sort,DeviceRadixSortOnesweepKernel,9986,0.012,8.3,0.016
cub_scan_sort,DeviceScanKernel,36872,0.008,1.8,0.003
cub_scan_sort,bitonicSortKVInPlace,2400,0.007,23.9,0.029
cub_scan_sort,DeviceScanInitKernel,36872,0.006,1.3,0.002
cub_scan_sort,DeviceRadixSortHistogramKernel,1249,0.001,3.9,0.005
cub_scan_sort,DeviceRadixSortExclusiveSumKernel,1249,0.0,1.7,0.002
cub_scan_sort,DeviceReduceKernel,624,0.0,2.0,0.003
dsa_backward,kernel_cutlass_bwd_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm100Fla,624,3.621,45936.8,56.124
dsa_backward,kernel_cutlass_sum_OdO_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.06,769.6,0.814
dsa_backward,kernel_cutlass_convert_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.023,296.7,0.319
dsa_backward,kernel_cutlass_sum_dSink_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm,624,0.002,21.8,0.024
dsa_forward,sparse_attn_fwd_kernel,1248,1.236,7898.7,9.254
dsa_indexer,kernel_cutlass_kernel_cudnndeepseek_sparse_attentionindexer_forwardindexer_fwd_sm100Indexe,3318,0.871,2096.8,3.108
dsa_indexer,kernel_cutlass_indexer_topk_kernel_cudnndeepseek_sparse_attentionindexer_top_kindexer_top_,3318,0.22,464.2,2.404
elementwise,vectorized_elementwise_kernel,289376,1.038,1.9,0.966
elementwise,elementwise_kernel,23569,0.862,160.0,2.322
elementwise,unrolled_elementwise_kernel,15286,0.133,1.7,2.005
elementwise,triton_poi_fused__to_copy_mul_unsqueeze_view_0,76800,0.118,13.2,0.017
elementwise,reduce_kernel,4283,0.03,3.3,0.374
elementwise,element_mul_kernel,64,0.006,760.4,0.764
elementwise,elementwise_kernel_with_index,29297,0.006,1.4,0.004
elementwise,fill_reverse_indices_kernel,1248,0.0,2.3,0.003
fp32_simt_head,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x64x16_1x1x1_3_nnn_align1_bias_f32_relu,64,0.937,117160.3,117.518
fp32_simt_head,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x128x16_1x1x1_3_tnn_align1_bias_f32_relu,64,0.918,114597.5,119.711
fp8_quant,multi_tensor_apply_kernel,120,0.0,26.0,0.028
gemm,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT,34672,1.939,258.0,7.298
gemm,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NNT,16766,1.212,349.1,7.488
gemm,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT,7616,0.608,69.1,3.567
gemm,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_NNT,4435,0.15,67.3,5.503
gemm,nvjet_sm103_tst_32x256_64x6_1x4_2cta_h_bz_TNN,7824,0.07,66.3,0.173
gemm,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_TNT,5670,0.068,70.1,0.66
gemm,nvjet_sm103_tst_256x240_64x4_2x1_2cta_v_bz_TNT,1978,0.062,241.8,0.824
gemm,nvjet_sm103_tst_256x128_64x5_2x1_2cta_v_bz_TNT,2760,0.059,127.4,0.984
gemm,nvjet_sm103_tst_256x128_64x5_2x2f_2cta_h_bz_TNT,2972,0.059,77.5,3.864
gemm,nvjet_sm103_tst_256x128_64x5_2x2f_2cta_h_bz_NNT,1572,0.041,148.3,2.129
gemm,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_NNT,2910,0.039,81.4,0.756
gemm,nvjet_sm103_tst_192x128_64x5_1x2_h_bz_TNT,624,0.036,455.3,0.458
gemm,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_TNT,1850,0.035,120.0,2.036
