gpu,category,kernels,summed_gpu_s,max_ms
0,other,124835,8.063,7.001
0,nvjet_gemm,20406,4.779,7.104
0,hybridep_sync,900,3.887,203.404
0,dsa_backward,78,3.501,48.489
0,fp32_simt_head,16,1.858,117.518
0,hybridep_dispatch_combine,450,1.832,4.966
0,nccl,436,1.508,405.208
0,dsa_forward,156,1.197,8.263
1,other,124951,8.136,7.916
1,nvjet_gemm,20400,4.97,7.286
1,hybridep_sync,900,3.703,170.336
1,dsa_backward,78,3.63,50.502
1,fp32_simt_head,16,1.856,117.316
1,hybridep_dispatch_combine,450,1.832,4.919
1,dsa_forward,156,1.236,8.86
1,nccl,435,1.2,406.916
2,other,125126,8.117,7.198
2,nvjet_gemm,20394,4.916,7.278
2,hybridep_sync,900,3.877,189.586
2,dsa_backward,78,3.615,51.212
2,fp32_simt_head,16,1.851,117.102
2,hybridep_dispatch_combine,450,1.674,4.408
2,dsa_forward,156,1.237,8.656
2,nccl,435,0.901,120.462
3,other,125181,8.15,7.763
3,nvjet_gemm,20370,4.975,7.147
3,hybridep_sync,900,3.649,204.598
3,dsa_backward,78,3.63,51.622
3,fp32_simt_head,16,1.855,117.395
3,hybridep_dispatch_combine,450,1.84,4.982
3,nccl,435,1.345,407.561
3,dsa_forward,156,1.239,9.042
4,other,125366,8.154,8.173
4,nvjet_gemm,20418,4.872,7.252
4,hybridep_sync,900,3.768,199.76
4,dsa_backward,78,3.64,52.689
4,fp32_simt_head,16,1.851,117.111
4,hybridep_dispatch_combine,450,1.824,4.896
4,nccl,435,1.355,408.694
4,dsa_forward,156,1.239,8.807
5,other,125405,8.079,7.98
5,nvjet_gemm,20412,4.782,6.929
5,hybridep_sync,900,3.723,68.418
5,dsa_backward,78,3.634,53.014
5,fp32_simt_head,16,1.861,119.711
5,hybridep_dispatch_combine,450,1.854,4.992
5,nccl,435,1.338,401.451
5,dsa_forward,156,1.242,8.595
6,other,125343,8.635,8.034
6,nvjet_gemm,20412,5.367,7.408
6,dsa_backward,78,3.677,56.124
6,hybridep_sync,900,2.995,210.611
6,fp32_simt_head,16,1.855,117.345
6,hybridep_dispatch_combine,450,1.766,4.999
6,dsa_forward,156,1.248,9.191
6,nccl,435,1.126,407.579
7,other,124956,8.143,8.287
7,nvjet_gemm,20388,4.923,7.488
7,hybridep_sync,900,4.053,212.337
7,dsa_backward,78,3.641,52.797
7,fp32_simt_head,16,1.853,117.127
7,hybridep_dispatch_combine,450,1.677,4.377
7,dsa_forward,156,1.25,9.254
7,nccl,435,0.976,204.352
