ts,idx,used_mib
1786264770,0,83173
1786264770,1,83173
1786264770,2,83173
1786264770,3,83173
1786264770,4,83173
1786264770,5,83173
1786264770,6,83173
1786264770,7,83173
1786264772,0,85729
1786264772,1,85729
1786264772,2,85729
1786264772,3,85729
1786264772,4,85729
1786264772,5,85729
1786264772,6,85729
1786264772,7,85729
1786264774,0,85799
1786264774,1,85735
1786264774,2,85733
1786264774,3,85735
1786264774,4,85735
1786264774,5,85737
1786264774,6,85733
1786264774,7,85735
1786264776,0,86199
1786264776,1,86199
1786264776,2,86199
1786264776,3,86199
1786264776,4,86199
1786264776,5,86199
1786264776,6,86189
1786264776,7,86159
1786264779,0,86199
1786264779,1,86199
1786264779,2,86199
1786264779,3,86199
1786264779,4,86199
1786264779,5,86199
1786264779,6,86199
1786264779,7,86179
1786264781,0,86279
1786264781,1,86339
1786264781,2,86399
1786264781,3,86459
1786264781,4,86519
1786264781,5,86599
1786264781,6,86659
1786264781,7,86719
1786264784,0,86279
1786264784,1,86339
1786264784,2,86399
1786264784,3,86459
1786264784,4,86519
1786264784,5,86599
1786264784,6,86659
1786264784,7,86719
1786264786,0,86279
1786264786,1,86339
1786264786,2,86399
1786264786,3,86459
1786264786,4,86519
1786264786,5,86599
1786264786,6,86659
1786264786,7,86719
1786264788,0,86279
1786264788,1,86339
1786264788,2,86399
1786264788,3,86459
1786264788,4,86519
1786264788,5,86599
1786264788,6,86659
1786264788,7,86719
1786264790,0,90399
1786264790,1,90279
1786264790,2,90241
1786264790,3,90179
1786264790,4,90099
1786264790,5,90079
1786264790,6,89979
1786264790,7,90299
1786264792,0,95341
1786264792,1,95221
1786264792,2,95161
1786264792,3,95101
1786264792,4,94961
1786264792,5,95021
1786264792,6,94901
1786264792,7,95201
1786264796,0,95631
1786264796,1,95651
1786264796,2,95591
1786264796,3,95531
1786264796,4,95391
1786264796,5,95451
1786264796,6,95331
1786264796,7,95603
1786264798,0,95811
1786264798,1,95691
1786264798,2,95631
1786264798,3,95571
1786264798,4,95431
1786264798,5,95491
1786264798,6,95371
1786264798,7,95671
1786264800,0,95811
1786264800,1,95691
1786264800,2,95631
1786264800,3,95571
1786264800,4,95431
1786264800,5,95491
1786264800,6,95371
1786264800,7,95671
1786264802,0,95813
1786264802,1,95693
1786264802,2,95633
1786264802,3,95573
1786264802,4,95433
1786264802,5,95493
1786264802,6,95373
1786264802,7,95673
1786264807,0,96587
1786264807,1,96451
1786264807,2,96375
1786264807,3,96315
1786264807,4,96161
1786264807,5,96235
1786264807,6,96195
1786264807,7,96559
1786264811,0,96843
1786264811,1,96691
1786264811,2,96567
1786264811,3,96507
1786264811,4,96367
1786264811,5,96427
1786264811,6,96307
1786264811,7,96607
1786264814,0,96941
1786264814,1,96819
1786264814,2,96695
1786264814,3,96571
1786264814,4,96431
1786264814,5,96491
1786264814,6,96371
1786264814,7,96639
1786264818,0,97037
1786264818,1,96917
1786264818,2,96825
1786264818,3,96797
1786264818,4,96657
1786264818,5,96717
1786264818,6,96565
1786264818,7,96897
1786264822,0,97037
1786264822,1,96917
1786264822,2,96857
1786264822,3,96797
1786264822,4,96657
1786264822,5,96717
1786264822,6,96597
1786264822,7,96897
1786264826,0,97037
1786264826,1,96917
1786264826,2,96857
1786264826,3,96797
1786264826,4,96657
1786264826,5,96717
1786264826,6,96597
1786264826,7,96897
1786264829,0,97037
1786264829,1,96917
1786264829,2,96857
1786264829,3,96797
1786264829,4,96657
1786264829,5,96717
1786264829,6,96597
1786264829,7,96897
1786264831,0,97037
1786264831,1,96917
1786264831,2,96857
1786264831,3,96797
1786264831,4,96657
1786264831,5,96717
1786264831,6,96597
1786264831,7,96897
1786264834,0,97799
1786264834,1,100099
1786264834,2,97099
1786264834,3,100779
1786264834,4,96899
1786264834,5,97919
1786264834,6,96839
1786264834,7,100099
1786264837,0,97959
1786264837,1,100259
1786264837,2,97259
1786264837,3,104519
1786264837,4,97059
1786264837,5,98079
1786264837,6,96999
1786264837,7,100259
1786264839,0,104859
1786264839,1,102379
1786264839,2,100219
1786264839,3,106639
1786264839,4,104719
1786264839,5,103679
1786264839,6,102159
1786264839,7,102779
1786264841,0,106999
1786264841,1,104499
1786264841,2,106839
1786264841,3,108979
1786264841,4,106819
1786264841,5,105819
1786264841,6,104279
1786264841,7,104899
1786264843,0,109139
1786264843,1,106999
1786264843,2,108959
1786264843,3,111099
1786264843,4,108919
1786264843,5,111799
1786264843,6,106399
1786264843,7,107019
1786264845,0,116859
1786264845,1,109119
1786264845,2,111079
1786264845,3,113219
1786264845,4,111019
1786264845,5,113939
1786264845,6,108519
1786264845,7,109139
1786264847,0,118999
1786264847,1,132379
1786264847,2,123239
1786264847,3,115339
1786264847,4,113619
1786264847,5,116079
1786264847,6,123939
1786264847,7,111259
1786264850,0,120839
1786264850,1,134199
1786264850,2,125039
1786264850,3,117239
1786264850,4,118119
1786264850,5,117921
1786264850,6,125759
1786264850,7,121059
1786264852,0,122879
1786264852,1,136159
1786264852,2,126959
1786264852,3,119099
1786264852,4,119899
1786264852,5,119641
1786264852,6,127399
1786264852,7,122659
1786264854,0,122961
1786264854,1,136299
1786264854,2,127159
1786264854,3,120699
1786264854,4,120959
1786264854,5,121861
1786264854,6,127861
1786264854,7,123181
1786264856,0,124061
1786264856,1,137421
1786264856,2,136041
1786264856,3,126021
1786264856,4,129981
1786264856,5,130341
1786264856,6,128321
1786264856,7,124361
1786264858,0,125021
1786264858,1,138281
1786264858,2,136801
1786264858,3,126701
1786264858,4,130561
1786264858,5,131681
1786264858,6,129521
1786264858,7,125441
1786264861,0,125981
1786264861,1,139141
1786264861,2,137561
1786264861,3,127381
1786264861,4,131141
1786264861,5,148281
1786264861,6,130461
1786264861,7,125921
1786264863,0,134641
1786264863,1,140001
1786264863,2,138321
1786264863,3,128061
1786264863,4,131721
1786264863,5,148761
1786264863,6,130841
1786264863,7,126401
1786264865,0,135601
1786264865,1,140861
1786264865,2,139081
1786264865,3,128741
1786264865,4,132301
1786264865,5,149241
1786264865,6,131221
1786264865,7,133881
1786264867,0,137521
1786264867,1,142581
1786264867,2,140601
1786264867,3,131461
1786264867,4,135401
1786264867,5,150201
1786264867,6,132901
1786264867,7,134841
1786264870,0,138481
1786264870,1,143461
1786264870,2,141361
1786264870,3,132121
1786264870,4,135981
1786264870,5,150681
1786264870,6,133301
1786264870,7,135321
1786264872,0,145833
1786264872,1,145029
1786264872,2,144269
1786264872,3,143409
1786264872,4,142649
1786264872,5,151329
1786264872,6,141249
1786264872,7,141881
1786264874,0,146101
1786264874,1,145161
1786264874,2,144401
1786264874,3,143541
1786264874,4,142781
1786264874,5,151461
1786264874,6,141381
1786264874,7,142021
1786264876,0,146101
1786264876,1,145161
1786264876,2,144401
1786264876,3,143541
1786264876,4,142781
1786264876,5,151461
1786264876,6,141381
1786264876,7,142021
1786264878,0,146101
1786264878,1,145161
1786264878,2,144401
1786264878,3,143541
1786264878,4,142781
1786264878,5,151461
1786264878,6,141381
1786264878,7,142021
1786264881,0,146101
1786264881,1,145161
1786264881,2,144401
1786264881,3,143541
