ts,idx,used_mib
1786264770,0,83213
1786264770,1,83213
1786264770,2,83213
1786264770,3,83213
1786264770,4,83213
1786264770,5,83213
1786264770,6,83213
1786264770,7,83213
1786264772,0,85769
1786264772,1,85769
1786264772,2,85769
1786264772,3,85769
1786264772,4,85769
1786264772,5,85769
1786264772,6,85769
1786264772,7,85769
1786264775,0,86239
1786264775,1,86239
1786264775,2,86239
1786264775,3,86239
1786264775,4,86239
1786264775,5,86239
1786264775,6,86229
1786264775,7,86199
1786264777,0,86319
1786264777,1,86379
1786264777,2,86439
1786264777,3,86499
1786264777,4,86559
1786264777,5,86639
1786264777,6,86699
1786264777,7,86759
1786264779,0,86319
1786264779,1,86379
1786264779,2,86439
1786264779,3,86499
1786264779,4,86559
1786264779,5,86639
1786264779,6,86699
1786264779,7,86759
1786264782,0,86319
1786264782,1,86379
1786264782,2,86439
1786264782,3,86499
1786264782,4,86559
1786264782,5,86639
1786264782,6,86699
1786264782,7,86759
1786264784,0,87339
1786264784,1,87359
1786264784,2,87399
1786264784,3,87419
1786264784,4,87439
1786264784,5,87499
1786264784,6,87519
1786264784,7,87759
1786264786,0,92761
1786264786,1,91661
1786264786,2,91441
1786264786,3,92241
1786264786,4,91521
1786264786,5,91561
1786264786,6,91501
1786264786,7,91861
1786264789,0,95381
1786264789,1,95261
1786264789,2,95201
1786264789,3,95141
1786264789,4,95001
1786264789,5,95061
1786264789,6,94941
1786264789,7,95241
1786264791,0,95381
1786264791,1,95261
1786264791,2,95201
1786264791,3,95141
1786264791,4,95001
1786264791,5,95061
1786264791,6,94941
1786264791,7,95241
1786264793,0,95381
1786264793,1,95261
1786264793,2,95201
1786264793,3,95141
1786264793,4,95001
1786264793,5,95061
1786264793,6,94941
1786264793,7,95241
1786264796,0,95851
1786264796,1,95731
1786264796,2,95671
1786264796,3,95611
1786264796,4,95471
1786264796,5,95531
1786264796,6,95381
1786264796,7,95671
1786264799,0,95851
1786264799,1,95731
1786264799,2,95671
1786264799,3,95611
1786264799,4,95471
1786264799,5,95531
1786264799,6,95411
1786264799,7,95711
1786264801,0,95851
1786264801,1,95731
1786264801,2,95671
1786264801,3,95611
1786264801,4,95471
1786264801,5,95531
1786264801,6,95411
1786264801,7,95711
1786264803,0,95853
1786264803,1,95733
1786264803,2,95673
1786264803,3,95613
1786264803,4,95473
1786264803,5,95533
1786264803,6,95413
1786264803,7,95713
1786264806,0,96195
1786264806,1,96171
1786264806,2,96175
1786264806,3,96179
1786264806,4,96103
1786264806,5,96227
1786264806,6,96171
1786264806,7,96375
1786264809,0,96787
1786264809,1,96667
1786264809,2,96607
1786264809,3,96547
1786264809,4,96407
1786264809,5,96467
1786264809,6,96347
1786264809,7,96647
1786264812,0,96851
1786264812,1,96699
1786264812,2,96607
1786264812,3,96547
1786264812,4,96407
1786264812,5,96467
1786264812,6,96347
1786264812,7,96647
1786264814,0,97077
1786264814,1,96925
1786264814,2,96799
1786264814,3,96771
1786264814,4,96631
1786264814,5,96531
1786264814,6,96507
1786264814,7,96807
1786264817,0,97077
1786264817,1,96957
1786264817,2,96897
1786264817,3,96837
1786264817,4,96697
1786264817,5,96757
1786264817,6,96635
1786264817,7,96935
1786264820,0,97077
1786264820,1,96957
1786264820,2,96897
1786264820,3,96837
1786264820,4,96697
1786264820,5,96757
1786264820,6,96637
1786264820,7,96937
1786264824,0,97077
1786264824,1,96957
1786264824,2,96897
1786264824,3,96837
1786264824,4,96697
1786264824,5,96757
1786264824,6,96637
1786264824,7,96937
1786264826,0,97077
1786264826,1,96957
1786264826,2,96897
1786264826,3,96837
1786264826,4,96697
1786264826,5,96757
1786264826,6,96637
1786264826,7,96937
1786264828,0,97077
1786264828,1,96957
1786264828,2,96897
1786264828,3,96837
1786264828,4,96697
1786264828,5,96757
1786264828,6,96637
1786264828,7,96937
1786264830,0,97077
1786264830,1,96957
1786264830,2,96897
1786264830,3,96837
1786264830,4,96697
1786264830,5,96757
1786264830,6,96637
1786264830,7,96937
1786264833,0,97077
1786264833,1,96957
1786264833,2,96897
1786264833,3,96837
1786264833,4,96697
1786264833,5,96757
1786264833,6,96637
1786264833,7,96937
1786264835,0,97479
1786264835,1,97359
1786264835,2,98159
1786264835,3,99819
1786264835,4,101159
1786264835,5,97499
1786264835,6,98479
1786264835,7,100499
1786264837,0,98479
1786264837,1,98439
1786264837,2,98539
1786264837,3,99979
1786264837,4,101319
1786264837,5,98039
1786264837,6,98579
1786264837,7,100659
1786264839,0,107219
1786264839,1,103259
1786264839,2,102479
1786264839,3,102099
1786264839,4,103859
1786264839,5,104359
1786264839,6,101019
1786264839,7,102779
1786264842,0,111499
1786264842,1,110699
1786264842,2,106899
1786264842,3,107299
1786264842,4,108059
1786264842,5,108639
1786264842,6,106819
1786264842,7,110439
1786264844,0,113819
1786264844,1,111919
1786264844,2,108199
1786264844,3,107299
1786264844,4,108059
1786264844,5,108639
1786264844,6,107599
1786264844,7,110439
1786264847,0,115959
1786264847,1,120739
1786264847,2,110819
1786264847,3,111259
1786264847,4,110159
1786264847,5,110779
1786264847,6,110119
1786264847,7,112559
1786264849,0,123359
1786264849,1,122859
1786264849,2,119799
1786264849,3,113379
1786264849,4,116259
1786264849,5,112919
1786264849,6,112239
1786264849,7,114899
1786264851,0,125199
1786264851,1,124679
1786264851,2,121599
1786264851,3,115939
1786264851,4,118059
1786264851,5,124399
1786264851,6,116539
1786264851,7,120439
1786264853,0,127321
1786264853,1,126779
1786264853,2,123721
1786264853,3,118061
1786264853,4,120161
1786264853,5,128439
1786264853,6,119539
1786264853,7,125981
1786264855,0,129121
1786264855,1,126781
1786264855,2,123721
1786264855,3,120681
1786264855,4,120161
1786264855,5,128441
1786264855,6,130081
1786264855,7,125981
1786264858,0,131181
1786264858,1,128761
1786264858,2,125641
1786264858,3,124841
1786264858,4,121941
1786264858,5,130181
1786264858,6,131741
1786264858,7,127581
1786264860,0,132141
1786264860,1,129621
1786264860,2,126401
1786264860,3,125521
1786264860,4,122521
1786264860,5,130661
1786264860,6,132121
1786264860,7,128061
1786264863,0,133701
1786264863,1,133581
1786264863,2,127161
1786264863,3,131661
1786264863,4,123101
1786264863,5,131141
1786264863,6,132501
1786264863,7,128541
1786264865,0,134661
1786264865,1,134441
1786264865,2,127941
1786264865,3,132341
1786264865,4,123681
1786264865,5,131621
1786264865,6,132881
1786264865,7,134021
1786264867,0,138921
1786264867,1,137041
1786264867,2,135761
1786264867,3,134361
1786264867,4,129901
1786264867,5,136881
1786264867,6,134541
1786264867,7,135461
1786264871,0,145801
1786264871,1,144929
1786264871,2,141541
1786264871,3,143589
1786264871,4,142673
1786264871,5,142553
1786264871,6,141193
1786264871,7,141861
1786264875,0,146097
1786264875,1,145061
1786264875,2,144261
1786264875,3,143721
1786264875,4,142781
1786264875,5,142661
1786264875,6,141301
1786264875,7,142001
1786264878,0,146097
1786264878,1,145061
1786264878,2,144261
1786264878,3,143721
1786264878,4,142781
1786264878,5,142661
1786264878,6,141301
1786264878,7,142001
1786264880,0,146101
1786264880,1,145061
1786264880,2,144261
1786264880,3,143721
