ts,idx,used_mib
1786268906,0,219239
1786268906,1,217009
1786268906,2,224329
1786268906,3,221789
1786268906,4,221849
1786268906,5,215169
1786268906,6,217229
1786268906,7,220169
1786268908,0,219241
1786268908,1,217009
1786268908,2,224329
1786268908,3,221789
1786268908,4,221849
1786268908,5,215169
1786268908,6,217229
1786268908,7,220169
1786268912,0,219241
1786268912,1,217009
1786268912,2,224329
1786268912,3,221789
1786268912,4,221849
1786268912,5,215169
1786268912,6,217229
1786268912,7,220169
1786268914,0,219241
1786268914,1,217011
1786268914,2,224329
1786268914,3,221791
1786268914,4,221849
1786268914,5,215169
1786268914,6,217229
1786268914,7,220171
1786268916,0,219241
1786268916,1,217011
1786268916,2,224329
1786268916,3,221791
1786268916,4,221849
1786268916,5,215169
1786268916,6,217229
1786268916,7,220171
1786268919,0,219241
1786268919,1,217011
1786268919,2,224329
1786268919,3,221791
1786268919,4,221849
1786268919,5,215169
1786268919,6,217229
1786268919,7,220171
1786268921,0,219241
1786268921,1,217011
1786268921,2,224329
1786268921,3,221791
1786268921,4,221849
1786268921,5,215169
1786268921,6,217229
1786268921,7,220171
1786268923,0,222301
1786268923,1,219891
1786268923,2,227031
1786268923,3,224091
1786268923,4,223969
1786268923,5,217089
1786268923,6,218829
1786268923,7,221451
1786268926,0,222301
1786268926,1,219891
1786268926,2,227031
1786268926,3,224091
1786268926,4,223969
1786268926,5,217089
1786268926,6,218829
1786268926,7,221451
1786268929,0,228421
1786268929,1,225651
1786268929,2,232431
1786268929,3,228691
1786268929,4,228211
1786268929,5,220931
1786268929,6,222031
1786268929,7,224011
1786268931,0,228421
1786268931,1,225651
1786268931,2,232431
1786268931,3,228691
1786268931,4,228211
1786268931,5,220931
1786268931,6,222031
1786268931,7,224011
1786268933,0,231481
1786268933,1,228531
1786268933,2,235131
1786268933,3,230991
1786268933,4,230331
1786268933,5,222851
1786268933,6,223631
1786268933,7,225291
1786268935,0,234541
1786268935,1,231411
1786268935,2,237831
1786268935,3,233291
1786268935,4,232451
1786268935,5,224771
1786268935,6,225231
1786268935,7,226571
1786268937,0,237601
1786268937,1,234291
