ts,idx,used_mib
1786268906,0,219699
1786268906,1,217207
1786268906,2,227167
1786268906,3,220429
1786268906,4,216847
1786268906,5,214689
1786268906,6,217049
1786268906,7,219509
1786268910,0,219701
1786268910,1,217207
1786268910,2,227167
1786268910,3,220429
1786268910,4,216847
1786268910,5,214689
1786268910,6,217049
1786268910,7,219509
1786268914,0,219701
1786268914,1,217207
1786268914,2,227167
1786268914,3,220429
1786268914,4,216847
1786268914,5,214691
1786268914,6,217051
1786268914,7,219509
1786268916,0,219701
1786268916,1,217207
1786268916,2,227167
1786268916,3,220429
1786268916,4,216849
1786268916,5,214691
1786268916,6,217051
1786268916,7,219509
1786268918,0,219701
1786268918,1,217207
1786268918,2,227167
1786268918,3,220429
1786268918,4,216849
1786268918,5,214691
1786268918,6,217051
1786268918,7,219509
1786268922,0,222761
1786268922,1,220089
1786268922,2,229869
1786268922,3,222729
1786268922,4,218969
1786268922,5,216611
1786268922,6,218651
1786268922,7,220789
1786268925,0,222761
1786268925,1,220089
1786268925,2,229869
1786268925,3,222729
1786268925,4,218969
1786268925,5,216611
1786268925,6,218651
1786268925,7,220789
1786268928,0,225821
1786268928,1,222969
1786268928,2,232591
1786268928,3,225031
1786268928,4,221089
1786268928,5,218531
1786268928,6,220251
1786268928,7,222071
1786268931,0,235001
1786268931,1,231609
1786268931,2,240692
1786268931,3,231931
1786268931,4,227449
1786268931,5,224291
1786268931,6,225051
1786268931,7,225911
1786268933,0,238061
1786268933,1,234489
1786268933,2,243392
1786268933,3,234231
1786268933,4,229569
1786268933,5,226211
1786268933,6,226651
1786268933,7,227191
1786268936,0,247241
1786268936,1,243129
1786268936,2,251495
1786268936,3,241131
1786268936,4,235929
1786268936,5,231971
1786268936,6,231451
1786268936,7,231031
1786268939,0,250301
1786268939,1,246009
1786268939,2,254797
1786268939,3,243431
1786268939,4,238049
1786268939,5,233891
1786268939,6,233051
1786268939,7,232311
1786268943,0,253361
1786268943,1,248889
1786268943,2,256871
1786268943,3,245731
1786268943,4,240169
1786268943,5,235811
1786268943,6,234651
1786268943,7,233591
1786268947,0,256421
1786268947,1,251769
1786268947,2,259571
1786268947,3,248031
1786268947,4,242289
1786268947,5,237731
1786268947,6,236251
1786268947,7,234871
1786268950,0,256421
1786268950,1,251769
1786268950,2,259571
1786268950,3,248031
1786268950,4,242289
1786268950,5,237731
1786268950,6,236251
1786268950,7,234871
1786268952,0,259481
1786268952,1,254649
1786268952,2,262271
1786268952,3,250331
1786268952,4,244409
1786268952,5,239651
1786268952,6,237851
1786268952,7,236151
1786268955,0,262541
1786268955,1,257529
1786268955,2,264971
1786268955,3,252631
1786268955,4,246529
1786268955,5,241571
1786268955,6,239451
1786268955,7,237431
1786268959,0,265601
