ts,idx,used_mib
1786751405,0,101913
1786751405,1,101913
1786751405,2,101913
1786751405,3,101913
1786751405,4,101913
1786751405,5,101913
1786751405,6,101913
1786751405,7,101913
1786751407,0,106863
1786751407,1,105723
1786751407,2,106863
1786751407,3,106863
1786751407,4,106863
1786751407,5,106863
1786751407,6,106863
1786751407,7,106863
1786751409,0,106865
1786751409,1,106865
1786751409,2,107105
1786751409,3,106867
1786751409,4,106867
1786751409,5,106869
1786751409,6,106869
1786751409,7,106869
1786751412,0,107495
1786751412,1,107495
1786751412,2,107495
1786751412,3,107495
1786751412,4,107495
1786751412,5,107495
1786751412,6,107495
1786751412,7,107495
1786751415,0,107495
1786751415,1,107495
1786751415,2,107495
1786751415,3,107495
1786751415,4,107495
1786751415,5,107495
1786751415,6,107495
1786751415,7,107495
1786751418,0,107495
1786751418,1,107495
1786751418,2,107495
1786751418,3,107495
1786751418,4,107495
1786751418,5,107495
1786751418,6,107495
1786751418,7,107495
1786751421,0,107495
1786751421,1,107495
1786751421,2,107495
1786751421,3,107495
1786751421,4,107495
1786751421,5,107495
1786751421,6,107495
1786751421,7,107495
1786751423,0,109555
1786751423,1,109415
1786751423,2,109295
1786751423,3,109555
1786751423,4,109335
1786751423,5,109295
1786751423,6,109395
1786751423,7,109555
1786751426,0,110677
1786751426,1,110537
1786751426,2,110417
1786751426,3,110677
1786751426,4,110597
1786751426,5,110497
1786751426,6,110517
1786751426,7,110677
1786751429,0,111307
1786751429,1,111167
1786751429,2,111047
1786751429,3,111307
1786751429,4,111227
1786751429,5,111127
1786751429,6,111147
1786751429,7,111307
1786751433,0,111307
1786751433,1,111167
1786751433,2,111047
1786751433,3,111307
1786751433,4,111227
1786751433,5,111127
1786751433,6,111147
1786751433,7,111307
1786751436,0,111453
1786751436,1,111321
1786751436,2,111289
1786751436,3,111511
1786751436,4,111469
1786751436,5,111369
1786751436,6,111389
1786751436,7,111549
1786751442,0,112730
1786751442,1,112687
1786751442,2,112447
1786751442,3,112877
1786751442,4,113011
1786751442,5,112323
1786751442,6,112931
1786751442,7,113091
1786751447,0,113963
1786751447,1,114103
1786751447,2,113679
1786751447,3,113879
1786751447,4,113859
1786751447,5,113709
1786751447,6,114029
1786751447,7,113899
1786751449,0,114871
1786751449,1,114103
1786751449,2,113983
1786751449,3,114243
1786751449,4,114163
1786751449,5,114063
1786751449,6,114083
1786751449,7,114243
1786751452,0,114245
1786751452,1,114103
1786751452,2,113983
1786751452,3,114243
1786751452,4,114163
1786751452,5,114063
1786751452,6,114083
1786751452,7,114243
1786751456,0,114245
1786751456,1,114103
1786751456,2,113983
1786751456,3,114243
1786751456,4,114163
1786751456,5,114063
1786751456,6,114083
1786751456,7,114243
1786751459,0,114245
1786751459,1,114103
1786751459,2,113983
1786751459,3,114243
1786751459,4,114163
1786751459,5,114063
1786751459,6,114083
1786751459,7,114243
1786751461,0,114245
1786751461,1,114103
1786751461,2,113983
1786751461,3,114243
1786751461,4,114163
1786751461,5,114063
1786751461,6,114083
1786751461,7,114243
1786751464,0,114245
1786751464,1,114103
1786751464,2,113983
1786751464,3,114243
1786751464,4,114163
1786751464,5,114063
1786751464,6,114083
1786751464,7,114243
1786751468,0,114245
1786751468,1,114125
1786751468,2,113983
1786751468,3,114243
1786751468,4,114163
1786751468,5,114063
1786751468,6,114083
1786751468,7,114243
1786751472,0,114245
1786751472,1,114126
1786751472,2,113983
1786751472,3,114243
1786751472,4,114163
1786751472,5,114063
1786751472,6,114083
1786751472,7,114243
1786751474,0,114245
1786751474,1,114126
1786751474,2,113983
1786751474,3,114243
1786751474,4,114163
1786751474,5,114063
1786751474,6,114083
1786751474,7,114243
1786751476,0,114245
1786751476,1,114149
1786751476,2,113983
1786751476,3,114243
1786751476,4,114163
1786751476,5,114063
1786751476,6,114083
1786751476,7,114243
1786751479,0,114245
1786751479,1,114731
1786751479,2,113983
1786751479,3,114243
1786751479,4,114163
1786751479,5,114063
1786751479,6,114083
1786751479,7,114243
1786751482,0,114245
1786751482,1,114103
1786751482,2,113983
1786751482,3,114243
1786751482,4,114163
1786751482,5,114063
1786751482,6,114083
1786751482,7,114243
1786751485,0,114245
1786751485,1,114103
1786751485,2,113983
1786751485,3,114243
1786751485,4,114163
1786751485,5,114063
1786751485,6,114083
1786751485,7,114243
1786751488,0,114245
1786751488,1,114103
1786751488,2,113983
1786751488,3,114243
1786751488,4,114163
1786751488,5,114063
1786751488,6,114083
1786751488,7,114243
1786751491,0,115205
1786751491,1,114523
1786751491,2,114403
1786751491,3,114663
1786751491,4,114583
1786751491,5,115163
1786751491,6,114503
1786751491,7,114663
1786751493,0,121387
1786751493,1,117285
1786751493,2,118425
