ts,idx,used_mib
1786751405,0,113195
1786751405,1,113195
1786751405,2,113195
1786751405,3,113195
1786751405,4,113195
1786751405,5,113195
1786751405,6,113195
1786751405,7,113195
1786751407,0,113199
1786751407,1,113199
1786751407,2,113199
1786751407,3,113199
1786751407,4,113199
1786751407,5,113199
1786751407,6,113199
1786751407,7,113199
1786751409,0,113199
1786751409,1,113199
1786751409,2,113199
1786751409,3,113199
1786751409,4,113199
1786751409,5,113199
1786751409,6,113199
1786751409,7,113199
1786751411,0,113199
1786751411,1,113199
1786751411,2,113199
1786751411,3,113199
1786751411,4,113199
1786751411,5,113199
1786751411,6,113199
1786751411,7,113199
1786751413,0,113199
1786751413,1,113199
1786751413,2,113199
1786751413,3,113199
1786751413,4,113199
1786751413,5,113199
1786751413,6,113199
1786751413,7,113199
1786751416,0,113199
1786751416,1,113199
1786751416,2,113199
1786751416,3,113199
1786751416,4,113199
1786751416,5,113199
1786751416,6,113199
1786751416,7,113199
1786751418,0,113199
1786751418,1,113199
1786751418,2,113199
1786751418,3,113199
1786751418,4,113199
1786751418,5,113199
1786751418,6,113199
1786751418,7,113199
1786751420,0,113199
1786751420,1,113199
1786751420,2,113199
1786751420,3,113199
1786751420,4,113199
1786751420,5,113199
1786751420,6,113199
1786751420,7,113199
1786751422,0,113199
1786751422,1,113199
1786751422,2,113199
1786751422,3,113199
1786751422,4,113199
1786751422,5,113199
1786751422,6,113199
1786751422,7,113199
1786751425,0,113199
1786751425,1,113199
1786751425,2,113199
1786751425,3,113199
1786751425,4,113199
1786751425,5,113199
1786751425,6,113199
1786751425,7,113199
1786751427,0,113199
1786751427,1,113199
1786751427,2,113199
1786751427,3,113199
1786751427,4,113199
1786751427,5,113199
1786751427,6,113199
1786751427,7,113199
1786751429,0,113199
1786751429,1,113199
1786751429,2,113199
1786751429,3,113199
1786751429,4,113199
1786751429,5,113199
1786751429,6,113199
1786751429,7,113199
1786751432,0,113199
1786751432,1,113199
1786751432,2,113199
1786751432,3,113199
1786751432,4,113199
1786751432,5,113199
1786751432,6,113199
1786751432,7,113199
1786751434,0,113199
1786751434,1,113199
1786751434,2,113199
1786751434,3,113199
1786751434,4,113199
1786751434,5,113199
1786751434,6,113199
1786751434,7,113199
1786751436,0,113199
1786751436,1,113199
1786751436,2,113199
1786751436,3,113199
1786751436,4,113199
1786751436,5,113199
1786751436,6,113199
1786751436,7,113199
1786751438,0,113199
1786751438,1,113199
1786751438,2,113199
1786751438,3,113199
1786751438,4,113199
1786751438,5,113199
1786751438,6,113199
1786751438,7,113199
1786751440,0,113199
1786751440,1,113199
1786751440,2,113199
1786751440,3,113199
1786751440,4,113199
1786751440,5,113199
1786751440,6,113199
1786751440,7,113199
1786751442,0,113199
1786751442,1,113199
1786751442,2,113199
1786751442,3,113199
1786751442,4,113199
1786751442,5,113199
1786751442,6,113199
1786751442,7,113199
1786751445,0,113199
1786751445,1,113199
1786751445,2,113199
1786751445,3,113199
1786751445,4,113199
1786751445,5,113199
1786751445,6,113199
1786751445,7,113199
1786751447,0,113199
1786751447,1,113199
1786751447,2,113199
1786751447,3,113199
1786751447,4,113199
1786751447,5,113199
1786751447,6,113199
1786751447,7,113199
1786751449,0,113199
1786751449,1,113199
1786751449,2,113199
1786751449,3,113199
1786751449,4,113199
1786751449,5,113199
1786751449,6,113199
