ts,idx,used_mib
1786739076,0,150647
1786739076,1,148103
1786739076,2,147943
1786739076,3,151743
1786739076,4,153623
1786739076,5,151323
1786739076,6,148303
1786739076,7,149383
1786739078,0,150647
1786739078,1,148103
1786739078,2,147943
1786739078,3,151743
1786739078,4,153623
1786739078,5,151323
1786739078,6,148303
1786739078,7,149383
1786739081,0,150647
1786739081,1,148103
1786739081,2,147943
1786739081,3,151743
1786739081,4,153623
1786739081,5,151323
1786739081,6,148303
1786739081,7,149383
1786739084,0,150647
1786739084,1,148103
1786739084,2,147943
1786739084,3,151743
1786739084,4,153623
1786739084,5,151323
1786739084,6,148303
1786739084,7,149383
1786739086,0,150647
1786739086,1,148103
1786739086,2,147943
1786739086,3,151743
1786739086,4,153623
1786739086,5,151323
1786739086,6,148303
1786739086,7,149383
1786739088,0,150647
1786739088,1,148103
1786739088,2,147943
1786739088,3,151743
1786739088,4,153623
1786739088,5,151323
1786739088,6,148303
1786739088,7,149383
1786739090,0,150647
1786739090,1,148103
1786739090,2,147943
1786739090,3,151743
1786739090,4,153623
1786739090,5,151323
1786739090,6,148303
1786739090,7,149383
1786739093,0,150841
1786739093,1,148269
1786739093,2,148137
1786739093,3,151957
1786739093,4,153827
1786739093,5,151527
1786739093,6,148517
1786739093,7,149587
1786739096,0,151301
1786739096,1,148505
1786739096,2,148453
1786739096,3,152397
1786739096,4,154277
1786739096,5,151977
1786739096,6,148957
1786739096,7,150037
1786739099,0,151321
1786739099,1,148775
1786739099,2,148615
1786739099,3,152417
1786739099,4,154295
1786739099,5,151995
1786739099,6,148975
1786739099,7,150055
1786739101,0,151323
1786739101,1,148779
1786739101,2,148619
1786739101,3,152419
1786739101,4,154299
1786739101,5,151999
1786739101,6,148979
1786739101,7,150059
1786739103,0,151323
1786739103,1,148779
1786739103,2,148619
1786739103,3,152419
1786739103,4,154299
1786739103,5,151999
1786739103,6,148979
1786739103,7,150059
1786739105,0,151323
1786739105,1,148779
1786739105,2,148619
1786739105,3,152419
1786739105,4,154299
1786739105,5,151999
1786739105,6,148979
1786739105,7,150059
1786739107,0,151323
1786739107,1,148779
1786739107,2,148619
1786739107,3,152419
1786739107,4,154299
1786739107,5,151999
1786739107,6,148979
1786739107,7,150059
1786739110,0,151329
1786739110,1,148785
1786739110,2,148625
1786739110,3,153187
1786739110,4,154305
1786739110,5,153707
1786739110,6,153165
1786739110,7,150065
1786739112,0,151331
1786739112,1,148785
1786739112,2,148627
1786739112,3,153187
1786739112,4,154307
1786739112,5,153707
1786739112,6,153167
1786739112,7,150067
1786739114,0,151331
1786739114,1,148785
1786739114,2,148627
1786739114,3,153187
1786739114,4,154307
1786739114,5,153707
1786739114,6,153167
1786739114,7,150067
1786739117,0,151331
1786739117,1,150287
1786739117,2,148627
1786739117,3,153187
1786739117,4,154307
1786739117,5,157027
1786739117,6,153167
1786739117,7,150067
1786739119,0,152771
1786739119,1,150287
1786739119,2,148627
1786739119,3,153527
1786739119,4,154307
1786739119,5,157027
1786739119,6,155207
1786739119,7,150067
1786739122,0,152771
1786739122,1,150287
1786739122,2,148627
1786739122,3,153527
1786739122,4,154307
1786739122,5,157027
1786739122,6,155207
1786739122,7,150067
1786739124,0,152771
1786739124,1,150287
1786739124,2,148627
1786739124,3,153527
1786739124,4,154307
1786739124,5,157027
1786739124,6,155207
1786739124,7,150067
1786739126,0,152773
1786739126,1,152449
1786739126,2,148889
1786739126,3,156811
1786739126,4,154309
1786739126,5,158871
1786739126,6,157169
1786739126,7,150069
1786739128,0,153573
1786739128,1,152449
1786739128,2,150309
1786739128,3,156811
1786739128,4,155509
1786739128,5,158871
1786739128,6,157171
1786739128,7,150689
1786739131,0,153573
1786739131,1,152449
1786739131,2,150309
1786739131,3,156811
1786739131,4,155509
1786739131,5,158871
1786739131,6,157171
1786739131,7,150689
1786739133,0,153575
1786739133,1,154451
1786739133,2,150309
1786739133,3,156811
1786739133,4,155509
1786739133,5,161091
1786739133,6,158791
1786739133,7,151471
1786739135,0,156035
1786739135,1,154451
1786739135,2,152311
1786739135,3,158371
1786739135,4,157911
1786739135,5,161091
1786739135,6,158791
1786739135,7,151471
1786739138,0,156035
1786739138,1,154451
1786739138,2,152311
1786739138,3,158371
1786739138,4,157911
1786739138,5,161091
1786739138,6,158791
1786739138,7,151591
1786739141,0,156035
1786739141,1,155893
1786739141,2,152311
1786739141,3,158371
1786739141,4,157911
1786739141,5,161091
1786739141,6,158933
1786739141,7,151731
1786739143,0,158219
1786739143,1,155893
1786739143,2,153253
1786739143,3,160535
1786739143,4,158495
1786739143,5,161093
1786739143,6,159893
1786739143,7,153273
1786739145,0,158219
1786739145,1,155893
1786739145,2,154553
1786739145,3,160535
1786739145,4,158495
1786739145,5,161093
1786739145,6,159895
1786739145,7,154675
1786739147,0,158219
