ts,idx,used_mib
1786739076,0,161447
1786739076,1,159275
1786739076,2,159047
1786739076,3,161167
1786739076,4,157947
1786739076,5,161587
1786739076,6,161395
1786739076,7,161567
1786739078,0,161447
1786739078,1,159275
1786739078,2,159047
1786739078,3,161167
1786739078,4,157947
1786739078,5,161587
1786739078,6,161395
1786739078,7,161567
1786739081,0,162927
1786739081,1,163855
1786739081,2,159807
1786739081,3,162867
1786739081,4,159707
1786739081,5,162267
1786739081,6,162895
1786739081,7,162287
1786739084,0,162927
1786739084,1,163855
1786739084,2,162227
1786739084,3,162867
1786739084,4,162127
1786739084,5,162267
1786739084,6,162895
1786739084,7,162287
1786739086,0,162927
1786739086,1,163855
1786739086,2,162227
1786739086,3,162867
1786739086,4,162127
1786739086,5,162267
1786739086,6,162895
1786739086,7,162287
1786739089,0,162927
1786739089,1,163855
1786739089,2,162227
1786739089,3,162867
1786739089,4,162127
1786739089,5,162267
1786739089,6,162895
1786739089,7,162287
1786739092,0,163521
1786739092,1,164061
1786739092,2,162493
1786739092,3,163561
1786739092,4,162427
1786739092,5,162961
1786739092,6,163589
1786739092,7,162981
1786739097,0,163644
1786739097,1,164549
1786739097,2,162921
1786739097,3,163561
1786739097,4,162821
1786739097,5,162961
1786739097,6,163589
1786739097,7,162981
1786739100,0,163665
1786739100,1,164569
1786739100,2,162941
1786739100,3,163581
1786739100,4,162841
1786739100,5,162981
1786739100,6,163609
1786739100,7,163001
1786739102,0,164267
1786739102,1,164569
1786739102,2,163621
1786739102,3,163681
1786739102,4,163381
1786739102,5,163621
1786739102,6,164249
1786739102,7,163701
1786739105,0,164275
1786739105,1,164577
1786739105,2,163627
1786739105,3,163687
1786739105,4,163387
1786739105,5,163629
1786739105,6,164257
1786739105,7,163709
1786739108,0,163649
1786739108,1,164577
1786739108,2,163627
1786739108,3,163687
1786739108,4,163387
1786739108,5,163629
1786739108,6,164257
1786739108,7,163709
1786739110,0,165469
1786739110,1,165857
1786739110,2,165107
1786739110,3,165487
1786739110,4,165887
1786739110,5,165929
1786739110,6,166437
1786739110,7,165749
1786739112,0,165471
1786739112,1,165859
1786739112,2,165111
1786739112,3,165491
1786739112,4,165891
1786739112,5,165931
1786739112,6,166439
1786739112,7,165751
1786739115,0,165471
1786739115,1,165859
1786739115,2,165111
1786739115,3,165491
1786739115,4,165891
1786739115,5,165931
1786739115,6,166439
1786739115,7,165751
1786739117,0,165471
1786739117,1,165859
1786739117,2,165111
1786739117,3,165491
1786739117,4,165891
1786739117,5,165931
1786739117,6,166439
1786739117,7,165751
1786739120,0,167231
1786739120,1,168041
1786739120,2,167031
1786739120,3,166893
1786739120,4,166931
1786739120,5,167013
1786739120,6,167781
1786739120,7,167091
1786739122,0,167233
1786739122,1,168041
1786739122,2,167033
1786739122,3,166893
1786739122,4,166933
1786739122,5,167013
1786739122,6,167781
1786739122,7,167093
1786739125,0,167233
1786739125,1,168041
1786739125,2,167033
1786739125,3,166893
1786739125,4,166933
1786739125,5,167013
1786739125,6,167781
1786739125,7,167093
1786739128,0,168613
1786739128,1,169383
1786739128,2,168495
1786739128,3,168375
1786739128,4,168793
1786739128,5,168175
1786739128,6,168803
1786739128,7,168375
1786739130,0,168615
1786739130,1,169383
1786739130,2,168495
1786739130,3,168375
1786739130,4,168795
1786739130,5,168175
1786739130,6,168803
1786739130,7,168375
1786739132,0,168615
1786739132,1,169383
1786739132,2,168495
1786739132,3,168375
1786739132,4,168795
1786739132,5,168175
1786739132,6,168803
1786739132,7,168375
1786739134,0,170415
1786739134,1,171183
1786739134,2,169715
1786739134,3,169875
1786739134,4,169995
1786739134,5,169915
1786739134,6,170463
1786739134,7,169855
1786739137,0,170417
1786739137,1,171185
1786739137,2,169717
1786739137,3,169877
1786739137,4,169997
1786739137,5,169917
1786739137,6,170465
1786739137,7,169857
1786739139,0,170417
1786739139,1,171185
1786739139,2,169717
1786739139,3,169877
1786739139,4,169997
1786739139,5,169917
1786739139,6,170465
1786739139,7,169857
1786739142,0,170417
1786739142,1,171185
1786739142,2,169717
1786739142,3,169877
1786739142,4,169997
1786739142,5,169917
1786739142,6,170465
1786739142,7,169857
1786739144,0,171499
1786739144,1,172347
1786739144,2,171019
1786739144,3,171259
1786739144,4,171539
1786739144,5,171079
1786739144,6,172667
1786739144,7,171459
1786739146,0,171499
1786739146,1,172347
1786739146,2,171019
1786739146,3,171259
1786739146,4,171539
1786739146,5,171079
1786739146,6,172667
1786739146,7,171459
1786739148,0,171499
1786739148,1,172347
1786739148,2,171019
1786739148,3,171259
1786739148,4,171539
1786739148,5,171079
1786739148,6,172667
1786739148,7,171459
1786739151,0,172603
1786739151,1,173751
1786739151,2,172601
1786739151,3,172701
1786739151,4,173101
1786739151,5,173003
1786739151,6,173691
1786739151,7,173001
1786739155,0,172603
1786739155,1,173751
1786739155,2,172601
1786739155,3,172701
1786739155,4,173101
1786739155,5,173003
1786739155,6,173691
1786739155,7,173001
1786739157,0,172603
1786739157,1,173751
1786739157,2,172603
1786739157,3,172701
1786739157,4,173101
1786739157,5,173003
1786739157,6,173691
1786739157,7,173003
1786739159,0,174643
1786739159,1,175373
1786739159,2,173883
1786739159,3,174285
1786739159,4,175263
1786739159,5,174345
1786739159,6,175033
1786739159,7,174223
1786739162,0,174645
1786739162,1,175373
1786739162,2,173885
1786739162,3,174285
1786739162,4,175265
1786739162,5,174345
1786739162,6,175033
1786739162,7,174225
1786739164,0,174645
1786739164,1,175373
1786739164,2,173885
1786739164,3,174285
1786739164,4,175265
1786739164,5,174345
1786739164,6,175033
1786739164,7,174225
1786739167,0,176185
1786739167,1,177033
1786739167,2,175925
1786739167,3,175905
1786739167,4,176225
1786739167,5,176265
1786739167,6,176393
1786739167,7,175625
1786739171,0,176187
1786739171,1,177035
1786739171,2,175925
1786739171,3,175907
1786739171,4,176227
1786739171,5,176267
1786739171,6,176395
1786739171,7,175627
1786739173,0,176187
1786739173,1,177035
1786739173,2,175927
1786739173,3,175907
1786739173,4,176227
1786739173,5,176267
1786739173,6,176395
1786739173,7,175627
1786739175,0,176187
1786739175,1,177035
1786739175,2,175927
1786739175,3,175907
1786739175,4,176227
1786739175,5,176267
1786739175,6,176395
1786739175,7,175627
1786739177,0,177469
1786739177,1,178437
1786739177,2,176827
1786739177,3,177489
1786739177,4,177589
1786739177,5,177609
1786739177,6,178317
1786739177,7,177169
1786739180,0,177469
1786739180,1,178437
1786739180,2,176829
1786739180,3,177489
1786739180,4,177589
1786739180,5,177609
1786739180,6,178317
1786739180,7,177169
1786739183,0,179109
1786739183,1,179577
1786739183,2,178109
1786739183,3,178629
1786739183,4,179089
1786739183,5,178889
1786739183,6,180759
1786739183,7,178629
1786739186,0,179111
1786739186,1,179579
1786739186,2,178111
1786739186,3,178631
1786739186,4,179091
1786739186,5,178891
1786739186,6,180762
1786739186,7,178631
1786739188,0,179111
1786739188,1,179579
1786739188,2,178111
1786739188,3,178631
1786739188,4,179091
1786739188,5,178891
1786739188,6,180762
1786739188,7,178631
1786739191,0,179111
1786739191,1,179579
1786739191,2,178111
1786739191,3,178631
1786739191,4,179091
1786739191,5,178891
1786739191,6,180763
1786739191,7,178631
1786739193,0,180773
1786739193,1,181241
1786739193,2,179711
1786739193,3,180173
1786739193,4,180671
1786739193,5,180233
1786739193,6,181483
1786739193,7,181453
1786739195,0,180773
1786739195,1,181241
1786739195,2,179713
1786739195,3,180173
1786739195,4,180673
1786739195,5,180233
1786739195,6,181947
1786739195,7,181453
1786739198,0,182253
1786739198,1,182801
1786739198,2,182153
1786739198,3,181133
1786739198,4,182393
1786739198,5,182413
1786739198,6,182281
1786739198,7,182033
1786739201,0,182255
1786739201,1,182803
1786739201,2,182155
1786739201,3,181135
1786739201,4,182395
1786739201,5,182415
1786739201,6,182283
1786739201,7,182035
1786739204,0,182255
1786739204,1,182803
1786739204,2,182155
1786739204,3,181135
1786739204,4,182395
1786739204,5,182415
1786739204,6,182283
1786739204,7,182035
1786739206,0,183455
1786739206,1,184383
1786739206,2,182915
1786739206,3,183015
1786739206,4,184015
1786739206,5,183395
1786739206,6,184003
1786739206,7,183195
1786739210,0,183457
1786739210,1,184387
1786739210,2,182917
1786739210,3,183017
1786739210,4,184017
1786739210,5,183397
1786739210,6,184007
1786739210,7,183197
1786739212,0,183459
1786739212,1,184387
1786739212,2,182917
1786739212,3,183017
1786739212,4,184017
1786739212,5,183397
1786739212,6,184007
1786739212,7,183197
1786739215,0,183459
1786739215,1,184387
1786739215,2,182917
1786739215,3,183017
1786739215,4,184017
1786739215,5,183397
1786739215,6,184007
1786739215,7,183197
1786739217,0,184819
1786739217,1,185707
1786739217,2,184159
1786739217,3,184639
1786739217,4,185539
1786739217,5,184799
1786739217,6,185569
1786739217,7,184719
1786739219,0,184819
1786739219,1,185709
1786739219,2,184159
1786739219,3,184639
1786739219,4,185539
1786739219,5,184799
1786739219,6,185569
1786739219,7,184719
1786739221,0,184819
1786739221,1,185709
1786739221,2,184159
1786739221,3,184639
1786739221,4,185539
1786739221,5,184799
1786739221,6,185569
1786739221,7,184719
1786739224,0,186221
1786739224,1,187289
1786739224,2,185361
1786739224,3,186281
1786739224,4,186961
1786739224,5,185761
1786739224,6,186849
1786739224,7,186001
1786739226,0,186223
1786739226,1,187291
1786739226,2,185363
1786739226,3,186281
1786739226,4,186963
1786739226,5,185763
1786739226,6,186851
1786739226,7,186003
1786739229,0,186223
1786739229,1,187291
1786739229,2,185363
1786739229,3,186281
1786739229,4,186963
