ts,idx,used_mib
1786694187,0,101285
1786694187,1,101285
1786694187,2,101285
1786694187,3,101285
1786694187,4,101285
1786694187,5,101285
1786694187,6,101285
1786694187,7,101285
1786694189,0,106479
1786694189,1,106475
1786694189,2,106479
1786694189,3,106469
1786694189,4,106479
1786694189,5,106479
1786694189,6,106479
1786694189,7,106479
1786694192,0,106867
1786694192,1,106867
1786694192,2,106867
1786694192,3,106867
1786694192,4,106867
1786694192,5,106867
1786694192,6,106867
1786694192,7,106867
1786694194,0,106867
1786694194,1,106867
1786694194,2,106867
1786694194,3,106867
1786694194,4,106867
1786694194,5,106867
1786694194,6,106867
1786694194,7,106867
1786694196,0,106867
1786694196,1,106867
1786694196,2,106867
1786694196,3,106867
1786694196,4,106867
1786694196,5,106867
1786694196,6,106867
1786694196,7,106867
1786694198,0,106867
1786694198,1,106867
1786694198,2,106867
1786694198,3,108927
1786694198,4,108707
1786694198,5,108667
1786694198,6,108767
1786694198,7,108927
1786694201,0,110919
1786694201,1,110181
1786694201,2,109880
1786694201,3,110314
1786694201,4,110234
1786694201,5,109954
1786694201,6,110154
1786694201,7,110137
1786694208,0,111307
1786694208,1,111167
1786694208,2,111047
1786694208,3,111307
1786694208,4,111227
1786694208,5,111127
1786694208,6,111147
1786694208,7,111307
1786694211,0,111307
1786694211,1,111167
1786694211,2,111047
1786694211,3,111307
1786694211,4,111227
1786694211,5,111127
1786694211,6,111147
1786694211,7,111307
1786694214,0,111551
1786694214,1,111411
1786694214,2,111291
1786694214,3,111551
1786694214,4,111471
1786694214,5,111371
1786694214,6,111391
1786694214,7,111551
1786694217,0,113859
1786694217,1,113769
1786694217,2,113609
1786694217,3,113899
1786694217,4,113799
1786694217,5,113739
1786694217,6,113789
1786694217,7,113939
1786694219,0,114243
1786694219,1,114103
1786694219,2,113983
1786694219,3,114243
1786694219,4,114163
1786694219,5,114063
1786694219,6,114083
1786694219,7,114243
1786694223,0,114243
1786694223,1,114103
1786694223,2,113983
1786694223,3,114243
1786694223,4,114163
1786694223,5,114063
1786694223,6,114083
1786694223,7,114243
1786694225,0,114243
1786694225,1,114103
1786694225,2,113983
1786694225,3,114243
1786694225,4,114163
1786694225,5,114063
1786694225,6,114083
1786694225,7,114243
1786694228,0,114243
1786694228,1,114103
1786694228,2,113983
1786694228,3,114243
1786694228,4,114163
1786694228,5,114063
1786694228,6,114083
1786694228,7,114243
1786694230,0,114243
1786694230,1,114103
1786694230,2,113983
1786694230,3,114243
1786694230,4,114163
1786694230,5,114063
1786694230,6,114083
1786694230,7,114243
1786694233,0,114243
1786694233,1,114103
1786694233,2,113983
1786694233,3,114243
1786694233,4,114163
1786694233,5,114063
1786694233,6,114083
1786694233,7,114243
1786694235,0,115203
1786694235,1,114523
1786694235,2,114403
1786694235,3,114663
1786694235,4,114583
1786694235,5,115163
1786694235,6,114503
1786694235,7,114663
1786694237,0,121385
1786694237,1,117285
1786694237,2,118425
1786694237,3,115305
1786694237,4,117465
1786694237,5,121205
1786694237,6,119185
1786694237,7,116405
1786694240,0,122647
1786694240,1,123587
1786694240,2,126927
1786694240,3,125907
1786694240,4,126087
1786694240,5,121407
1786694240,6,126447
1786694240,7,124267
1786694242,0,145417
1786694242,1,135551
1786694242,2,138233
1786694242,3,138713
1786694242,4,135891
1786694242,5,137931
1786694242,6,146959
1786694242,7,137615
1786694245,0,150965
1786694245,1,149825
1786694245,2,145745
1786694245,3,145405
1786694245,4,146307
1786694245,5,146263
1786694245,6,150609
1786694245,7,144163
1786694248,0,169695
1786694248,1,166077
1786694248,2,163873
1786694248,3,165775
1786694248,4,161233
1786694248,5,165955
1786694248,6,168077
1786694248,7,165357
1786694251,0,186437
1786694251,1,179077
1786694251,2,177033
1786694251,3,187875
1786694251,4,174193
1786694251,5,186499
1786694251,6,182339
1786694251,7,174251
1786694254,0,195775
1786694254,1,192237
1786694254,2,191377
1786694254,3,204299
1786694254,4,189455
1786694254,5,203979
1786694254,6,203783
1786694254,7,191295
1786694256,0,213643
1786694256,1,210445
1786694256,2,205823
1786694256,3,214743
1786694256,4,205563
1786694256,5,215849
1786694256,6,223389
1786694256,7,206181
1786694259,0,221813
1786694259,1,218115
1786694259,2,211971
1786694259,3,227155
1786694259,4,210533
1786694259,5,224699
1786694259,6,224797
1786694259,7,211789
1786694262,0,223603
1786694262,1,221923
1786694262,2,218941
1786694262,3,227603
1786694262,4,216521
1786694262,5,228487
1786694262,6,232225
1786694262,7,219361
1786694264,0,239145
1786694264,1,240105
1786694264,2,230401
1786694264,3,241983
1786694264,4,227421
1786694264,5,246645
1786694264,6,244987
1786694264,7,230421
1786694266,0,239145
1786694266,1,240105
1786694266,2,230401
1786694266,3,241983
