ts,idx,used_mib
1786694187,0,112567
1786694187,1,112567
1786694187,2,112567
1786694187,3,112567
1786694187,4,112567
1786694187,5,112567
1786694187,6,112567
1786694187,7,112567
1786694189,0,112571
1786694189,1,112571
1786694189,2,112571
1786694189,3,112571
1786694189,4,112571
1786694189,5,112571
1786694189,6,112571
1786694189,7,112571
1786694191,0,112571
1786694191,1,112571
1786694191,2,112571
1786694191,3,112571
1786694191,4,112571
1786694191,5,112571
1786694191,6,112571
1786694191,7,112571
1786694193,0,112571
1786694193,1,112571
1786694193,2,112571
1786694193,3,112571
1786694193,4,112571
1786694193,5,112571
1786694193,6,112571
1786694193,7,112571
1786694196,0,112571
1786694196,1,112571
1786694196,2,112571
1786694196,3,112571
1786694196,4,112571
1786694196,5,112571
1786694196,6,112571
1786694196,7,112571
1786694198,0,112571
1786694198,1,112571
1786694198,2,112571
1786694198,3,112571
1786694198,4,112571
1786694198,5,112571
1786694198,6,112571
1786694198,7,112571
1786694200,0,112594
1786694200,1,112593
1786694200,2,112594
1786694200,3,112593
1786694200,4,112594
1786694200,5,112593
1786694200,6,112594
1786694200,7,112594
1786694205,0,113199
1786694205,1,113199
1786694205,2,113199
1786694205,3,113199
1786694205,4,113199
1786694205,5,113199
1786694205,6,113199
1786694205,7,113199
1786694209,0,113199
1786694209,1,113199
1786694209,2,113199
1786694209,3,113199
1786694209,4,113199
1786694209,5,113199
1786694209,6,113199
1786694209,7,113199
1786694211,0,113199
1786694211,1,113199
1786694211,2,113199
1786694211,3,113199
1786694211,4,113199
1786694211,5,113199
1786694211,6,113199
1786694211,7,113199
1786694213,0,113199
1786694213,1,113199
1786694213,2,113199
1786694213,3,113199
1786694213,4,113199
1786694213,5,113199
1786694213,6,113199
1786694213,7,113199
1786694215,0,113199
1786694215,1,113199
1786694215,2,113199
1786694215,3,113199
1786694215,4,113199
1786694215,5,113199
1786694215,6,113199
1786694215,7,113199
1786694217,0,113199
1786694217,1,113199
1786694217,2,113199
1786694217,3,113199
1786694217,4,113199
1786694217,5,113199
1786694217,6,113199
1786694217,7,113199
1786694219,0,113199
1786694219,1,113199
1786694219,2,113199
1786694219,3,113199
1786694219,4,113199
1786694219,5,113199
1786694219,6,113199
1786694219,7,113199
1786694222,0,113199
1786694222,1,113199
1786694222,2,113199
1786694222,3,113199
1786694222,4,113199
1786694222,5,113199
1786694222,6,113199
1786694222,7,113199
1786694224,0,113199
1786694224,1,113199
1786694224,2,113199
1786694224,3,113199
1786694224,4,113199
1786694224,5,113199
1786694224,6,113199
1786694224,7,113199
1786694227,0,113199
1786694227,1,113199
1786694227,2,113199
1786694227,3,113199
1786694227,4,113199
1786694227,5,113199
1786694227,6,113199
1786694227,7,113199
1786694229,0,113199
1786694229,1,113199
1786694229,2,113199
1786694229,3,113199
1786694229,4,113199
1786694229,5,113199
1786694229,6,113199
1786694229,7,113199
1786694231,0,113199
1786694231,1,113199
1786694231,2,113199
1786694231,3,113199
1786694231,4,113199
1786694231,5,113199
1786694231,6,113199
1786694231,7,113199
1786694233,0,113199
1786694233,1,113199
1786694233,2,113199
1786694233,3,113199
1786694233,4,113199
1786694233,5,113199
1786694233,6,113199
1786694233,7,113199
1786694235,0,113199
1786694235,1,113199
1786694235,2,113199
1786694235,3,113199
1786694235,4,113199
1786694235,5,113199
1786694235,6,113199
1786694235,7,113199
1786694237,0,113199
1786694237,1,113199
1786694237,2,113199
1786694237,3,113199
1786694237,4,113199
1786694237,5,113199
1786694237,6,113199
1786694237,7,113199
1786694240,0,113199
1786694240,1,113199
1786694240,2,113199
1786694240,3,113199
1786694240,4,113199
1786694240,5,113199
1786694240,6,113199
1786694240,7,113199
1786694242,0,113199
1786694242,1,113199
1786694242,2,113199
1786694242,3,113199
1786694242,4,113199
1786694242,5,113199
1786694242,6,113199
1786694242,7,113199
1786694244,0,113199
1786694244,1,113199
1786694244,2,113199
1786694244,3,113199
1786694244,4,113199
1786694244,5,113199
1786694244,6,113199
1786694244,7,113199
1786694246,0,113199
1786694246,1,113199
1786694246,2,113199
1786694246,3,113199
1786694246,4,113199
1786694246,5,113199
1786694246,6,113199
1786694246,7,113199
1786694248,0,113199
1786694248,1,113199
1786694248,2,113199
1786694248,3,113199
1786694248,4,113199
1786694248,5,113199
1786694248,6,113199
1786694248,7,113199
1786694250,0,113199
1786694250,1,113199
1786694250,2,113199
1786694250,3,113199
1786694250,4,113199
1786694250,5,113199
1786694250,6,113199
1786694250,7,113199
1786694253,0,113199
1786694253,1,113199
1786694253,2,113199
1786694253,3,113199
1786694253,4,113199
1786694253,5,113199
1786694253,6,113199
1786694253,7,113199
1786694255,0,113199
1786694255,1,113199
1786694255,2,113199
1786694255,3,113199
1786694255,4,113199
1786694255,5,113199
1786694255,6,113199
1786694255,7,113199
1786694257,0,113199
1786694257,1,113199
1786694257,2,113199
1786694257,3,113199
1786694257,4,113199
1786694257,5,113199
1786694257,6,113199
1786694257,7,113199
1786694259,0,113199
1786694259,1,113199
1786694259,2,113199
1786694259,3,113199
1786694259,4,113199
1786694259,5,113199
1786694259,6,113199
1786694259,7,113199
1786694261,0,113199
1786694261,1,113199
1786694261,2,113199
1786694261,3,113199
1786694261,4,113199
1786694261,5,113199
1786694261,6,113199
1786694261,7,113199
1786694263,0,113199
1786694263,1,113199
1786694263,2,113199
1786694263,3,113199
1786694263,4,113199
1786694263,5,113199
1786694263,6,113199
1786694263,7,113199
1786694265,0,117031
1786694265,1,118171
1786694265,2,117031
1786694265,3,118171
1786694265,4,117031
1786694265,5,118171
1786694265,6,118171
1786694265,7,118171
1786694268,0,118173
1786694268,1,118173
1786694268,2,118173
1786694268,3,118173
1786694268,4,118173
1786694268,5,118173
1786694268,6,118173
1786694268,7,118173
1786694271,0,118783
1786694271,1,118789
1786694271,2,118791
1786694271,3,118803
1786694271,4,118803
1786694271,5,118803
1786694271,6,118787
1786694271,7,118787
1786694275,0,118803
1786694275,1,118803
1786694275,2,118803
1786694275,3,118803
1786694275,4,118803
1786694275,5,118803
1786694275,6,118803
1786694275,7,118803
1786694277,0,118803
1786694277,1,118803
1786694277,2,118803
1786694277,3,118803
1786694277,4,118803
1786694277,5,118803
1786694277,6,118803
1786694277,7,118803
1786694280,0,118803
1786694280,1,118803
