"category","name","calls","inclusive_ms","max_ms"
"user_annotation","ProfilerStep#0",1,1091.352742,1091.352742
"cpu_op","autograd::engine::evaluate_function: CheckpointFunctionBackward",28,515.412448,27.888386
"cpu_op","CheckpointFunctionBackward",28,515.233402,27.881544
"cuda_runtime","cudaStreamSynchronize",31,381.080348,225.298342
"cpu_op","aten::item",60,361.132320,225.339627
"cpu_op","aten::_local_scalar_dense",60,361.039924,225.336388
"cpu_op","aten::matmul",916,225.439755,12.968345
"cpu_op","aten::mm",916,221.158274,12.963175
"cpu_op","LinearWithGradAccumulationAndAsyncCommunication",448,213.191949,12.981235
"cuda_runtime","cudaLaunchKernel",4200,136.785614,3.876928
"cpu_op","CheckpointFunction",28,88.944291,3.651679
"cpu_op","autograd::engine::evaluate_function: _LayerNormLinearBackward",56,72.236483,4.076515
"cpu_op","aten::add",543,68.928686,3.883187
"cpu_op","aten::mul",924,36.417170,0.553784
"cuda_runtime","cudaMemGetInfo",1,36.378630,36.378630
"cpu_op","autograd::engine::evaluate_function: LinearWithGradAccumulationAndAsyncCommunicationBackward",224,28.861013,0.362921
"cpu_op","LinearWithGradAccumulationAndAsyncCommunicationBackward",224,26.549329,0.354448
"cpu_op","autograd::engine::evaluate_function: MulBackward0",236,21.039052,0.641894
"cpu_op","aten::copy_",953,18.170901,1.394666
"cpu_op","aten::to",750,17.174493,1.429868
"cpu_op","aten::_to_copy",486,16.768928,1.415766
"cpu_op","aten::add_",431,15.417468,0.519527
"cpu_op","aten::cat",314,14.501124,0.396984
"cpu_op","aten::nonzero",5,12.788607,10.395517
"cpu_op","aten::index",3,11.881892,10.445254
"cpu_op","MulBackward0",236,11.450306,0.480092
"cpu_op","autograd::engine::evaluate_function: _LinearBackward",56,10.562791,0.361044
"cpu_op","_LayerNormLinearBackward",56,9.665777,0.191448
"cpu_op","SwiGLUFunction",56,9.165934,0.259947
"cpu_op","_LayerNormLinear",56,8.991449,0.192777
"cpu_op","autograd::engine::evaluate_function: CrossEntropyFunctionBackward",10,8.530216,1.036611
"cpu_op","CrossEntropyFunctionBackward",10,8.481013,1.032225
"cpu_op","autograd::engine::evaluate_function: FusedAttnFuncBackward",28,8.449236,0.420056
"cpu_op","FusedAttnFunc",56,8.206350,0.187137
"cpu_op","FusedAttnFuncBackward",28,8.095414,0.407436
"cpu_op","_OperationFuserAutogradFunction",57,7.193680,0.257432
"cpu_op","autograd::engine::evaluate_function: torch::autograd::AccumulateGrad",253,6.844281,0.058222
"cpu_op","aten::empty",1873,6.570363,0.019505
"cpu_op","_LinearBackward",56,6.105238,0.139255
"cpu_op","aten::neg",208,5.804310,0.243143
"cuda_runtime","cudaLaunchKernelExC",224,5.645744,0.277010
"cpu_op","autograd::engine::evaluate_function: _OperationFuserAutogradFunctionBackward",57,5.639899,0.141417
"cpu_op","_Linear",56,5.549116,0.119885
"cpu_op","_OperationFuserAutogradFunctionBackward",57,5.252409,0.135408
"cpu_op","autograd::engine::evaluate_function: SwiGLUFunctionBackward",28,4.716928,0.186510
"cpu_op","SwiGLUFunctionBackward",28,4.525227,0.179739
"cpu_op","aten::view",3895,3.999743,0.014499
"cpu_op","aten::reshape",1458,3.918758,0.032208
"cpu_op","aten::clone",168,3.374362,0.036477
"cpu_op","Torch-Compiled Region: 2/2",28,3.326527,0.190875
"cpu_op","## Call CompiledFxGraph fi3yfad7g7owrozzym4asrme23tyquou3visp7plpq2odyi2pj3h ##",56,3.296886,0.096222
"cpu_op","Torch-Compiled Region: 2/3",28,3.195408,0.125594
"cpu_op","Torch-Compiled Region: 3/1",28,3.179055,0.131223
"cpu_op","aten::sin",112,3.088947,0.102783
"cpu_op","autograd::engine::evaluate_function: SplitBackward0",56,2.821272,0.136325
"cuda_runtime","cudaEventQuery",3578,2.666096,0.015343
