"name","kernels","gpu_ms"
"FusedAttnFuncBackward",140,357.871846
"FusedAttnFunc",112,202.641014
"aten::mul",922,89.998064
"aten::cat",310,69.460753
"aten::mm",1140,51.007713
"aten::add",543,41.094993
"CheckpointFunction",224,25.952412
"aten::copy_",856,25.784355
"_LayerNormLinearBackward",168,17.226240
"_LayerNormLinear",112,15.457520
"aten::add_",431,14.747148
"triton_poi_fused_add_cat_mul_rsub_sigmoid_silu_split_0",28,13.638713
"aten::neg",208,13.621014
"_OperationFuserAutogradFunctionBackward",114,9.397385
"CrossEntropyFunction",20,8.244124
"triton_poi_fused_mul_silu_split_0",56,7.674392
"_Linear",56,7.495412
"_LinearBackward",56,7.452883
"_OperationFuserAutogradFunction",57,4.829520
"CrossEntropyFunctionBackward",10,3.704169
"aten::fill_",106,2.430498
"aten::cos",112,1.130705
"aten::sin",112,0.884943
"aten::sum",23,0.080031
"aten::nonzero",20,0.060737
"aten::index",3,0.052769
"aten::_index_put_impl_",6,0.049952
"aten::gather",1,0.033408
"aten::clamp",10,0.021376
"aten::mul_",2,0.013920
"aten::remainder",2,0.006080
"aten::div_",2,0.005087
"aten::pow",2,0.004511
"aten::ne",2,0.004159
"aten::arange",2,0.003136
"aten::clamp_max_",1,0.002271
"aten::reciprocal",1,0.002112
"aten::div",1,0.002016
