"category","name","calls","inclusive_ms","max_ms"
"user_annotation","ProfilerStep#0",1,4504.032934,4504.032934
"cpu_op","autograd::engine::evaluate_function: CheckpointFunctionBackward",48,3143.073835,80.105902
"cpu_op","CheckpointFunctionBackward",48,3142.715827,80.097642
"cuda_runtime","cudaEventSynchronize",96,2278.248649,41.263835
"cpu_op","CheckpointFunction",48,1199.773640,32.736489
"cpu_op","autograd::engine::evaluate_function: _GroupedLinearBackward",96,569.018623,17.654996
"cpu_op","_GroupedLinearBackward",96,563.957286,17.578882
"cpu_op","_GroupedLinear",96,272.029655,9.102797
"cuda_runtime","cudaStreamSynchronize",31,66.682961,23.220178
"cpu_op","aten::matmul",1616,63.426502,0.480430
"cpu_op","aten::mm",1616,56.958440,0.246685
"cpu_op","LinearWithGradAccumulationAndAsyncCommunication",788,50.326229,0.508872
"cpu_op","autograd::engine::evaluate_function: LinearWithGradAccumulationAndAsyncCommunicationBackward",404,49.196760,0.449561
"cpu_op","LinearWithGradAccumulationAndAsyncCommunicationBackward",404,44.191080,0.432391
"cpu_op","aten::to",2213,40.470101,2.125585
"cpu_op","aten::_to_copy",1480,39.146845,2.124582
"cpu_op","aten::copy_",2462,38.397483,2.117508
"cuda_runtime","cudaLaunchKernel",8824,36.956661,0.036575
"cpu_op","te_moe::chunk_sort_fwd",192,34.622579,0.290656
"cpu_op","aten::split_with_sizes",384,33.077303,0.383171
"cpu_op","te_moe::permute_mask_map_fwd",96,30.073698,1.698734
"cpu_op","aten::nonzero",5,27.457698,23.316562
"cpu_op","aten::index",3,26.068558,23.370843
"cpu_op","aten::mul",1634,24.026930,0.772655
"cpu_op","aten::item",100,23.763014,22.241325
"cpu_op","aten::_local_scalar_dense",100,23.595902,22.238863
"cpu_op","aten::empty",4978,20.799910,0.043751
"cpu_op","autograd::engine::evaluate_function: GeneratedBackwardFor_te_moe_chunk_sort_fwd_defaultBackward",96,19.337079,0.682316
"cpu_op","GeneratedBackwardFor_te_moe_chunk_sort_fwd_defaultBackward",96,18.555693,0.656856
"cpu_op","autograd::engine::evaluate_function: CrossEntropyFunctionBackward",10,17.207411,2.203230
"cpu_op","CrossEntropyFunctionBackward",10,17.158554,2.198221
"cpu_op","GeneratedBackwardFor_te_moe_chunk_sort_fwd_default",96,17.103386,0.267000
"cpu_op","WeightedSwiGLUFunction",96,16.981051,0.318257
"cpu_op","autograd::engine::evaluate_function: _OperationFuserAutogradFunctionBackward",145,15.883692,0.200835
"cpu_op","FusedAttnFunc",96,14.661076,0.219765
"cpu_op","GeneratedBackwardFor_te_moe_permute_mask_map_fwd_default",48,14.579813,0.657658
"cpu_op","autograd::engine::evaluate_function: torch::autograd::AccumulateGrad",435,14.472395,0.122655
"cpu_op","_OperationFuserAutogradFunctionBackward",145,14.219377,0.148254
"cuda_runtime","cudaPointerGetAttributes",30942,13.782236,0.020348
"cpu_op","_OperationFuserAutogradFunction",145,12.930814,0.276672
"cpu_op","aten::add",933,12.922339,0.047185
"cpu_op","te_moe::chunk_sort_bwd",96,12.756932,0.473092
"cpu_op","te_moe::unpermute_mask_map_fwd",96,12.038741,0.161352
"cpu_op","autograd::engine::evaluate_function: WeightedSwiGLUFunctionBackward",48,11.619572,0.277861
"cpu_op","WeightedSwiGLUFunctionBackward",48,11.020095,0.265355
"cpu_op","aten::view",7637,10.758560,0.031208
"cpu_op","aten::as_strided",40720,9.439015,0.020098
"cpu_op","autograd::engine::evaluate_function: RouterGatingLinearFunctionBackward",48,9.431503,0.208940
"cpu_op","autograd::engine::evaluate_function: MulBackward0",406,9.409839,0.852485
"cpu_op","autograd::engine::evaluate_function: _LayerNormLinearBackward",48,9.302842,0.255293
"cpu_op","_LayerNormLinear",48,9.055366,0.208601
"cpu_op","aten::add_",809,8.855043,0.033003
"cpu_op","_LayerNormLinearBackward",48,8.373215,0.235512
"cpu_op","RouterGatingLinearFunction",96,8.300062,0.243637
"cpu_op","autograd::engine::evaluate_function: GeneratedBackwardFor_te_moe_permute_mask_map_fwd_defaultBackward",48,8.162150,0.354576
"cpu_op","RouterGatingLinearFunctionBackward",48,8.144112,0.182423
"cpu_op","Torch-Compiled Region: 4/1",48,7.945662,0.190895
"cpu_op","aten::reshape",2162,7.820279,0.418201
"cpu_op","GeneratedBackwardFor_te_moe_permute_mask_map_fwd_defaultBackward",48,7.738035,0.343179
"cpu_op","aten::empty_strided",2059,7.597106,0.040910
"cpu_op","autograd::engine::evaluate_function: FusedAttnFuncBackward",48,7.452849,0.211005
"cpu_op","autograd::engine::evaluate_function: GeneratedBackwardFor_te_moe_unpermute_mask_map_fwd_defaultBackward",48,7.133719,0.178242
"cpu_op","MulBackward0",406,7.039826,0.786974
"cpu_op","GeneratedBackwardFor_te_moe_unpermute_mask_map_fwd_defaultBackward",48,6.914713,0.173249
"cpu_op","aten::zeros",381,6.867823,0.099604
"cpu_op","FusedAttnFuncBackward",48,6.773818,0.196204
"cuda_runtime","cudaEventQuery",6223,6.742030,0.032183
"cpu_op","aten::cat",534,6.608723,0.065601
"cpu_op","aten::t",1207,6.363902,0.084665
"cpu_op","GeneratedBackwardFor_te_moe_unpermute_mask_map_fwd_default",48,6.272826,0.146700
"cpu_op","## Call CompiledFxGraph f6fsgigl5z7kdqecdhv33myb2t5slhlsrgueddc2o5ld7c3iqoh2 ##",96,6.071273,0.108695
"cpu_op","te_moe::unpermute_mask_map_bwd_no_probs",48,6.052222,0.149196
"cpu_op","Torch-Compiled Region: 3/2",48,6.045653,0.235189
"cpu_op","te_moe::permute_mask_map_bwd",48,5.995006,0.232306
"cpu_op","aten::scatter",192,5.874708,0.096227
"cpu_op","aten::clone",288,5.790907,0.073787
"cpu_op","Torch-Compiled Region: 3/3",48,5.789012,0.216199
"cpu_op","aten::zero_",576,5.735623,0.068244
"cpu_op","_CopyToModelParallelRegion",606,5.677342,0.069391
"cpu_op","_AllToAll",432,5.524532,0.064921
"cpu_op","aten::sum",142,5.505832,0.197868
"cpu_op","autograd::engine::evaluate_function: _LinearBackward",48,5.449852,0.146219
"cpu_op","_Linear",48,5.198153,0.124393
"cuda_runtime","cudaEventRecord",2403,5.197055,0.016806
"cpu_op","## Call CompiledFxGraph fknawsieabk4zwicqcskboeaytgb7kzctmh2u33ftwyyqtdwqtfm ##",48,4.966960,0.124311
"cpu_op","aten::fill_",675,4.674086,0.041370
"cpu_op","_LinearBackward",48,4.637525,0.129433
"cpu_op","autograd::engine::evaluate_function: _AllToAllBackward",144,4.498934,0.126206
"cpu_op","aten::empty_like",869,4.494262,0.059828
"cpu_op","aten::softmax",96,4.344797,0.129450
"cpu_op","_AllToAllBackward",144,3.974754,0.105121
"cpu_op","aten::contiguous",192,3.712723,0.074960
"user_annotation","Optimizer.step#FusedAdam.step",1,3.708275,3.708275
"cpu_op","_GatherFromModelParallelRegion",394,3.676294,0.058052
"cpu_op","aten::neg",328,3.584974,0.023641
"cpu_op","aten::transpose",1250,3.579611,0.064272
"cuda_runtime","cudaMemcpyAsync",343,3.509503,0.060629
"cpu_op","aten::view_as",1672,3.491024,0.052911
"cpu_op","TorchDynamo Cache Lookup",144,3.474850,0.041687
"cpu_op","aten::topk",96,3.268543,0.105302
