"ts","gap_ms","next_kernel"
6009722391411895,32.432966,"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)"
6009722406190359,3.259050,"void multi_tensor_apply_kernel<TensorListMetadata<4, false>, transformer_engine::multi_tensor_adam::AdamFunctor<float, float, float, float, int>, float, float, float, float, float, float, transformer_engine::multi_tensor_adam::adamMode_t, float>(long, int volatile*, TensorListMetadata<4, false>, transformer_engine::multi_tensor_adam::AdamFunctor<float, float, float, float, int>, float, float, float, float, float, float, transformer_engine::multi_tensor_adam::adamMode_t, float)"
6009722402247620,1.620661,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)"
6009719162181389,1.377919,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)"
6009722395486380,1.302641,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)"
6009721856217130,1.291088,"nvjet_sm103_tst_64x64_64x16_2x1_2cta_v_bz_NNT"
6009720088486280,1.284560,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009722400012807,1.113231,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)"
6009720086687377,0.959437,"nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_TNT"
6009722070973490,0.891148,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009721772996850,0.829099,"nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT"
6009720987314398,0.715657,"nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_NNT"
6009720982334973,0.644616,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009721574697181,0.543463,"nvjet_sm103_tst_128x64_64x10_2x4_2cta_h_bz_NNT"
6009721770644308,0.521031,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009721702136504,0.515591,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009721571283665,0.501191,"nvjet_sm103_tst_64x64_64x16_2x4_2cta_h_bz_NNT"
6009722232487013,0.496934,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009721846876340,0.490214,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009721776378686,0.489638,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009722079207901,0.486854,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009721706366319,0.486694,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009721638158743,0.484422,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009722001490667,0.483655,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009722155193465,0.483622,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009721923314547,0.482855,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009722311139044,0.479591,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009722303517793,0.479047,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009722224264251,0.466855,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
6009722148131325,0.460390,"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN"
