"name","kernels","gpu_ms"
"FusedAttnFuncBackward",240,1174.368943
"FusedAttnFunc",192,681.086241
"aten::mul",1632,290.356493
"aten::mm",2020,210.135265
"CheckpointFunction",10602,199.929594
"_GroupedLinear",10314,194.461393
"_GroupedLinearBackward",10314,185.012309
"aten::add",933,174.542476
"aten::cat",530,165.494815
"GeneratedBackwardFor_te_moe_chunk_sort_fwd_default",192,79.287720
"te_moe::chunk_sort_fwd",192,72.750032
"aten::add_",809,70.049112
"aten::copy_",2036,56.561731
"triton_poi_fused_add_cat_mul_rsub_sigmoid_silu_split_0",48,55.151598
"te_moe::chunk_sort_bwd",96,45.071109
"aten::neg",328,32.472074
"GeneratedBackwardFor_te_moe_permute_mask_map_fwd_default",192,28.939225
"triton_poi_fused_mul_silu_split_0",96,27.469950
"_LayerNormLinearBackward",144,26.919388
"te_moe::permute_mask_map_fwd",192,26.903056
"_OperationFuserAutogradFunctionBackward",290,25.480044
"_LayerNormLinear",96,24.722180
"aten::topk",144,23.442775
"triton_red_fused_mul_silu_split_sum_1",48,22.323266
"te_moe::permute_mask_map_bwd",48,22.255588
"_Linear",48,18.352973
"_LinearBackward",48,17.947559
"te_moe::unpermute_mask_map_bwd_no_probs",48,16.275894
"_OperationFuserAutogradFunction",145,14.220756
"GeneratedBackwardFor_te_moe_unpermute_mask_map_fwd_default",48,12.785503
"te_moe::unpermute_mask_map_fwd",48,12.313634
"CrossEntropyFunction",20,7.785189
"aten::fill_",531,7.265247
"aten::sum",119,5.837424
"RouterGatingLinearFunctionBackward",144,4.164528
"CrossEntropyFunctionBackward",10,3.692817
"RouterGatingLinearFunction",96,3.504245
"aten::cos",192,1.843708
"aten::sin",192,1.448555
"aten::scatter",192,1.190883
"aten::gather",49,0.691019
"aten::scatter_",48,0.326499
"aten::_softmax",96,0.236931
"aten::_softmax_backward_data",48,0.115521
"aten::index",3,0.071713
"aten::nonzero",20,0.053409
"aten::_index_put_impl_",6,0.051746
"aten::clamp",10,0.025376
"aten::mul_",2,0.024640
"aten::remainder",2,0.005632
"aten::pow",2,0.004800
"aten::div_",2,0.004448
"aten::ne",2,0.003616
"aten::div",2,0.003552
"aten::arange",2,0.003104
"aten::reciprocal",1,0.002432
"aten::clamp_max_",1,0.001792
