"name","calls","ms","avg_us","min_us","max_us"
"cudnn_generated_fort_native_sdpa_sm100_flash_bprop_f16_knob_31_128x128x128_1x4x1_cga1x1x1_kernel0_0",48,1151.966895,23999.310313,22736.744000,26259.670000
"cudnn_generated_fort_native_sdpa_sm100_flash_fprop_f16_knob_7_128x128x128_4x1x1_cga1x1x1_kernel0_0",96,680.928834,7093.008687,6884.665000,7794.629000
"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)",1729,244.564004,141.448238,2.080000,618.696000
"nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT",1968,195.805927,99.494882,7.328000,1304.977000
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",288,148.595305,515.955920,104.865000,1084.526000
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",576,148.236896,257.355722,50.400000,514.887000
"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",597,139.903255,234.343811,22.752000,426.406000
"_sort_chunks_by_map_kernel",288,124.999951,434.027608,384.197000,554.759000
"nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NNT",920,97.974877,106.494432,11.937000,499.814000
"_make_chunk_sort_map_kernel",192,72.108910,375.567240,339.332000,456.422000
"triton_poi_fused_add_cat_mul_rsub_sigmoid_silu_split_0",48,55.151598,1148.991625,970.989000,1270.449000
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1})",288,47.643238,165.427910,49.440000,434.533000
"_unpermute_kernel",144,47.354725,328.852257,254.403000,485.670000
"nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT",289,42.933148,148.557606,30.720000,272.163000
"_permute_kernel",144,39.068059,271.305965,234.628000,354.309000
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#9}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#9}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#9}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#9}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1})",288,32.397385,112.490920,19.296000,223.363000
"nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_TNN",192,28.985043,150.963766,84.513000,217.891000
"triton_poi_fused_mul_silu_split_0",96,27.469950,286.145312,263.235000,338.020000
"nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_TNT",854,25.576603,29.949184,6.784000,144.130000
"nvjet_sm103_tst_16x64_64x16_4x1_v_bz_TNN",2958,24.438369,8.261788,3.616000,31.520000
