label,doc_tokens,fb_seconds,grad_norm,loss,loss_tokens,max_allocated_gib,max_reserved_gib,optim_seconds,step,tps_per_gpu
ultra_cp4_prof_131072,131072,11.89,186.1842803955078,16.846076,117964.0,84.6,89.8,0.03,0,344.5
ultra_cp4_prof_131072,131072,11.14,185.96583557128906,16.846076,117964.0,84.6,89.8,0.03,1,367.6
ultra_cp4_prof_196608,196608,26.03,146.67681884765625,16.940311,176947.0,106.0,113.9,0.04,0,236.0
ultra_cp4_prof_196608,196608,16.9,146.0924072265625,16.940311,176947.0,106.0,113.9,0.04,1,363.6
ultra_cp4_prof_262144,262144,34.04,130.9744873046875,16.950252,235929.0,127.4,135.1,0.03,0,240.7
ultra_cp4_prof_262144,262144,22.81,130.93246459960938,16.950252,235929.0,127.4,135.1,0.04,1,359.1
ultra_cp4_prof_262144,262144,22.91,130.9486541748047,16.950252,235929.0,127.4,135.1,0.05,2,357.5
ultra_cp4_prof_32768,32768,4.23,56.348079681396484,17.592119,29491.0,52.5,53.7,0.03,0,242.1
ultra_cp4_prof_32768,32768,3.29,56.69268035888672,17.592119,29491.0,52.5,53.7,0.03,1,311.0
ultra_cp4_prof_65536,65536,6.91,155.91778564453125,16.947237,58982.0,63.3,66.0,0.03,0,296.4
ultra_cp4_prof_65536,65536,5.7,155.57273864746094,16.947237,58982.0,63.3,66.1,0.03,1,359.5
ultra_cp4_prof_8192,8192,5.05,22.697467803955078,17.817589,7372.0,44.6,48.2,0.03,0,50.7
ultra_cp4_prof_8192,8192,3.13,22.618135452270508,17.817589,7372.0,44.6,48.2,0.03,1,81.7
